iteration,latency (ms)
0,177.1947479248047
1,177.58937072753906
2,177.36717224121094
3,177.4135284423828
4,177.43206787109375
5,177.25094604492188
6,177.27740478515625
7,177.3248291015625
8,177.2156524658203
9,177.90415954589844
10,177.40211486816406
11,177.1953887939453
12,177.51971435546875
13,177.493408203125
14,177.6525115966797
15,177.16502380371094
16,177.5575714111328
17,178.1472930908203
18,177.5075225830078
19,177.6083221435547
20,177.46112060546875
21,177.47158813476562
22,177.3014678955078
23,177.43621826171875
24,177.2599334716797
25,177.46112060546875
26,177.08058166503906
27,177.59068298339844
28,177.4163818359375
29,177.38018798828125
30,177.217529296875
31,177.69200134277344
32,177.52963256835938
33,176.96861267089844
34,177.42300415039062
35,177.2181396484375
36,176.93954467773438
37,177.14463806152344
38,177.7006378173828
39,177.23951721191406
40,177.06265258789062
41,177.2809295654297
42,177.3567352294922
43,177.4190673828125
44,177.0792999267578
45,177.34288024902344
46,177.2073974609375
47,177.46701049804688
48,177.6724090576172
49,177.3738250732422
50,177.4127960205078
51,177.6131591796875
52,177.0858917236328
53,177.37648010253906
54,177.44931030273438
55,177.681884765625
56,177.1817626953125
57,177.55264282226562
58,177.80589294433594
59,177.29212951660156
60,177.26666259765625
61,177.18716430664062
62,177.40780639648438
63,177.1947784423828
64,177.32595825195312
65,177.2624053955078
66,177.35958862304688
67,177.11827087402344
68,177.37890625
69,177.89715576171875
70,177.32415771484375
71,177.3572540283203
72,177.28131103515625
73,177.13973999023438
74,177.43954467773438
75,177.0432891845703
76,177.4016571044922
77,177.2442169189453
78,177.23802185058594
79,177.16224670410156
80,177.3032989501953
81,177.5517120361328
82,177.22312927246094
83,177.3382110595703
84,177.4268798828125
85,177.68850708007812
86,177.38584899902344
87,177.40985107421875
88,177.2903289794922
89,177.41818237304688
90,177.64306640625
91,177.2237091064453
92,178.88572692871094
93,177.1033935546875
94,177.108154296875
95,177.36915588378906
96,177.31369018554688
97,177.22845458984375
98,177.6946258544922
99,177.219970703125
