iteration,latency (ms)
0,177.395263671875
1,178.13145446777344
2,177.34783935546875
3,177.54031372070312
4,177.604736328125
5,177.3278350830078
6,177.4259490966797
7,177.4159393310547
8,177.7163543701172
9,177.5424346923828
10,177.9502716064453
11,177.23875427246094
12,178.02671813964844
13,177.80422973632812
14,177.8706512451172
15,177.07431030273438
16,177.47654724121094
17,177.30860900878906
18,177.567138671875
19,177.51356506347656
20,177.6488037109375
21,177.92291259765625
22,177.6161651611328
23,177.0636749267578
24,177.33120727539062
25,177.2200927734375
26,177.17184448242188
27,177.5281982421875
28,177.56378173828125
29,177.4990997314453
30,177.59292602539062
31,177.7211456298828
32,177.55882263183594
33,179.28504943847656
34,178.17494201660156
35,178.00540161132812
36,177.9187774658203
37,177.8192901611328
38,177.05027770996094
39,177.5089874267578
40,177.8415985107422
41,177.95050048828125
42,177.0369873046875
43,178.01171875
44,177.59327697753906
45,177.8329620361328
46,177.5575408935547
47,178.02674865722656
48,177.90988159179688
49,177.5577850341797
50,177.44796752929688
51,177.6880645751953
52,177.6571502685547
53,177.76780700683594
54,177.22837829589844
55,177.65090942382812
56,177.0592041015625
57,177.52455139160156
58,177.5428466796875
59,177.73426818847656
60,177.77740478515625
61,177.6155242919922
62,177.36099243164062
63,177.3275146484375
64,177.4751739501953
65,177.89356994628906
66,177.35142517089844
67,177.73458862304688
68,177.1802215576172
69,177.25701904296875
70,177.63682556152344
71,177.36988830566406
72,177.297607421875
73,177.58714294433594
74,176.92941284179688
75,177.3058624267578
76,178.05197143554688
77,177.40786743164062
78,177.83331298828125
79,177.33255004882812
80,177.7448272705078
81,177.50489807128906
82,177.36444091796875
83,177.65309143066406
84,177.75811767578125
85,177.14627075195312
86,177.7454376220703
87,177.6345977783203
88,177.6914825439453
89,177.52362060546875
90,177.6243133544922
91,177.2884521484375
92,177.50588989257812
93,177.6425323486328
94,177.29820251464844
95,177.50604248046875
96,177.17047119140625
97,177.4765167236328
98,177.45082092285156
99,177.46829223632812
