,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735914005.8132362,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",42.9,238707785728
1,1735914006.8173175,"[0, 0, 0, 0]","[928710656, 1368653824, 928710656, 1368653824]",11.1,238959575040
2,1735914007.8194401,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.1,239230775296
3,1735914008.8219547,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.1,239245164544
4,1735914009.8342745,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.3,239222562816
5,1735914010.9339359,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.1,239237038080
6,1735914012.0985904,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.3,239244496896
7,1735914013.1618423,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",37.9,243226836992
8,1735914014.1634574,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.7,245915017216
9,1735914015.1663313,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.2,246627983360
10,1735914016.16741,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.8,247696347136
11,1735914017.1694968,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.2,248408428544
12,1735914018.1713917,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,249159450624
13,1735914019.1733925,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,250272899072
14,1735914020.1753876,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.6,251055751168
15,1735914021.1775146,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.5,251725840384
16,1735914022.1793988,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.6,253337972736
17,1735914023.1814663,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.6,254193377280
18,1735914024.1877675,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.1,255179968512
19,1735914025.190091,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.4,256139366400
20,1735914026.1913931,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.2,256688775168
21,1735914027.1934252,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.7,257949093888
22,1735914028.1973088,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.7,258296422400
23,1735914029.1993985,"[0, 4, 0, 0]","[928710656, 2121531392, 1368653824, 1368653824]",91.9,259981602816
24,1735914030.2014587,"[0, 5, 0, 0]","[928710656, 3170107392, 1368653824, 1368653824]",93.4,260745670656
25,1735914031.2034118,"[0, 4, 0, 0]","[928710656, 4050911232, 1368653824, 1368653824]",92.6,262033772544
26,1735914032.205563,"[0, 15, 0, 0]","[928710656, 6737362944, 1368653824, 1368653824]",93.1,262826688512
27,1735914033.2074146,"[0, 15, 0, 0]","[928710656, 8750628864, 1368653824, 1368653824]",94.6,263827030016
28,1735914034.2140355,"[0, 0, 0, 0]","[928710656, 10157817856, 1368653824, 1368653824]",94.5,264928858112
29,1735914035.2154129,"[0, 0, 0, 0]","[928710656, 10157817856, 1368653824, 1368653824]",92.9,265651785728
30,1735914036.2175763,"[0, 0, 0, 0]","[947060736, 12177375232, 1368653824, 1368653824]",87.7,267047993344
31,1735914037.222319,"[4, 2, 0, 0]","[2394161152, 16786915328, 1368653824, 1368653824]",76.6,268196339712
32,1735914038.224807,"[4, 0, 0, 0]","[3484680192, 21396455424, 1368653824, 1368653824]",74.0,269486690304
33,1735914039.2270243,"[6, 0, 0, 6]","[4491313152, 21396455424, 1368653824, 1744044032]",64.3,270111838208
34,1735914040.229147,"[5, 0, 0, 5]","[5646843904, 21396455424, 1597243392, 3002335232]",36.3,270745329664
35,1735914041.2314477,"[6, 0, 9, 3]","[6863192064, 21396455424, 3589537792, 4071882752]",6.0,270666473472
36,1735914042.2343516,"[5, 0, 9, 7]","[7932739584, 21396455424, 5416157184, 5479071744]",8.0,270627782656
