,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736017489.1524918,"[0, 0, 2, 0]","[928710656, 1368653824, 1374879744, 937164800]",0.0,19936960512
1,1736017490.5661323,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",2.1,20274581504
2,1736017491.7575068,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",3.2,20322734080
3,1736017492.910193,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",3.7,20320256000
4,1736017493.9190266,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",3.3,20331671552
5,1736017494.997365,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",3.2,20346720256
6,1736017496.0704896,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",20.8,23247335424
7,1736017497.0734642,"[0, 31, 0, 0]","[928710656, 5122555904, 1374879744, 1377107968]",81.9,32729124864
8,1736017498.075805,"[0, 9, 0, 0]","[928710656, 10157817856, 1374879744, 1377107968]",99.0,34702848000
9,1736017499.0779667,"[0, 0, 0, 0]","[928710656, 10157817856, 1374879744, 1377107968]",99.0,37094739968
10,1736017500.080252,"[0, 0, 0, 0]","[928710656, 12177375232, 1374879744, 1377107968]",99.0,38700892160
11,1736017501.0825188,"[0, 0, 0, 0]","[928710656, 12177375232, 1374879744, 1377107968]",99.0,41327210496
12,1736017502.9263341,"[0, 0, 46, 50]","[959709184, 28770041856, 7246905344, 4373938176]",76.6,49499222016
13,1736017503.9324813,"[23, 0, 0, 32]","[9549643776, 28770041856, 10164043776, 10166272000]",2.1,49531482112
14,1736017504.9343665,"[0, 0, 0, 0]","[10157817856, 28770041856, 10164043776, 10166272000]",1.6,49586282496
15,1736017505.9362228,"[8, 0, 0, 0]","[12177375232, 28770041856, 12183601152, 12185829376]",6.7,50179518464
16,1736017506.9379988,"[3, 0, 0, 0]","[20473708544, 28770041856, 20479934464, 20482162688]",2.4,50166480896
17,1736017507.940033,"[0, 0, 0, 0]","[28784721920, 28778430464, 28776267776, 28791078912]",1.6,50557153280
18,1736017508.941518,"[1, 1, 0, 1]","[29325787136, 29325787136, 29332013056, 29334241280]",2.2,50729324544
19,1736017509.9456413,"[0, 0, 0, 0]","[30976245760, 31127240704, 31133466624, 30984699904]",4.2,50742939648
20,1736017510.9484613,"[0, 0, 0, 0]","[30976245760, 31127240704, 31133466624, 30984699904]",3.6,50751574016
21,1736017512.925268,"[0, 0, 3, 12]","[58071449600, 49926111232, 58228670464, 58079903744]",3.2,50758758400
22,1736017513.928228,"[100, 100, 100, 100]","[58073546752, 58224541696, 58230767616, 58082000896]",3.2,50752110592
23,1736017514.9301298,"[31, 28, 62, 65]","[58105004032, 58255998976, 58262224896, 58113458176]",3.4,50850897920
24,1736017515.9320207,"[100, 100, 100, 99]","[58105004032, 58255998976, 58262224896, 58113458176]",6.4,50847625216
25,1736017516.9341428,"[81, 90, 100, 66]","[58105004032, 58255998976, 58262224896, 58113458176]",3.3,50846310400
26,1736017517.936569,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50842382336
27,1736017518.938485,"[98, 99, 67, 83]","[58105004032, 58255998976, 58262224896, 58113458176]",5.1,50839867392
28,1736017519.9404168,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.6,50839728128
29,1736017520.9423337,"[100, 100, 100, 99]","[58105004032, 58255998976, 58262224896, 58113458176]",3.3,50838634496
30,1736017521.9444017,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50833256448
31,1736017522.9464242,"[100, 100, 99, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50822692864
32,1736017523.9487925,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.7,50818801664
33,1736017524.9512327,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50817400832
34,1736017525.9537547,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",6.3,50812993536
35,1736017526.955466,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50811199488
36,1736017527.9573927,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.1,50809286656
37,1736017528.9597206,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.5,50807484416
38,1736017529.9618113,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",4.8,50810843136
39,1736017530.9640982,"[99, 99, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",4.0,50807914496
40,1736017531.9660451,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",4.4,50805686272
41,1736017532.9679847,"[100, 100, 100, 99]","[58105004032, 58255998976, 58262224896, 58113458176]",4.4,50803507200
42,1736017533.9698827,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50797498368
43,1736017534.9718313,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.7,50796724224
44,1736017535.9739628,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",6.5,50792210432
45,1736017536.9760983,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50789666816
46,1736017537.97834,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50789249024
47,1736017538.980189,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50788147200
48,1736017539.98205,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.5,50782437376
49,1736017540.9840727,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50777305088
50,1736017541.9865525,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50774872064
51,1736017542.9886935,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.3,50773676032
52,1736017543.9904888,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50762530816
53,1736017544.9923682,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50756907008
54,1736017545.9939673,"[69, 70, 100, 90]","[58105004032, 58255998976, 58262224896, 58113458176]",6.6,50753630208
55,1736017546.9960399,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.5,50748174336
56,1736017547.9982862,"[100, 100, 86, 71]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50745839616
57,1736017549.0003283,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50742054912
58,1736017550.0023184,"[68, 70, 71, 67]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50741362688
59,1736017551.0043876,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.5,50740105216
60,1736017552.006079,"[68, 93, 67, 68]","[58105004032, 58255998976, 58262224896, 58113458176]",3.5,50739372032
61,1736017553.0082624,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50736971776
62,1736017554.0104167,"[78, 71, 69, 69]","[58105004032, 58255998976, 58262224896, 58113458176]",3.3,50733162496
63,1736017555.0124633,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50728677376
64,1736017556.0144842,"[99, 100, 69, 84]","[58105004032, 58255998976, 58262224896, 58113458176]",3.8,50726543360
65,1736017557.0165248,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.1,50724364288
66,1736017558.0185406,"[100, 70, 86, 98]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50723311616
67,1736017559.0205343,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50722959360
68,1736017560.022491,"[100, 100, 99, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50720968704
69,1736017561.0245106,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50720956416
70,1736017562.0264778,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50721058816
71,1736017563.0284889,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50721120256
72,1736017564.0304468,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",6.4,50719277056
73,1736017565.0324833,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.3,50718646272
74,1736017566.0345395,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.5,50715615232
75,1736017567.0364509,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50715389952
76,1736017568.0382252,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.4,50713485312
77,1736017569.0400338,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50713018368
78,1736017570.0420585,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50713079808
79,1736017571.0438495,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.4,50714312704
80,1736017572.0456483,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50715250688
81,1736017573.0474067,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.7,50713051136
82,1736017574.0492282,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50709237760
83,1736017575.0510159,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50706100224
84,1736017576.0528717,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",6.4,50702577664
85,1736017577.0544813,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50703142912
86,1736017578.0563114,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50702848000
87,1736017579.0579698,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50702954496
88,1736017580.0597136,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.5,50700894208
89,1736017581.0614855,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50700226560
90,1736017582.0632622,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.3,50697568256
91,1736017583.06495,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50696388608
92,1736017584.0666327,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.3,50696204288
93,1736017585.0683107,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.4,50695655424
94,1736017586.0700152,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",6.7,50696757248
95,1736017587.0717485,"[100, 100, 100, 78]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50693128192
96,1736017588.0734954,"[100, 100, 100, 100]","[58105004032, 58255998976, 58262224896, 58113458176]",3.2,50692206592
