iteration,Latency (s)
0,2.0093982219696045
1,2.003009080886841
2,2.0045106410980225
3,2.0012974739074707
4,2.0021088123321533
5,2.0020015239715576
6,1.9991066455841064
7,2.0025272369384766
8,1.9970078468322754
9,2.0036139488220215
10,2.0011842250823975
11,1.999464511871338
12,2.0013208389282227
13,1.999878168106079
14,1.9972443580627441
15,1.9976954460144043
16,2.001938581466675
17,1.9968950748443604
18,1.998734474182129
19,1.9982903003692627
20,1.9986774921417236
21,1.9994957447052002
22,1.9947338104248047
23,1.9972779750823975
24,1.9981029033660889
25,1.9998526573181152
26,1.9957404136657715
27,1.9973952770233154
28,2.000393867492676
29,1.999979019165039
30,1.9988586902618408
31,1.999204397201538
32,2.0073959827423096
33,2.000046968460083
34,1.9981088638305664
35,2.0017919540405273
36,1.9956891536712646
37,1.997788906097412
38,1.9977543354034424
39,1.9981839656829834
40,1.9972679615020752
41,1.9970266819000244
42,1.9967260360717773
43,1.9953303337097168
44,2.00456166267395
45,2.0001158714294434
46,2.0016565322875977
47,2.0016801357269287
48,2.000185251235962
49,1.9976098537445068
50,1.9990246295928955
51,1.9985992908477783
52,2.001474142074585
53,1.9984838962554932
54,2.002157211303711
55,2.000044345855713
56,1.9994885921478271
57,1.9990973472595215
58,1.9968538284301758
59,1.9956738948822021
60,1.9973828792572021
61,1.9992687702178955
62,2.0008344650268555
63,2.0171620845794678
64,1.9989933967590332
65,1.997166633605957
66,1.9987082481384277
67,1.9973249435424805
68,2.000044584274292
69,1.998201608657837
70,1.9960541725158691
71,1.9983339309692383
72,1.9998681545257568
73,1.997089147567749
74,1.9985857009887695
75,1.9989633560180664
76,1.998814582824707
77,1.9984028339385986
78,2.0067877769470215
79,2.001495599746704
80,1.9967823028564453
81,1.9972054958343506
82,1.9966504573822021
83,1.997349500656128
84,1.9987084865570068
85,2.000703811645508
86,2.001181125640869
87,1.999067783355713
88,1.9998364448547363
89,2.0008740425109863
90,1.9997427463531494
91,1.998427391052246
92,1.9987282752990723
93,2.005120277404785
94,2.0008432865142822
95,1.9983367919921875
96,1.9989638328552246
97,2.0004003047943115
98,1.998314619064331
99,1.9986848831176758
