iteration,latency (ms)
0,314.3548889160156
1,313.8965148925781
2,313.70159912109375
3,313.651123046875
4,313.93231201171875
5,313.4500732421875
6,314.0243225097656
7,313.6508483886719
8,314.0338134765625
9,314.08001708984375
10,313.6304016113281
11,313.8999328613281
12,314.07061767578125
13,313.9574890136719
14,313.8629150390625
15,313.73651123046875
16,314.5025329589844
17,314.0541076660156
18,313.6417236328125
19,313.7154541015625
20,314.0794372558594
21,314.3328552246094
22,313.761962890625
23,313.6996154785156
24,314.5505065917969
25,314.5516357421875
26,313.7881164550781
27,313.9670104980469
28,313.9073181152344
29,313.98992919921875
30,313.524658203125
31,314.8148498535156
32,314.31024169921875
33,313.4981689453125
34,314.0364990234375
35,313.8644104003906
36,314.74249267578125
37,314.5926513671875
38,313.9898376464844
39,313.8048095703125
40,313.79559326171875
41,314.046875
42,313.9260559082031
43,313.91607666015625
44,314.2822570800781
45,313.8853454589844
46,313.4089050292969
47,313.7619323730469
48,314.568115234375
49,314.1625671386719
50,313.7379150390625
51,314.53472900390625
52,313.8075866699219
53,313.225830078125
54,313.7730407714844
55,313.732421875
56,313.45318603515625
57,313.74395751953125
58,314.47113037109375
59,313.59356689453125
60,314.29229736328125
61,314.1735534667969
62,314.88720703125
63,313.4336853027344
64,313.8472595214844
65,313.4219665527344
66,314.0628356933594
67,314.3653259277344
68,313.86883544921875
69,314.1487121582031
70,313.60784912109375
71,313.1678161621094
72,314.1811828613281
73,313.6578674316406
74,314.41278076171875
75,313.5372009277344
76,313.6662902832031
77,313.92816162109375
78,314.35308837890625
79,313.6576232910156
80,313.5404357910156
81,314.036376953125
82,313.9646301269531
83,313.8442687988281
84,314.788330078125
85,313.7032775878906
86,314.092529296875
87,314.2453308105469
88,313.67864990234375
89,314.5589904785156
90,313.4848937988281
91,314.22747802734375
92,314.4364013671875
93,313.19464111328125
94,313.8450622558594
95,314.259033203125
96,313.9609069824219
97,313.7835388183594
98,314.1726989746094
99,314.0794372558594
