iteration,Latency (s)
0,2.0045785903930664
1,1.9932811260223389
2,1.9920458793640137
3,1.9966413974761963
4,1.9924063682556152
5,1.9954814910888672
6,1.9918417930603027
7,1.9975924491882324
8,1.992713212966919
9,1.9949331283569336
10,1.994227409362793
11,1.9923193454742432
12,1.9935245513916016
13,1.9955966472625732
14,1.9917271137237549
15,1.9936773777008057
16,1.9931635856628418
17,1.9955368041992188
18,1.99202299118042
19,1.9948103427886963
20,1.9922373294830322
21,1.9957401752471924
22,1.997474193572998
23,1.9910931587219238
24,1.9953091144561768
25,1.9951612949371338
26,1.997145175933838
27,1.9959070682525635
28,1.9931070804595947
29,1.9922873973846436
30,1.9924886226654053
31,1.9949235916137695
32,1.9941279888153076
33,2.0021941661834717
34,1.9932119846343994
35,1.9915130138397217
36,1.992497444152832
37,1.9946074485778809
38,1.9918465614318848
39,1.9926698207855225
40,1.9941916465759277
41,1.994750738143921
42,1.9952068328857422
43,1.9949233531951904
44,1.9911510944366455
45,1.9935040473937988
46,1.9948275089263916
47,1.993959665298462
48,1.9939937591552734
49,1.9998281002044678
50,1.9943490028381348
51,1.9921677112579346
52,1.9937660694122314
53,1.991687536239624
54,1.9933626651763916
55,1.9935922622680664
56,1.9958820343017578
57,1.9983725547790527
58,1.9965453147888184
59,1.994652509689331
60,1.9964723587036133
61,1.9937841892242432
62,1.9950377941131592
63,1.9970803260803223
64,1.9950859546661377
65,1.9985532760620117
66,1.9955782890319824
67,1.992872953414917
68,1.9935023784637451
69,1.9925956726074219
70,1.993408203125
71,1.9970831871032715
72,1.9938232898712158
73,1.9936606884002686
74,1.9939289093017578
75,1.9931211471557617
76,1.9928829669952393
77,1.993638038635254
78,1.9940500259399414
79,1.9944121837615967
80,1.99395751953125
81,1.9913673400878906
82,1.9952056407928467
83,1.994368553161621
84,1.9968953132629395
85,1.9953060150146484
86,1.996352195739746
87,1.9980549812316895
88,1.996293067932129
89,1.9936528205871582
90,1.9939594268798828
91,1.9923779964447021
92,1.9935197830200195
93,1.9942476749420166
94,1.9933216571807861
95,1.992835283279419
96,1.9945764541625977
97,1.9967610836029053
98,1.993652582168579
99,1.9943172931671143
