iteration,latency (ms)
0,4.47433614730835
1,4.490111827850342
2,4.482560157775879
3,4.506495952606201
4,4.501215934753418
5,4.505792140960693
6,4.456031799316406
7,4.466495990753174
8,4.4555840492248535
9,4.549280166625977
10,4.446080207824707
11,4.498879909515381
12,4.573215961456299
13,4.5016961097717285
14,4.451200008392334
15,4.519167900085449
16,4.472671985626221
17,4.520576000213623
18,4.530464172363281
19,4.5913920402526855
20,4.487232208251953
21,4.486559867858887
22,4.461343765258789
23,4.50054407119751
24,4.454463958740234
25,4.5008320808410645
26,4.46892786026001
27,4.448063850402832
28,4.466559886932373
29,4.4891839027404785
30,4.465824127197266
31,4.46995210647583
32,4.501823902130127
33,4.480832099914551
34,4.519807815551758
35,4.481152057647705
36,4.446432113647461
37,4.489215850830078
38,4.462048053741455
39,4.54204797744751
40,4.456064224243164
41,4.500063896179199
42,4.460000038146973
43,4.478079795837402
44,4.477759838104248
45,4.507904052734375
46,4.503232002258301
47,4.493055820465088
48,4.4739837646484375
49,4.502175807952881
50,5.242303848266602
51,4.494592189788818
52,4.495071887969971
53,4.521183967590332
54,4.487679958343506
55,4.498847961425781
56,4.45692777633667
57,4.515488147735596
58,4.500895977020264
59,4.474815845489502
60,4.500160217285156
61,4.511839866638184
62,4.50275182723999
63,4.488863945007324
64,4.4686079025268555
65,4.505856037139893
66,4.461599826812744
67,4.497151851654053
68,4.484000205993652
69,4.512800216674805
70,4.502208232879639
71,4.476352214813232
72,4.486559867858887
73,4.492608070373535
74,4.496255874633789
75,4.501247882843018
76,4.506944179534912
77,4.5731201171875
78,4.465983867645264
79,4.481088161468506
80,4.473087787628174
81,4.530943870544434
82,4.447968006134033
83,4.488128185272217
84,4.513408184051514
85,4.499936103820801
86,4.505887985229492
87,4.496799945831299
88,4.4626240730285645
89,4.498784065246582
90,4.453184127807617
91,4.514495849609375
92,4.462207794189453
93,4.482560157775879
94,5.051424026489258
95,4.46668815612793
96,4.4672322273254395
97,4.504223823547363
98,4.501440048217773
99,4.502560138702393
