,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735924289.399582,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,29436059648
1,1735924290.4040813,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",7.7,29568438272
2,1735924291.6835246,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.2,29984673792
3,1735924292.8228493,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.6,30039060480
4,1735924293.8581035,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.9,30034980864
5,1735924294.8724256,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.6,30047547392
6,1735924296.0951016,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.2,30062125056
7,1735924297.0977383,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.3,30266241024
8,1735924298.0994008,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",82.6,37275693056
9,1735924299.1061254,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.0,38633578496
10,1735924300.1073434,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,39083171840
11,1735924301.233359,"[0, 0, 0, 31]","[928710656, 1368653824, 1368653824, 3652452352]",99.1,40633344000
12,1735924302.2354164,"[0, 0, 0, 42]","[928710656, 1368653824, 1368653824, 10157817856]",96.8,42330091520
13,1735924303.2375054,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 10157817856]",97.8,45043392512
14,1735924304.2395468,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 12177375232]",98.9,47498629120
15,1735924305.2423437,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 12177375232]",98.6,48953765888
16,1735924307.0674527,"[0, 6, 15, 0]","[1368653824, 1869873152, 8498970624, 20473708544]",82.0,59283640320
17,1735924308.0703597,"[33, 6, 0, 0]","[9717415936, 3149135872, 10157817856, 28770041856]",2.0,59310825472
18,1735924309.0724576,"[0, 5, 4, 0]","[10157817856, 4260626432, 12177375232, 28770041856]",5.7,59478503424
19,1735924310.0745244,"[8, 27, 0, 0]","[12177375232, 7261650944, 20473708544, 28770041856]",6.1,59713736704
20,1735924311.0767055,"[3, 0, 0, 0]","[20473708544, 10157817856, 28770041856, 28770041856]",5.4,59708485632
21,1735924312.078646,"[0, 7, 0, 0]","[28795207680, 12177375232, 28782624768, 28786819072]",5.1,60208652288
22,1735924313.0807564,"[0, 0, 0, 0]","[28822470656, 20473708544, 28822470656, 28822470656]",7.4,60333973504
23,1735924314.0823858,"[0, 0, 0, 0]","[28822470656, 28770041856, 28822470656, 28822470656]",7.9,60321058816
24,1735924315.0844722,"[0, 1, 1, 1]","[29325787136, 29325787136, 29325787136, 29325787136]",4.3,60492857344
25,1735924316.0988996,"[0, 1, 0, 0]","[30976245760, 31127240704, 31127240704, 30976245760]",3.9,60546420736
26,1735924317.1053724,"[0, 0, 0, 0]","[30976245760, 31127240704, 31127240704, 30976245760]",3.5,60543119360
27,1735924319.197221,"[0, 0, 0, 0]","[58071449600, 58222444544, 58222444544, 49775116288]",4.4,60536856576
28,1735924320.1992981,"[100, 100, 100, 100]","[58073546752, 58224541696, 58224541696, 58073546752]",6.4,60534358016
29,1735924321.2012222,"[32, 62, 53, 46]","[58105004032, 58255998976, 58255998976, 58105004032]",8.9,60633935872
30,1735924322.2033126,"[100, 100, 100, 100]","[58105004032, 58255998976, 58255998976, 58105004032]",8.6,60622774272
31,1735924323.2053392,"[94, 67, 100, 73]","[58105004032, 58255998976, 58255998976, 58105004032]",6.8,60620283904
32,1735924324.207306,"[100, 100, 100, 99]","[58105004032, 58255998976, 58255998976, 58105004032]",7.8,60612182016
33,1735924325.2092404,"[100, 81, 98, 97]","[58105004032, 58255998976, 58255998976, 58105004032]",8.0,60611616768
34,1735924326.2116847,"[100, 100, 100, 100]","[58105004032, 58255998976, 58255998976, 58105004032]",3.2,60609376256
35,1735924327.2136219,"[100, 99, 100, 100]","[58105004032, 58255998976, 58255998976, 58105004032]",3.2,60609863680
36,1735924328.2157433,"[100, 100, 100, 100]","[58105004032, 58255998976, 58255998976, 58105004032]",3.3,60608921600
