iteration,latency (ms)
0,314.0785827636719
1,313.739990234375
2,313.4472961425781
3,313.4322509765625
4,314.16082763671875
5,313.31689453125
6,313.42047119140625
7,313.38555908203125
8,313.3058166503906
9,313.0235290527344
10,313.50714111328125
11,313.1236877441406
12,312.9495849609375
13,312.8572692871094
14,313.1624450683594
15,313.486572265625
16,313.24920654296875
17,313.19390869140625
18,313.4428405761719
19,312.742431640625
20,312.973388671875
21,313.5287780761719
22,313.1397399902344
23,313.4464111328125
24,313.1086730957031
25,313.4125061035156
26,313.0173034667969
27,314.0502624511719
28,313.50579833984375
29,313.1416015625
30,313.4533996582031
31,312.8203430175781
32,313.06365966796875
33,313.3256530761719
34,313.57769775390625
35,313.43939208984375
36,313.0774841308594
37,313.0032043457031
38,313.2920837402344
39,313.9980773925781
40,313.20928955078125
41,312.9126281738281
42,313.78118896484375
43,312.505859375
44,313.68475341796875
45,313.3812255859375
46,313.0987548828125
47,312.9237365722656
48,313.3741455078125
49,313.7096252441406
50,313.1875305175781
51,313.6639709472656
52,313.1054382324219
53,312.9274597167969
54,313.3670654296875
55,313.7754211425781
56,312.36773681640625
57,312.78924560546875
58,313.4631652832031
59,313.7260437011719
60,313.1950378417969
61,313.3084716796875
62,313.0758056640625
63,312.7242126464844
64,313.0765380859375
65,313.1007995605469
66,313.048828125
67,313.2410888671875
68,313.0837097167969
69,313.8454284667969
70,313.4751281738281
71,314.0700988769531
72,313.56427001953125
73,313.43975830078125
74,313.0016784667969
75,313.0429382324219
76,313.0535888671875
77,313.42047119140625
78,313.0174865722656
79,313.81207275390625
80,313.4685974121094
81,312.9836730957031
82,313.5137939453125
83,313.4389343261719
84,312.97412109375
85,313.7200622558594
86,313.8685302734375
87,313.4903869628906
88,312.9142761230469
89,313.0070495605469
90,314.06671142578125
91,313.01300048828125
92,313.7254333496094
93,313.68048095703125
94,313.9450988769531
95,313.32427978515625
96,313.53302001953125
97,313.61358642578125
98,313.2294616699219
99,313.60516357421875
