iteration,Latency (s)
0,1.1772139072418213
1,1.1760737895965576
2,1.1752822399139404
3,1.187258243560791
4,1.191938877105713
5,1.171511173248291
6,1.1849031448364258
7,1.1720941066741943
8,1.1753411293029785
9,1.1768414974212646
10,1.1776304244995117
11,1.1781365871429443
12,1.1787810325622559
13,1.1783311367034912
14,1.182098150253296
15,1.1774234771728516
16,1.1773841381072998
17,1.1709098815917969
18,1.1719958782196045
19,1.1731939315795898
20,1.1754169464111328
21,1.1757667064666748
22,1.1746242046356201
23,1.1737701892852783
24,1.174536943435669
25,1.177614450454712
26,1.1760289669036865
27,1.1776657104492188
28,1.1747283935546875
29,1.178891658782959
30,1.1741223335266113
31,1.1815266609191895
32,1.175628900527954
33,1.1784772872924805
34,1.1752803325653076
35,1.1762330532073975
36,1.1746459007263184
37,1.176598310470581
38,1.173414945602417
39,1.1822237968444824
40,1.170680046081543
41,1.1759593486785889
42,1.1749768257141113
43,1.1754319667816162
44,1.1752526760101318
45,1.1757142543792725
46,1.1777184009552002
47,1.1768388748168945
48,1.1740472316741943
49,1.1715469360351562
50,1.173093318939209
51,1.1769428253173828
52,1.1750867366790771
53,1.1732664108276367
54,1.1771693229675293
55,1.174424171447754
56,1.1726701259613037
57,1.1746792793273926
58,1.17221999168396
59,1.1756463050842285
60,1.173102855682373
61,1.1758646965026855
62,1.1755552291870117
63,1.1737475395202637
64,1.1786842346191406
65,1.1739394664764404
66,1.1719582080841064
67,1.174328327178955
68,1.1745984554290771
69,1.1740233898162842
70,1.1738715171813965
71,1.1714231967926025
72,1.17490553855896
73,1.1738507747650146
74,1.1774849891662598
75,1.1850125789642334
76,1.1723053455352783
77,1.1748900413513184
78,1.174940824508667
79,1.173980951309204
80,1.1733202934265137
81,1.1735806465148926
82,1.1749179363250732
83,1.1708908081054688
84,1.1707022190093994
85,1.1732747554779053
86,1.172358751296997
87,1.1792395114898682
88,1.174816608428955
89,1.1744661331176758
90,1.17677903175354
91,1.1832869052886963
92,1.1800024509429932
93,1.1766386032104492
94,1.1729257106781006
95,1.1723620891571045
96,1.172236442565918
97,1.1728019714355469
98,1.1746954917907715
99,1.1744797229766846
