,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735858176.6544569,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,24145072128
1,1735858177.6626735,"[0, 2, 0, 2]","[928710656, 1368653824, 1368653824, 1368653824]",10.3,24531480576
2,1735858178.6729014,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",12.4,24668651520
3,1735858179.7131274,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.5,24580272128
4,1735858180.752869,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.9,24584097792
5,1735858182.0008686,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.0,24638083072
6,1735858183.1109595,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.3,24350482432
7,1735858184.2760339,"[0, 0, 0, 0]","[947126272, 1368653824, 1368653824, 1368653824]",51.4,34607542272
8,1735858185.3165057,"[27, 0, 0, 0]","[8857583616, 1368653824, 1368653824, 1368653824]",96.3,36363395072
9,1735858186.3184147,"[0, 0, 0, 0]","[10157817856, 1368653824, 1368653824, 1368653824]",97.3,37705691136
10,1735858187.320363,"[6, 0, 0, 0]","[13712490496, 1368653824, 1368653824, 1368653824]",98.9,38972313600
11,1735858188.322436,"[0, 0, 0, 0]","[13712490496, 1368653824, 1368653824, 1368653824]",98.8,40439021568
12,1735858190.5945165,"[0, 0, 0, 0]","[22008823808, 1368653824, 1368653824, 1368653824]",97.9,42897903616
13,1735858191.5967736,"[0, 0, 0, 0]","[30357585920, 1368653824, 1368653824, 1368653824]",98.5,44123947008
14,1735858192.5987587,"[0, 0, 0, 0]","[30357585920, 1368653824, 1368653824, 1368653824]",98.9,45772693504
15,1735858193.6007078,"[0, 0, 0, 0]","[30357585920, 1368653824, 1368653824, 1368653824]",98.9,46461173760
16,1735858194.6026573,"[0, 0, 0, 0]","[30357585920, 1368653824, 1368653824, 1368653824]",98.8,47599616000
17,1735858195.6047122,"[0, 0, 0, 0]","[30357585920, 1368653824, 1368653824, 1368653824]",98.9,49110175744
18,1735858196.6067417,"[0, 0, 0, 0]","[30357585920, 1368653824, 1368653824, 1576271872]",98.3,50190221312
19,1735858197.608741,"[0, 4, 45, 7]","[30357585920, 2142502912, 7261650944, 2708733952]",33.3,53718949888
20,1735858198.61078,"[0, 5, 0, 4]","[30357585920, 3295936512, 10157817856, 3778281472]",6.1,53724082176
21,1735858199.6126845,"[0, 4, 0, 5]","[30357585920, 4323540992, 10157817856, 4973658112]",4.9,53742239744
22,1735858200.6142836,"[0, 5, 0, 5]","[30357585920, 5458100224, 13712490496, 6150160384]",5.9,53951545344
23,1735858201.615953,"[0, 4, 0, 5]","[30357585920, 6674448384, 22008823808, 7303593984]",5.8,53983100928
24,1735858202.6175723,"[0, 5, 0, 5]","[30357585920, 7785938944, 30357585920, 8540913664]",5.8,54101704704
25,1735858203.6192608,"[0, 6, 0, 6]","[30357585920, 9025355776, 30357585920, 9843245056]",5.6,54146834432
26,1735858204.6208642,"[0, 5, 0, 0]","[30357585920, 10157817856, 30357585920, 10157817856]",5.2,54202978304
27,1735858205.622354,"[0, 0, 0, 8]","[30357585920, 10157817856, 30357585920, 13712490496]",5.1,54336339968
28,1735858206.6231525,"[0, 0, 0, 0]","[30357585920, 13712490496, 30357585920, 22008823808]",6.0,54467088384
29,1735858207.62475,"[0, 0, 0, 0]","[30357585920, 22008823808, 30357585920, 30305157120]",6.2,54543310848
30,1735858208.6258976,"[0, 6, 0, 0]","[30357585920, 30357585920, 30357585920, 30357585920]",13.5,55145586688
31,1735858209.6365774,"[0, 0, 0, 0]","[31011897344, 31162892288, 31162892288, 31011897344]",10.4,55204487168
32,1735858210.63877,"[0, 0, 0, 0]","[32511361024, 32662355968, 32662355968, 32511361024]",11.3,55258755072
33,1735858211.6445832,"[0, 0, 0, 0]","[32511361024, 32662355968, 32662355968, 32511361024]",6.8,54881157120
34,1735858213.3736937,"[0, 0, 0, 23]","[50272141312, 58721566720, 58721566720, 58570571776]",5.7,54830538752
35,1735858214.3763018,"[100, 100, 100, 100]","[58570571776, 58721566720, 58721566720, 58570571776]",5.6,54799085568
36,1735858215.3780303,"[71, 74, 50, 42]","[58574766080, 58725761024, 58725761024, 58574766080]",5.5,54837542912
37,1735858216.3795795,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",5.7,54830686208
38,1735858217.381524,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",6.4,55491600384
39,1735858218.3840153,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",12.5,54831448064
40,1735858219.3857925,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",5.7,54824538112
41,1735858220.3875601,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.6,54819516416
42,1735858221.3886945,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",5.5,54812848128
43,1735858222.3902946,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",5.7,54803185664
44,1735858223.3918915,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",5.8,54806511616
45,1735858224.393522,"[62, 92, 100, 73]","[58574766080, 58725761024, 58725761024, 58574766080]",5.7,54693236736
46,1735858225.3951654,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",5.2,54674866176
47,1735858226.3969884,"[68, 43, 99, 56]","[58574766080, 58725761024, 58725761024, 58574766080]",8.6,54895042560
48,1735858227.3987024,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",8.3,54928805888
49,1735858228.3995833,"[100, 99, 96, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",10.8,55095549952
50,1735858229.401558,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.3,54828253184
51,1735858230.4028,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",6.6,54825132032
52,1735858231.4052253,"[100, 100, 99, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",6.6,54822494208
53,1735858232.4069006,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",8.4,54874222592
54,1735858233.4087884,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.9,54892703744
55,1735858234.4105477,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.9,54891978752
56,1735858235.4125085,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.8,54894604288
57,1735858236.4144874,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.8,54890057728
58,1735858237.4162486,"[56, 94, 100, 70]","[58574766080, 58725761024, 58725761024, 58574766080]",12.1,54880735232
59,1735858238.4179351,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",12.7,54883536896
60,1735858239.4192803,"[70, 100, 99, 58]","[58574766080, 58725761024, 58725761024, 58574766080]",12.0,54878457856
61,1735858240.4203207,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.8,54862540800
62,1735858241.4219348,"[100, 100, 91, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.8,54857375744
63,1735858242.423198,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.9,54851096576
64,1735858243.4251323,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",12.1,54856323072
65,1735858244.4267359,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",12.0,54837719040
66,1735858245.4283552,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.7,54828949504
67,1735858246.4299889,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.8,54822428672
68,1735858247.4314008,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",11.1,54815727616
69,1735858248.432182,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",13.7,54979395584
70,1735858249.4338844,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",8.5,54854901760
71,1735858250.4357398,"[68, 99, 47, 78]","[58574766080, 58725761024, 58725761024, 58574766080]",5.7,54845861888
72,1735858251.437417,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",5.5,54843400192
73,1735858252.4394004,"[58, 100, 98, 49]","[58574766080, 58725761024, 58725761024, 58574766080]",5.9,54828445696
74,1735858253.4414072,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",5.7,54827495424
75,1735858254.4433875,"[100, 99, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.0,54894968832
76,1735858255.445578,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.3,54891114496
77,1735858256.4467542,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.2,54884687872
78,1735858257.4488118,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.1,54959730688
79,1735858258.4504316,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",8.2,54960291840
80,1735858259.452178,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.5,54953271296
81,1735858260.4539773,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.1,54947983360
82,1735858261.4552183,"[100, 94, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",9.2,55001354240
83,1735858262.4573379,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.2,55000444928
84,1735858263.459056,"[79, 46, 46, 90]","[58574766080, 58725761024, 58725761024, 58574766080]",7.2,55000817664
85,1735858264.4602396,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",10.2,55035867136
86,1735858265.4619138,"[100, 99, 91, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",9.4,54974550016
87,1735858266.4629428,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",8.8,54966980608
88,1735858267.464538,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",7.7,54892433408
89,1735858268.4665558,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",8.2,54883454976
90,1735858269.468875,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",6.7,54873485312
91,1735858270.4705684,"[100, 100, 100, 100]","[58574766080, 58725761024, 58725761024, 58574766080]",6.4,54869180416
