iteration,Latency (s)
0,1.1940150260925293
1,1.1726670265197754
2,1.1728520393371582
3,1.1835260391235352
4,1.179365634918213
5,1.1799159049987793
6,1.1739177703857422
7,1.1735920906066895
8,1.1763534545898438
9,1.1748125553131104
10,1.174924373626709
11,1.1753058433532715
12,1.1744909286499023
13,1.1741268634796143
14,1.1730899810791016
15,1.1702628135681152
16,1.1712646484375
17,1.1779417991638184
18,1.1746904850006104
19,1.1702711582183838
20,1.171065330505371
21,1.1715574264526367
22,1.1716094017028809
23,1.1692478656768799
24,1.1703073978424072
25,1.1710219383239746
26,1.1697797775268555
27,1.177579402923584
28,1.1720075607299805
29,1.1699411869049072
30,1.170849084854126
31,1.1722397804260254
32,1.1713073253631592
33,1.171416997909546
34,1.1713347434997559
35,1.1729934215545654
36,1.171828269958496
37,1.1753997802734375
38,1.1712076663970947
39,1.1735835075378418
40,1.1757211685180664
41,1.1721806526184082
42,1.1723554134368896
43,1.1731162071228027
44,1.172724723815918
45,1.174224853515625
46,1.172966480255127
47,1.1770429611206055
48,1.1742355823516846
49,1.1736204624176025
50,1.1741955280303955
51,1.1741855144500732
52,1.1717352867126465
53,1.1748757362365723
54,1.1734459400177002
55,1.173614501953125
56,1.171513319015503
57,1.1720948219299316
58,1.1736316680908203
59,1.170738935470581
60,1.172532320022583
61,1.1713073253631592
62,1.1720893383026123
63,1.1712455749511719
64,1.173746109008789
65,1.1742310523986816
66,1.174276351928711
67,1.1721546649932861
68,1.1720678806304932
69,1.168795108795166
70,1.1692955493927002
71,1.1716089248657227
72,1.1697776317596436
73,1.168964147567749
74,1.1707184314727783
75,1.1697344779968262
76,1.1688318252563477
77,1.1718151569366455
78,1.1721465587615967
79,1.169083833694458
80,1.1710655689239502
81,1.170881748199463
82,1.1687664985656738
83,1.1691198348999023
84,1.1692628860473633
85,1.1702303886413574
86,1.1715128421783447
87,1.1696879863739014
88,1.1759116649627686
89,1.1713101863861084
90,1.1715507507324219
91,1.1720969676971436
92,1.1729395389556885
93,1.1724133491516113
94,1.1708178520202637
95,1.168346643447876
96,1.169881820678711
97,1.1697046756744385
98,1.1730191707611084
99,1.1802687644958496
