iteration,latency (ms)
0,177.8757781982422
1,177.52972412109375
2,177.1432342529297
3,177.12265014648438
4,177.7464599609375
5,177.25010681152344
6,177.67811584472656
7,177.18658447265625
8,177.50323486328125
9,177.3941192626953
10,177.3862762451172
11,177.39248657226562
12,177.4950408935547
13,177.3469696044922
14,177.821533203125
15,177.76060485839844
16,177.5875244140625
17,177.13357543945312
18,177.5536346435547
19,177.42816162109375
20,177.2553253173828
21,177.70428466796875
22,177.43309020996094
23,177.34445190429688
24,177.50413513183594
25,177.79061889648438
26,177.44265747070312
27,177.11383056640625
28,177.39126586914062
29,177.54783630371094
30,177.40048217773438
31,177.55101013183594
32,177.443359375
33,177.92428588867188
34,177.62042236328125
35,177.41810607910156
36,177.41818237304688
37,177.32736206054688
38,177.252197265625
39,177.2724151611328
40,177.89471435546875
41,177.32598876953125
42,177.6010284423828
43,177.91285705566406
44,177.4547576904297
45,177.2903289794922
46,177.76422119140625
47,177.4969024658203
48,177.67056274414062
49,177.70028686523438
50,177.42355346679688
51,177.63475036621094
52,177.48789978027344
53,177.28179931640625
54,177.77285766601562
55,177.5933380126953
56,177.3875274658203
57,177.24517822265625
58,177.39894104003906
59,177.12701416015625
60,177.6240692138672
61,177.2525177001953
62,177.6348419189453
63,177.4195556640625
64,177.15708923339844
65,177.3028106689453
66,177.48544311523438
67,177.42153930664062
68,178.22991943359375
69,177.48818969726562
70,177.34815979003906
71,177.30479431152344
72,177.48428344726562
73,177.29087829589844
74,177.65980529785156
75,177.05914306640625
76,176.93487548828125
77,177.30120849609375
78,177.5396728515625
79,177.67686462402344
80,177.3768310546875
81,177.02557373046875
82,177.33987426757812
83,176.97450256347656
84,177.50607299804688
85,177.42262268066406
86,177.8936309814453
87,177.11436462402344
88,177.5807342529297
89,177.51104736328125
90,177.5152587890625
91,177.42489624023438
92,177.55165100097656
93,177.5380096435547
94,177.51795959472656
95,177.4385223388672
96,177.5
97,177.2821807861328
98,177.3158721923828
99,177.45741271972656
