,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736079098.221628,"[0, 0, 0, 1]","[928710656, 1368653824, 1368653824, 1368653824]",0.0,64035180544
1,1736079099.6805434,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.5,64313839616
2,1736079100.8097205,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.0,64309444608
3,1736079101.9393616,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.9,64298864640
4,1736079102.9411461,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.6,64287326208
5,1736079103.9431746,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.4,64275505152
6,1736079105.159793,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.0,64283172864
7,1736079106.217568,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.3,64328347648
8,1736079107.219383,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.1,64318009344
9,1736079108.221109,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.3,64315527168
10,1736079109.228605,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.9,64310566912
11,1736079110.5815673,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.6,64311861248
12,1736079111.5836265,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.1,64304820224
13,1736079112.5856438,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.0,64300830720
14,1736079113.5935273,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.8,64292278272
15,1736079114.6666825,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",37.7,65040314368
16,1736079115.6685562,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.6,66469031936
17,1736079116.6764646,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.7,66620981248
18,1736079117.6784983,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,67262902272
19,1736079118.680543,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.9,68796682240
20,1736079119.6867752,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.2,69113737216
21,1736079120.6885583,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.4,69651709952
22,1736079121.6959846,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.8,71090593792
23,1736079122.6980524,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,71755972608
24,1736079123.7000813,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.4,72053977088
25,1736079124.7021937,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.3,73376751616
26,1736079125.704417,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.6,74386735104
27,1736079126.7068408,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.6,74983391232
28,1736079127.7085388,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.6,76052078592
29,1736079128.7105632,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.1,77022572544
30,1736079129.7125435,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.5,77568245760
31,1736079130.7145941,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.4,78568968192
32,1736079131.7165396,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.8,79523958784
33,1736079132.718604,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.1,80307003392
34,1736079133.7206206,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.2,81337020416
35,1736079134.7229161,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.1,82023432192
36,1736079135.7245483,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.7,82837409792
37,1736079136.7267425,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.9,83883470848
38,1736079137.7285674,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.7,84776714240
