,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735841137.8014472,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,24751833088
1,1735841139.1948633,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.4,25297346560
2,1735841140.2161045,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",10.3,25610055680
3,1735841141.3293536,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.7,25414680576
4,1735841142.4254208,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.4,25347076096
5,1735841143.5118887,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.2,25439354880
6,1735841144.6090949,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.9,25370144768
7,1735841145.760449,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.3,25359077376
8,1735841147.0747461,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.3,25355661312
9,1735841148.755758,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.7,25349300224
10,1735841149.818641,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.3,25363456000
11,1735841150.8264546,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.2,25370238976
12,1735841151.9767458,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.1,25286197248
13,1735841153.0398405,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.6,25278484480
14,1735841154.1180582,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.8,25271590912
15,1735841155.1973255,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.6,25264398336
16,1735841156.2603147,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.8,25256833024
17,1735841157.3078654,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",28.2,28834619392
18,1735841158.3097496,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,37635334144
19,1735841159.3118215,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.9,39513448448
20,1735841160.3136733,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.3,40231952384
21,1735841161.3157651,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.7,41400016896
22,1735841162.3229008,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.5,42758946816
23,1735841163.3252096,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.1,44172206080
24,1735841164.327495,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.5,44969771008
