iteration,Latency (s)
0,1.9623355865478516
1,1.9539501667022705
2,1.9516403675079346
3,1.9519484043121338
4,1.9562110900878906
5,1.9531900882720947
6,1.95463228225708
7,1.9518263339996338
8,1.9565768241882324
9,1.9518730640411377
10,1.9508821964263916
11,1.9526686668395996
12,1.9519078731536865
13,1.9503989219665527
14,1.9503717422485352
15,1.952521562576294
16,1.9547913074493408
17,1.9493281841278076
18,1.953960657119751
19,1.9523303508758545
20,1.9545400142669678
21,1.9509978294372559
22,1.9550142288208008
23,1.9512321949005127
24,1.9516842365264893
25,1.9515948295593262
26,1.950425386428833
27,1.9573938846588135
28,1.9538617134094238
29,1.9559688568115234
30,1.952836036682129
31,1.9532959461212158
32,1.951732873916626
33,1.9540855884552002
34,1.9507086277008057
35,1.951732873916626
36,1.9525840282440186
37,1.953688621520996
38,1.9574482440948486
39,1.9557223320007324
40,1.9550888538360596
41,1.952502727508545
42,1.9559648036956787
43,1.9529590606689453
44,1.9503066539764404
45,1.9512007236480713
46,1.9514224529266357
47,1.9527711868286133
48,1.9509718418121338
49,1.949655294418335
50,1.9533724784851074
51,1.9491949081420898
52,1.950087308883667
53,1.953033208847046
54,1.951528787612915
55,1.9513165950775146
56,1.952294111251831
57,1.9501621723175049
58,1.9516100883483887
59,1.9535291194915771
60,1.955000638961792
61,1.9526784420013428
62,1.954700231552124
63,1.9547221660614014
64,1.953334093093872
65,1.9558391571044922
66,1.9553921222686768
67,1.955761432647705
68,1.951258897781372
69,1.951172113418579
70,1.9544546604156494
71,1.9504225254058838
72,1.9512996673583984
73,1.950956106185913
74,1.9519538879394531
75,1.9497911930084229
76,1.95310640335083
77,1.9513816833496094
78,1.950657606124878
79,1.9507982730865479
80,1.9517934322357178
81,1.955770492553711
82,1.9555623531341553
83,1.958139181137085
84,1.9490063190460205
85,1.9535341262817383
86,1.955758810043335
87,1.9534592628479004
88,1.9540202617645264
89,1.9558019638061523
90,1.9529156684875488
91,1.9577066898345947
92,1.9527008533477783
93,1.954336404800415
94,1.9527065753936768
95,1.951035499572754
96,1.9502911567687988
97,1.9513342380523682
98,1.9516685009002686
99,1.9517743587493896
