iteration,Latency (s)
0,1.1335530281066895
1,1.12957763671875
2,1.1322088241577148
3,1.1347661018371582
4,1.1313152313232422
5,1.1368756294250488
6,1.1302688121795654
7,1.1355698108673096
8,1.131690502166748
9,1.1303722858428955
10,1.1300890445709229
11,1.1305675506591797
12,1.1329724788665771
13,1.1402828693389893
14,1.1315531730651855
15,1.131788969039917
16,1.1325585842132568
17,1.13092041015625
18,1.129281997680664
19,1.1330242156982422
20,1.129647970199585
21,1.129645586013794
22,1.1315767765045166
23,1.1343891620635986
24,1.1310226917266846
25,1.132901906967163
26,1.1316680908203125
27,1.132448673248291
28,1.1331110000610352
29,1.1304545402526855
30,1.1354091167449951
31,1.130383014678955
32,1.1301045417785645
33,1.1314656734466553
34,1.1317436695098877
35,1.1309552192687988
36,1.1330063343048096
37,1.1315786838531494
38,1.1304702758789062
39,1.1317784786224365
40,1.1316938400268555
41,1.1320819854736328
42,1.140815258026123
43,1.1319301128387451
44,1.1297967433929443
45,1.1333487033843994
46,1.1297409534454346
47,1.1303584575653076
48,1.1307704448699951
49,1.129849910736084
50,1.1314430236816406
51,1.1316492557525635
52,1.1311166286468506
53,1.130370855331421
54,1.1304481029510498
55,1.1316215991973877
56,1.1325793266296387
57,1.1325726509094238
58,1.1357455253601074
59,1.1319169998168945
60,1.1311521530151367
61,1.1305077075958252
62,1.1296379566192627
63,1.1303069591522217
64,1.131803274154663
65,1.129772663116455
66,1.1328487396240234
67,1.1310749053955078
68,1.1306037902832031
69,1.1294360160827637
70,1.1298086643218994
71,1.1294522285461426
72,1.1307895183563232
73,1.1305181980133057
74,1.1298801898956299
75,1.1290597915649414
76,1.1318824291229248
77,1.133777141571045
78,1.1296963691711426
79,1.1303606033325195
80,1.1316766738891602
81,1.131300926208496
82,1.130256175994873
83,1.1301658153533936
84,1.1295685768127441
85,1.1294276714324951
86,1.129868984222412
87,1.1305437088012695
88,1.1301891803741455
89,1.1296157836914062
90,1.1298048496246338
91,1.129826545715332
92,1.130378246307373
93,1.1304235458374023
94,1.1360063552856445
95,1.1293129920959473
96,1.1300690174102783
97,1.1311736106872559
98,1.13126802444458
99,1.1301329135894775
