iteration,latency (ms)
0,177.53091430664062
1,177.53414916992188
2,177.6890869140625
3,177.6367950439453
4,177.7263946533203
5,177.57379150390625
6,177.34768676757812
7,177.72349548339844
8,177.89401245117188
9,177.45359802246094
10,177.35821533203125
11,177.23960876464844
12,177.1262664794922
13,177.34471130371094
14,177.73170471191406
15,177.35731506347656
16,177.21420288085938
17,177.56332397460938
18,177.43618774414062
19,177.46803283691406
20,177.37167358398438
21,177.47276306152344
22,177.58163452148438
23,177.39149475097656
24,177.88316345214844
25,177.49916076660156
26,178.57254028320312
27,177.3994598388672
28,177.90591430664062
29,177.31776428222656
30,177.844482421875
31,177.6287384033203
32,177.5545654296875
33,177.97763061523438
34,177.54856872558594
35,177.76934814453125
36,177.64901733398438
37,177.19625854492188
38,177.6347198486328
39,177.44309997558594
40,177.77813720703125
41,177.45030212402344
42,177.77340698242188
43,177.344482421875
44,177.65933227539062
45,177.52114868164062
46,177.895263671875
47,177.5926055908203
48,177.6346893310547
49,177.73802185058594
50,177.33782958984375
51,177.58067321777344
52,177.5550994873047
53,177.4261474609375
54,177.38316345214844
55,177.60435485839844
56,177.3240966796875
57,177.8453826904297
58,178.69247436523438
59,177.5773468017578
60,177.70445251464844
61,177.63523864746094
62,177.01673889160156
63,177.4602813720703
64,177.43545532226562
65,177.2335968017578
66,177.80560302734375
67,177.5496063232422
68,177.3780517578125
69,177.37493896484375
70,177.70681762695312
71,177.22274780273438
72,178.0397186279297
73,177.47048950195312
74,177.64373779296875
75,177.2099151611328
76,177.6750030517578
77,177.36131286621094
78,177.82435607910156
79,177.58905029296875
80,177.35968017578125
81,177.78016662597656
82,177.52207946777344
83,177.60089111328125
84,177.51129150390625
85,177.5380096435547
86,177.1117401123047
87,177.5888671875
88,177.2156219482422
89,177.59942626953125
90,177.44607543945312
91,177.45468139648438
92,177.67149353027344
93,177.5043487548828
94,177.61672973632812
95,177.36373901367188
96,177.5642852783203
97,177.54652404785156
98,177.40567016601562
99,177.39849853515625
