,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735913666.1856065,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 1368653824]",0.0,287647244288
1,1735913667.4363754,"[0, 2, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",13.4,287917740032
2,1735913668.443136,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",15.9,288015179776
3,1735913669.4505856,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",14.8,287978418176
4,1735913670.5189588,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",12.5,287971405824
5,1735913671.5218716,"[0, 0, 0, 24]","[928710656, 1368653824, 1368653824, 5458100224]",68.5,294359629824
6,1735913672.5245867,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 5751701504]",97.9,295877025792
7,1735913673.6201417,"[0, 0, 0, 10]","[928710656, 1368653824, 1368653824, 7769161728]",97.2,296314564608
8,1735913674.6233947,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 7769161728]",92.5,297543331840
9,1735913676.0246615,"[0, 0, 14, 0]","[928710656, 1368653824, 5751701504, 12378701824]",94.0,300414414848
10,1735913677.0271454,"[0, 5, 0, 0]","[945815552, 1681129472, 5751701504, 16988241920]",86.9,302693912576
11,1735913678.02941,"[39, 5, 0, 0]","[5751701504, 2960392192, 7769161728, 16988241920]",13.4,302823313408
12,1735913679.0344043,"[0, 3, 0, 0]","[5751701504, 4050911232, 12378701824, 16988241920]",15.8,302772113408
13,1735913680.0363524,"[0, 0, 0, 0]","[7769161728, 5751701504, 16988241920, 16988241920]",12.2,302954491904
14,1735913681.0383322,"[0, 0, 0, 0]","[12378701824, 5923667968, 16988241920, 16988241920]",12.4,303037743104
15,1735913682.0404978,"[0, 0, 0, 0]","[17040670720, 7769161728, 17040670720, 17040670720]",13.0,303467122688
16,1735913683.0424175,"[0, 0, 0, 0]","[17040670720, 12378701824, 17040670720, 17040670720]",14.9,303504474112
17,1735913684.044475,"[0, 0, 0, 0]","[17183277056, 17241997312, 17239900160, 17223122944]",13.2,303624605696
18,1735913685.0526252,"[0, 0, 0, 0]","[18540134400, 18716295168, 18722586624, 18571591680]",16.1,303643144192
19,1735913686.0574238,"[0, 0, 0, 0]","[19194445824, 19345440768, 19345440768, 19194445824]",18.6,303694348288
20,1735913687.060442,"[0, 0, 0, 0]","[23353098240, 21197225984, 22350659584, 22199664640]",16.0,303709057024
21,1735913688.2450106,"[0, 0, 0, 0]","[33727709184, 33878704128, 33878704128, 29116071936]",14.2,303684763648
22,1735913689.2475135,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.2,303678480384
23,1735913690.2498536,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.0,303676964864
24,1735913691.251745,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.9,303665856512
25,1735913692.2536247,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",19.1,303674658816
26,1735913693.2556617,"[78, 72, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.2,303641612288
27,1735913694.2576947,"[88, 90, 100, 71]","[33729806336, 33880801280, 33880801280, 33729806336]",14.3,303685128192
28,1735913695.259853,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.6,303665283072
29,1735913696.2620573,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",18.1,303651753984
30,1735913697.2640007,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",17.9,303689990144
31,1735913698.2661083,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.7,303698329600
32,1735913699.268158,"[95, 80, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.2,303683825664
33,1735913700.2706022,"[79, 81, 100, 68]","[33729806336, 33880801280, 33880801280, 33729806336]",12.8,303685402624
34,1735913701.2729719,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.9,303995920384
35,1735913702.2754633,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.3,304026832896
36,1735913703.277624,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.8,304009023488
37,1735913704.2798119,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.4,304022679552
38,1735913705.281972,"[100, 100, 87, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.5,303991312384
39,1735913706.2841403,"[71, 64, 75, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",18.2,304262152192
40,1735913707.2865062,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.8,303969869824
41,1735913708.2883968,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.9,304238833664
42,1735913709.2901776,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.9,297341992960
43,1735913710.2918735,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.1,279121793024
44,1735913711.2937715,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.6,262676086784
45,1735913712.2959332,"[71, 68, 70, 88]","[33729806336, 33880801280, 33880801280, 33729806336]",14.6,246427942912
46,1735913713.2978997,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.3,245477142528
47,1735913714.2998571,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.6,245527724032
48,1735913715.3018196,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.8,245532463104
49,1735913716.3036304,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",18.3,245564841984
50,1735913717.3058708,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",17.1,245578887168
51,1735913718.3081768,"[86, 83, 71, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.1,245574115328
52,1735913719.310245,"[78, 80, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.1,246131687424
53,1735913720.3123455,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.8,246133829632
54,1735913721.3142605,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.0,246171230208
55,1735913722.3162732,"[100, 100, 99, 99]","[33729806336, 33880801280, 33880801280, 33729806336]",14.5,246291410944
56,1735913723.3186197,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",23.6,246383644672
57,1735913724.3215957,"[100, 100, 89, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.9,247272484864
58,1735913725.3234081,"[70, 71, 73, 66]","[33729806336, 33880801280, 33880801280, 33729806336]",15.7,247627706368
59,1735913726.3255234,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.5,248052121600
60,1735913727.3279524,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",15.2,248522465280
61,1735913728.3302035,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.7,248975396864
62,1735913729.3324502,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",15.5,249870872576
63,1735913730.334771,"[100, 100, 100, 88]","[33729806336, 33880801280, 33880801280, 33729806336]",14.4,250312175616
64,1735913731.337125,"[70, 66, 71, 77]","[33729806336, 33880801280, 33880801280, 33729806336]",13.7,250739458048
65,1735913732.3391178,"[100, 99, 100, 99]","[33729806336, 33880801280, 33880801280, 33729806336]",16.1,251138314240
66,1735913733.3414464,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.9,251635994624
67,1735913734.3433592,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.9,252354383872
68,1735913735.3452826,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.3,252803706880
69,1735913736.3470602,"[100, 67, 70, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",20.1,253195845632
70,1735913737.3490217,"[70, 71, 71, 71]","[33729806336, 33880801280, 33880801280, 33729806336]",14.3,255006224384
71,1735913738.3509424,"[93, 91, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.8,256731967488
72,1735913739.3528352,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.9,258466029568
73,1735913740.3548799,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.7,260376289280
74,1735913741.3571005,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.1,262233694208
75,1735913742.358856,"[100, 95, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",15.5,264017698816
76,1735913743.3609462,"[100, 68, 84, 68]","[33729806336, 33880801280, 33880801280, 33729806336]",15.7,265653526528
77,1735913744.3626776,"[100, 100, 81, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.9,266971893760
78,1735913745.3649983,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",17.5,268487725056
79,1735913746.3669703,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",17.5,270409363456
80,1735913747.368846,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",17.1,272203042816
81,1735913748.370878,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.4,273984274432
82,1735913749.37273,"[72, 100, 100, 79]","[33729806336, 33880801280, 33880801280, 33729806336]",13.9,275508125696
83,1735913750.3746457,"[100, 100, 99, 86]","[33729806336, 33880801280, 33880801280, 33729806336]",13.3,277302521856
84,1735913751.3766382,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.8,278952820736
85,1735913752.3786263,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.4,280698331136
86,1735913753.3807244,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.3,282305597440
87,1735913754.3823354,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.8,284233461760
88,1735913755.3841188,"[100, 73, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",15.5,285028200448
89,1735913756.3860257,"[75, 90, 100, 71]","[33729806336, 33880801280, 33880801280, 33729806336]",19.3,286986620928
90,1735913757.388258,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",15.9,288411906048
91,1735913758.39077,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.5,290368811008
92,1735913759.3928077,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.8,292284231680
93,1735913760.3948536,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.0,293828169728
94,1735913761.3971002,"[100, 100, 91, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.6,295191547904
95,1735913762.3991477,"[72, 70, 99, 71]","[33729806336, 33880801280, 33880801280, 33729806336]",15.0,297151037440
96,1735913763.4011796,"[100, 100, 100, 98]","[33729806336, 33880801280, 33880801280, 33729806336]",13.0,297985536000
97,1735913764.4029562,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.7,298096259072
98,1735913765.4046729,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.2,298230947840
99,1735913766.4064586,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",19.1,298420039680
100,1735913767.4085221,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.8,298611359744
101,1735913768.4105449,"[72, 71, 71, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.0,298797072384
102,1735913769.4124024,"[100, 100, 100, 63]","[33729806336, 33880801280, 33880801280, 33729806336]",15.6,298962075648
103,1735913770.41422,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.9,299118358528
104,1735913771.4160204,"[99, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.9,299275051008
105,1735913772.417856,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.5,299371405312
106,1735913773.4197083,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.8,299527168000
107,1735913774.4215527,"[75, 87, 71, 71]","[33729806336, 33880801280, 33880801280, 33729806336]",12.8,299660775424
108,1735913775.423472,"[89, 75, 100, 71]","[33729806336, 33880801280, 33880801280, 33729806336]",16.2,299779751936
109,1735913776.4254193,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",17.1,299945644032
110,1735913777.4272459,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",13.5,300089667584
111,1735913778.429357,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",15.1,300213469184
112,1735913779.4317048,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.6,300391698432
113,1735913780.4338143,"[100, 100, 98, 72]","[33729806336, 33880801280, 33880801280, 33729806336]",13.9,300557725696
114,1735913781.4353623,"[70, 71, 71, 92]","[33729806336, 33880801280, 33880801280, 33729806336]",12.3,300698836992
115,1735913782.4370732,"[100, 100, 100, 84]","[33729806336, 33880801280, 33880801280, 33729806336]",15.4,300884525056
116,1735913783.4395306,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",12.8,301030400000
117,1735913784.4415529,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",16.4,300725063680
118,1735913785.4432557,"[100, 100, 99, 99]","[33729806336, 33880801280, 33880801280, 33729806336]",15.3,301218942976
119,1735913786.4451945,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",20.1,301729296384
120,1735913787.447188,"[72, 70, 70, 70]","[33729806336, 33880801280, 33880801280, 33729806336]",15.9,302161813504
121,1735913788.4488952,"[100, 96, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.6,302667997184
122,1735913789.4512386,"[100, 100, 100, 100]","[33729806336, 33880801280, 33880801280, 33729806336]",14.7,303164379136
