iteration,latency (ms)
0,313.725830078125
1,313.2867431640625
2,313.9610900878906
3,313.2024230957031
4,313.6315612792969
5,313.5817565917969
6,312.97210693359375
7,312.89630126953125
8,313.0534973144531
9,313.2881164550781
10,313.0952453613281
11,313.4106140136719
12,313.29315185546875
13,313.48028564453125
14,312.9706115722656
15,313.1377258300781
16,313.2250671386719
17,313.3152770996094
18,313.0682373046875
19,312.6462097167969
20,313.39154052734375
21,313.050048828125
22,312.99810791015625
23,313.4856872558594
24,313.808349609375
25,312.8650817871094
26,312.8213195800781
27,313.1082763671875
28,313.32342529296875
29,313.41790771484375
30,313.1942138671875
31,313.1092834472656
32,312.8436584472656
33,313.2062072753906
34,312.6517333984375
35,313.0777893066406
36,313.4101257324219
37,313.13287353515625
38,314.2351989746094
39,313.4158630371094
40,313.62957763671875
41,313.74517822265625
42,313.2318420410156
43,312.9154968261719
44,312.9436340332031
45,312.9933776855469
46,313.4117431640625
47,313.74365234375
48,313.2245178222656
49,312.94097900390625
50,312.8946228027344
51,313.7254333496094
52,312.8458557128906
53,312.723388671875
54,313.5543212890625
55,313.56903076171875
56,313.710205078125
57,313.4032287597656
58,313.39508056640625
59,313.20111083984375
60,313.4690246582031
61,313.1026916503906
62,314.0518798828125
63,313.4513244628906
64,313.20709228515625
65,313.16888427734375
66,312.81256103515625
67,312.7332458496094
68,314.23211669921875
69,313.70355224609375
70,313.10089111328125
71,312.7075500488281
72,313.251708984375
73,313.1943359375
74,313.7320556640625
75,313.2087707519531
76,313.8141174316406
77,313.2352600097656
78,313.2503662109375
79,313.1568603515625
80,314.0712585449219
81,313.3535461425781
82,312.8872985839844
83,313.058837890625
84,313.66595458984375
85,313.6163024902344
86,313.2998352050781
87,313.97576904296875
88,313.05584716796875
89,313.0659484863281
90,313.3276062011719
91,313.5389099121094
92,312.82794189453125
93,313.92352294921875
94,313.21429443359375
95,313.4415588378906
96,313.745361328125
97,313.4104919433594
98,313.5381164550781
99,313.3242492675781
