,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736016725.826051,"[0, 2, 0, 0]","[928710656, 1368653824, 934936576, 1377107968]",0.0,19781492736
1,1736016727.1313393,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",1.7,20006494208
2,1736016728.2039552,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",3.2,20027052032
3,1736016729.211668,"[0, 0, 0, 0]","[928710656, 1368653824, 1374879744, 1377107968]",3.7,20065284096
4,1736016730.5921502,"[0, 33, 0, 0]","[928710656, 4323540992, 1374879744, 1377107968]",33.0,27229925376
5,1736016731.5945754,"[34, 0, 0, 0]","[3652452352, 5751701504, 3658678272, 5760155648]",38.8,34651779072
6,1736016732.5970683,"[0, 7, 0, 0]","[5751701504, 7769161728, 5757927424, 5760155648]",1.9,34752581632
7,1736016733.5994966,"[9, 0, 8, 0]","[7769161728, 16065495040, 7775387648, 7777615872]",6.4,34979303424
8,1736016734.7145908,"[3, 0, 0, 0]","[16065495040, 24361828352, 16071720960, 24370282496]",2.7,34977116160
9,1736016735.718178,"[6, 6, 6, 6]","[24414257152, 24414257152, 24420483072, 24422711296]",1.9,35566100480
10,1736016736.7269497,"[0, 0, 0, 0]","[25068568576, 25219563520, 25225789440, 25077022720]",2.9,35595771904
11,1736016737.7311523,"[0, 0, 0, 0]","[26568032256, 26719027200, 26725253120, 26576486400]",4.3,35605917696
12,1736016738.7334564,"[0, 0, 0, 0]","[26568032256, 26719027200, 26725253120, 26576486400]",3.4,35613577216
13,1736016740.323294,"[0, 0, 7, 0]","[45366902784, 53816328192, 53822554112, 45375356928]",3.6,35591966720
14,1736016741.3261087,"[100, 100, 100, 100]","[53665333248, 53816328192, 53822554112, 53673787392]",3.2,35574358016
15,1736016742.3294287,"[100, 85, 95, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.3,35573145600
16,1736016743.3315551,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35573055488
17,1736016744.3337176,"[100, 83, 94, 71]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35573694464
18,1736016745.3359313,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35571179520
19,1736016746.33782,"[100, 76, 88, 96]","[53667430400, 53818425344, 53824651264, 53675884544]",8.1,35563257856
20,1736016747.3397841,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.6,35562622976
21,1736016748.3415692,"[100, 77, 89, 97]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35560484864
22,1736016749.3435674,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35559424000
23,1736016750.3465958,"[100, 80, 92, 99]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35555758080
24,1736016751.3489296,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35554856960
25,1736016752.3512158,"[100, 80, 97, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35553034240
26,1736016753.3530204,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.7,35552014336
27,1736016754.354972,"[100, 82, 71, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35549851648
28,1736016755.3569171,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.3,35545554944
29,1736016756.358791,"[68, 84, 69, 70]","[53667430400, 53818425344, 53824651264, 53675884544]",6.3,35544977408
30,1736016757.3606763,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.7,35536904192
31,1736016758.3625457,"[69, 87, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35535568896
32,1736016759.364574,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.3,35536318464
33,1736016760.3666089,"[71, 86, 70, 70]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35533824000
34,1736016761.3689597,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.2,35528966144
35,1736016762.3708096,"[69, 91, 69, 69]","[53667430400, 53818425344, 53824651264, 53675884544]",3.5,35527098368
36,1736016763.3725526,"[100, 100, 100, 100]","[53667430400, 53818425344, 53824651264, 53675884544]",3.3,35529269248
