iteration,Latency (s)
0,1.9476265907287598
1,1.9446625709533691
2,1.9490251541137695
3,1.944516897201538
4,1.945753812789917
5,1.9479193687438965
6,1.9457314014434814
7,1.94331955909729
8,1.9483628273010254
9,1.9450485706329346
10,1.9440522193908691
11,1.9435913562774658
12,1.945404291152954
13,1.9490725994110107
14,1.9432356357574463
15,1.9438464641571045
16,1.947641134262085
17,1.9439709186553955
18,1.9465489387512207
19,1.950774908065796
20,1.943800449371338
21,1.9434585571289062
22,1.9444751739501953
23,1.946007490158081
24,1.9460530281066895
25,1.9459033012390137
26,1.9432504177093506
27,1.9453299045562744
28,1.9433858394622803
29,1.9429845809936523
30,1.9436638355255127
31,1.9464781284332275
32,1.9445664882659912
33,1.9456908702850342
34,1.944406509399414
35,1.9462406635284424
36,1.9444658756256104
37,1.943993330001831
38,1.9478442668914795
39,1.9461572170257568
40,1.9445829391479492
41,1.9431984424591064
42,1.9438145160675049
43,1.9451713562011719
44,1.946382761001587
45,1.9455788135528564
46,1.9458591938018799
47,1.9447903633117676
48,1.9434161186218262
49,1.9462075233459473
50,1.9455718994140625
51,1.946645975112915
52,1.9437158107757568
53,1.9438652992248535
54,1.9448809623718262
55,1.9441030025482178
56,1.9453623294830322
57,1.9462153911590576
58,1.9439067840576172
59,1.9476490020751953
60,1.9445877075195312
61,1.944169044494629
62,1.9455363750457764
63,1.9437401294708252
64,1.9455995559692383
65,1.946378469467163
66,1.9454596042633057
67,1.9444432258605957
68,1.9491806030273438
69,1.9435794353485107
70,1.9453964233398438
71,1.9447760581970215
72,1.9439802169799805
73,1.9456937313079834
74,1.945955753326416
75,1.9468331336975098
76,1.9478387832641602
77,1.944981336593628
78,1.9444997310638428
79,1.9478485584259033
80,1.9449732303619385
81,1.949599266052246
82,1.9494171142578125
83,1.946268081665039
84,1.9456822872161865
85,1.9483494758605957
86,1.9460289478302002
87,1.9488656520843506
88,1.9446122646331787
89,1.9464163780212402
90,1.9463257789611816
91,1.9452273845672607
92,1.9467880725860596
93,1.947169303894043
94,1.9473176002502441
95,1.9464735984802246
96,1.9457063674926758
97,1.9428000450134277
98,1.9443838596343994
99,1.9458346366882324
