,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735923479.9287798,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,29341573120
1,1735923480.9332862,"[0, 0, 0, 0]","[928710656, 928710656, 957612032, 1368653824]",4.6,29674979328
2,1735923482.1967092,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.8,29780537344
3,1735923483.207681,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.0,29779296256
4,1735923484.2151918,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.1,29826781184
5,1735923485.554932,"[0, 0, 0, 22]","[928710656, 1368653824, 1368653824, 5395185664]",66.5,37642014720
6,1735923486.5569105,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 5751701504]",98.8,39543234560
7,1735923487.5588877,"[0, 0, 0, 9]","[928710656, 1368653824, 1368653824, 7769161728]",98.7,41345511424
8,1735923488.5609405,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 7769161728]",98.4,42463723520
9,1735923489.660543,"[3, 21, 12, 0]","[1702100992, 3652452352, 4931715072, 16065495040]",59.9,44435419136
10,1735923490.6627817,"[5, 0, 0, 0]","[3023306752, 5751701504, 5751701504, 24361828352]",7.4,44438081536
11,1735923491.6652787,"[41, 10, 9, 0]","[5751701504, 7769161728, 7769161728, 24361828352]",6.3,44643377152
12,1735923493.3834913,"[8, 0, 0, 0]","[7769161728, 24361828352, 24361828352, 24361828352]",6.2,44817334272
13,1735923494.3869805,"[3, 0, 0, 0]","[16065495040, 24361828352, 24361828352, 24361828352]",8.0,44786368512
14,1735923495.3888748,"[6, 6, 0, 6]","[24414257152, 24414257152, 24414257152, 24414257152]",1.7,45386383360
15,1735923496.3976912,"[0, 0, 0, 0]","[25068568576, 25219563520, 25219563520, 25068568576]",2.7,45418725376
16,1735923497.4030297,"[0, 0, 0, 0]","[26568032256, 26719027200, 26719027200, 26568032256]",3.9,45451333632
17,1735923498.406178,"[0, 0, 0, 0]","[26568032256, 26719027200, 26719027200, 26568032256]",3.5,45460434944
18,1735923500.008223,"[0, 0, 0, 0]","[53665333248, 45517897728, 45517897728, 45366902784]",7.8,45496381440
