,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735841436.3471687,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,24405614592
1,1735841437.5786748,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.2,24626634752
2,1735841438.5932617,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.5,24719183872
3,1735841439.606723,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.7,24735621120
4,1735841440.7936702,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",16.7,26531323904
5,1735841441.8914814,"[0, 0, 23, 0]","[2457075712, 1368653824, 3652452352, 1368653824]",42.0,35168931840
6,1735841442.893688,"[0, 14, 0, 32]","[5751701504, 5751701504, 5751701504, 5751701504]",26.3,39467343872
7,1735841443.8960667,"[7, 0, 9, 0]","[5944639488, 5751701504, 6632505344, 5751701504]",5.9,39771774976
8,1735841445.6472218,"[0, 0, 0, 0]","[8475901952, 8475901952, 10319298560, 8475901952]",7.7,39868284928
9,1735841446.6502218,"[0, 0, 0, 4]","[10371727360, 10371727360, 10371727360, 10371727360]",7.1,40269795328
10,1735841447.6590111,"[0, 0, 0, 0]","[11026038784, 11177033728, 11177033728, 11026038784]",5.6,40306835456
11,1735841448.661916,"[0, 0, 0, 0]","[12525502464, 12676497408, 12676497408, 12525502464]",6.1,40335429632
12,1735841449.6680925,"[0, 0, 0, 0]","[12525502464, 12676497408, 12676497408, 12525502464]",6.3,40340041728
13,1735841450.87265,"[0, 0, 0, 0]","[15874654208, 18561105920, 16717709312, 18410110976]",6.3,40363388928
14,1735841451.8758519,"[100, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.5,40335937536
15,1735841452.878197,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",8.2,40313827328
16,1735841453.880318,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.6,40302080000
17,1735841454.8826795,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.5,40281108480
18,1735841455.8844864,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.8,40276094976
19,1735841456.8864481,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.6,40271769600
20,1735841457.888079,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.5,40263651328
21,1735841458.8900824,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.6,40266432512
22,1735841459.8921218,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.5,40291561472
23,1735841460.8941557,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.7,40402796544
24,1735841461.8965218,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.7,40439566336
25,1735841462.8987594,"[100, 99, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.2,40467165184
26,1735841463.9007125,"[100, 94, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.0,40386711552
27,1735841464.9027998,"[100, 93, 88, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.8,40328736768
28,1735841465.9051244,"[100, 91, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.8,40318939136
29,1735841466.9072888,"[100, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.5,40314212352
30,1735841467.9089847,"[100, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.5,40304164864
31,1735841468.911352,"[100, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.7,40299405312
32,1735841469.9135134,"[98, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.9,40289923072
33,1735841470.9159207,"[94, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.7,40289406976
34,1735841471.917919,"[91, 88, 100, 90]","[17720147968, 18563203072, 18563203072, 18412208128]",5.6,40285052928
35,1735841472.91978,"[87, 88, 88, 95]","[17720147968, 18563203072, 18563203072, 18412208128]",5.5,40282038272
36,1735841473.921678,"[88, 88, 100, 92]","[17720147968, 18563203072, 18563203072, 18412208128]",5.5,40276684800
37,1735841474.9235897,"[100, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",5.6,40273768448
38,1735841475.925551,"[87, 88, 90, 87]","[17720147968, 18563203072, 18563203072, 18412208128]",8.0,40354324480
39,1735841476.9279122,"[88, 88, 94, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",8.1,40384344064
40,1735841477.929672,"[100, 88, 91, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",7.9,40461647872
41,1735841478.931476,"[87, 88, 99, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.5,40391983104
42,1735841479.9340062,"[86, 88, 100, 87]","[17720147968, 18563203072, 18563203072, 18412208128]",7.2,40375623680
43,1735841480.9361887,"[88, 88, 88, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",8.7,40458293248
44,1735841481.9384656,"[100, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.9,40397987840
45,1735841482.9406598,"[87, 88, 100, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",7.4,40386777088
46,1735841483.9424732,"[100, 88, 88, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",7.2,40379899904
47,1735841484.9442549,"[100, 87, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.1,40371548160
48,1735841485.9460227,"[88, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",8.4,40321146880
49,1735841486.948163,"[88, 88, 100, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",9.4,40325238784
50,1735841487.9504812,"[100, 88, 100, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",9.1,40403177472
51,1735841488.9522707,"[100, 88, 98, 99]","[17720147968, 18563203072, 18563203072, 18412208128]",9.0,40415875072
52,1735841489.9544423,"[88, 100, 100, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",7.7,40357933056
53,1735841490.9563713,"[88, 88, 100, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",7.4,40310976512
54,1735841491.9582312,"[100, 87, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",6.7,40303063040
55,1735841492.9600282,"[87, 88, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",6.4,40298127360
56,1735841493.9619377,"[88, 88, 100, 89]","[17720147968, 18563203072, 18563203072, 18412208128]",6.3,40290885632
57,1735841494.963719,"[100, 90, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",6.3,40285589504
58,1735841495.9655976,"[88, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",6.4,40281219072
59,1735841496.9674132,"[88, 100, 100, 88]","[17720147968, 18563203072, 18563203072, 18412208128]",6.3,40274051072
60,1735841497.969157,"[100, 98, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.9,40335155200
61,1735841498.9702244,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",8.4,40365789184
62,1735841499.9721525,"[90, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.5,40361340928
63,1735841500.9739938,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",8.9,40359833600
64,1735841501.976195,"[100, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.4,40356499456
65,1735841502.9954736,"[99, 100, 100, 100]","[17720147968, 18563203072, 18563203072, 18412208128]",7.0,40342401024
