iteration,latency (ms)
0,316.1224670410156
1,315.85296630859375
2,315.768310546875
3,315.5706787109375
4,316.0525207519531
5,316.1087951660156
6,315.6233825683594
7,315.8990783691406
8,316.43084716796875
9,315.91156005859375
10,315.6927185058594
11,316.5016784667969
12,315.9599304199219
13,316.4735412597656
14,315.866455078125
15,316.2196350097656
16,315.24798583984375
17,316.0764465332031
18,315.6163024902344
19,315.5366516113281
20,315.9693908691406
21,315.85406494140625
22,315.84564208984375
23,315.78253173828125
24,316.1468505859375
25,315.8553771972656
26,315.9411926269531
27,315.9237060546875
28,315.8358459472656
29,316.1200866699219
30,316.2173156738281
31,315.595947265625
32,316.0318603515625
33,315.81402587890625
34,315.9842834472656
35,315.6307067871094
36,315.99224853515625
37,315.4500732421875
38,315.4395446777344
39,315.6214904785156
40,315.1136779785156
41,315.7483825683594
42,315.89306640625
43,315.67449951171875
44,315.8730773925781
45,315.8189392089844
46,315.5540771484375
47,315.7174377441406
48,316.2685546875
49,316.3789978027344
50,316.0479736328125
51,315.40521240234375
52,315.926025390625
53,316.0791320800781
54,316.2705383300781
55,315.5849609375
56,315.5832214355469
57,315.6998291015625
58,315.7637939453125
59,316.13055419921875
60,316.1637878417969
61,315.8497009277344
62,315.5251159667969
63,315.8645935058594
64,315.9073791503906
65,315.63165283203125
66,315.9966735839844
67,315.8918762207031
68,316.07550048828125
69,315.8877258300781
70,315.9711608886719
71,315.50775146484375
72,315.8403625488281
73,316.486572265625
74,315.708251953125
75,316.0213928222656
76,315.70989990234375
77,315.5617370605469
78,315.87774658203125
79,315.74395751953125
80,315.2660827636719
81,316.16680908203125
82,315.5232238769531
83,315.278564453125
84,316.2677307128906
85,315.2616271972656
86,315.69049072265625
87,315.4333190917969
88,315.5304870605469
89,316.3865051269531
90,315.8721008300781
91,315.47357177734375
92,315.5963439941406
93,315.7734375
94,316.302978515625
95,315.6240539550781
96,315.91619873046875
97,315.67132568359375
98,315.50347900390625
99,315.93646240234375
