iteration,Latency (s)
0,2.015122652053833
1,2.011273145675659
2,2.0083425045013428
3,2.0082948207855225
4,2.009920358657837
5,2.0091872215270996
6,2.010751962661743
7,2.0161707401275635
8,2.009153127670288
9,2.012112855911255
10,2.0118324756622314
11,2.0100133419036865
12,2.010967254638672
13,2.011420249938965
14,2.011537551879883
15,2.016120195388794
16,2.0113015174865723
17,2.008970022201538
18,2.011284351348877
19,2.0155811309814453
20,2.0080604553222656
21,2.010178565979004
22,2.011890411376953
23,2.00895094871521
24,2.007761240005493
25,2.008810520172119
26,2.0141007900238037
27,2.011824131011963
28,2.0114071369171143
29,2.0081398487091064
30,2.0164856910705566
31,2.0139310359954834
32,2.0127291679382324
33,2.0127530097961426
34,2.0109028816223145
35,2.0114707946777344
36,2.00778865814209
37,2.0096073150634766
38,2.0129311084747314
39,2.013370990753174
40,2.010930061340332
41,2.0098164081573486
42,2.0090630054473877
43,2.008484363555908
44,2.0080535411834717
45,2.014227867126465
46,2.0087544918060303
47,2.011094093322754
48,2.0106844902038574
49,2.013401746749878
50,2.012497663497925
51,2.0103163719177246
52,2.0104143619537354
53,2.0120348930358887
54,2.0094645023345947
55,2.01438570022583
56,2.0090372562408447
57,2.00830078125
58,2.0128796100616455
59,2.011836051940918
60,2.0128421783447266
61,2.010483503341675
62,2.0141408443450928
63,2.0111501216888428
64,2.0106201171875
65,2.006981611251831
66,2.0074024200439453
67,2.0096936225891113
68,2.008376359939575
69,2.011867046356201
70,2.013770341873169
71,2.0121371746063232
72,2.0127429962158203
73,2.012302875518799
74,2.009756326675415
75,2.0134222507476807
76,2.0099799633026123
77,2.00998592376709
78,2.0088255405426025
79,2.0103862285614014
80,2.0076863765716553
81,2.0086607933044434
82,2.007523775100708
83,2.0074124336242676
84,2.013984441757202
85,2.0107550621032715
86,2.007474899291992
87,2.0122852325439453
88,2.0117170810699463
89,2.0123324394226074
90,2.0122766494750977
91,2.010197401046753
92,2.0100042819976807
93,2.0096001625061035
94,2.0099122524261475
95,2.00921630859375
96,2.0110721588134766
97,2.011620044708252
98,2.0071024894714355
99,2.011206865310669
