,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735835160.180614,"[0, 0, 0, 1]","[928710656, 1368653824, 1368653824, 1368653824]",0.0,22574108672
1,1735835161.544696,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.6,22593499136
2,1735835162.5592217,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",57.6,23123251200
3,1735835163.5610235,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.6,23889326080
4,1735835164.5629814,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.2,24671367168
5,1735835165.5650291,"[0, 0, 0, 0]","[947126272, 1368653824, 1368653824, 1368653824]",98.1,25512935424
6,1735835166.5668547,"[5, 2, 3, 0]","[1911816192, 1911816192, 1785987072, 1911816192]",79.1,26325188608
7,1735835167.6039553,"[0, 0, 3, 0]","[2729705472, 2729705472, 2729705472, 2729705472]",9.0,26363092992
8,1735835168.6108437,"[0, 0, 0, 0]","[2729705472, 2729705472, 2729705472, 2729705472]",6.6,26315304960
9,1735835169.613126,"[0, 0, 0, 0]","[4749262848, 4749262848, 4749262848, 4749262848]",10.4,26744389632
10,1735835170.621246,"[0, 0, 0, 0]","[7699955712, 10650648576, 7699955712, 7699955712]",11.7,26695331840
11,1735835171.624657,"[0, 0, 0, 0]","[10732437504, 10734534656, 10717757440, 10738728960]",9.8,27306344448
12,1735835172.6266973,"[0, 0, 0, 0]","[12410159104, 12554862592, 12561154048, 12410159104]",10.9,27315343360
13,1735835173.6287649,"[0, 0, 0, 0]","[12856852480, 13007847424, 13007847424, 12856852480]",9.6,27281002496
14,1735835174.6310978,"[0, 0, 0, 0]","[21834760192, 21985755136, 21985755136, 21834760192]",9.0,27290304512
15,1735835175.6330147,"[0, 0, 0, 0]","[24785453056, 24936448000, 24936448000, 24785453056]",8.5,27263918080
16,1735835176.6351318,"[92, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27263930368
17,1735835177.637001,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27245355008
18,1735835178.6388419,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",11.0,27246088192
19,1735835179.6405401,"[98, 84, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.6,27234652160
20,1735835180.6421907,"[66, 86, 100, 70]","[24787550208, 24938545152, 24938545152, 24787550208]",9.6,27233390592
21,1735835181.6437938,"[98, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.0,27229536256
22,1735835182.6456428,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.8,27282309120
23,1735835183.6472948,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.4,27353006080
24,1735835184.648518,"[69, 71, 70, 71]","[24787550208, 24938545152, 24938545152, 24787550208]",10.1,27261100032
25,1735835185.6496718,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.8,27256131584
26,1735835186.651492,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27248701440
27,1735835187.6531682,"[100, 96, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.8,27239407616
28,1735835188.6549191,"[71, 76, 70, 70]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27235151872
29,1735835189.6566374,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.6,27227979776
30,1735835190.6584806,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.6,27216044032
31,1735835191.6602306,"[100, 88, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27202674688
32,1735835192.6618896,"[70, 85, 71, 72]","[24787550208, 24938545152, 24938545152, 24787550208]",8.8,27188375552
33,1735835193.6636014,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27183271936
34,1735835194.6653225,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27180257280
35,1735835195.6670003,"[100, 77, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27176812544
36,1735835196.6685915,"[78, 95, 72, 70]","[24787550208, 24938545152, 24938545152, 24787550208]",8.6,27170500608
37,1735835197.670399,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.7,27162554368
38,1735835198.672032,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.2,27156824064
39,1735835199.6737044,"[85, 70, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.9,27162275840
40,1735835200.6753619,"[86, 100, 72, 70]","[24787550208, 24938545152, 24938545152, 24787550208]",10.0,27152543744
41,1735835201.6771467,"[88, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.6,27183149056
42,1735835202.6788821,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.5,27180085248
43,1735835203.6805308,"[76, 72, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.5,27178422272
44,1735835204.6820862,"[75, 100, 70, 71]","[24787550208, 24938545152, 24938545152, 24787550208]",9.5,27174354944
45,1735835205.6837373,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.8,27179229184
46,1735835206.6855404,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.3,27179573248
47,1735835207.6872566,"[71, 72, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",11.0,27172151296
48,1735835208.6889036,"[71, 71, 68, 68]","[24787550208, 24938545152, 24938545152, 24787550208]",10.4,27162759168
49,1735835209.6905468,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.5,27202994176
50,1735835210.6921825,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.7,27205525504
51,1735835211.693687,"[100, 100, 97, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.5,27204059136
52,1735835212.6953146,"[72, 71, 75, 72]","[24787550208, 24938545152, 24938545152, 24787550208]",11.9,27299676160
53,1735835213.697018,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",13.8,27389628416
54,1735835214.6986828,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",11.8,27330514944
55,1735835215.7003307,"[100, 100, 89, 90]","[24787550208, 24938545152, 24938545152, 24787550208]",11.1,27326488576
56,1735835216.7019665,"[100, 71, 85, 83]","[24787550208, 24938545152, 24938545152, 24787550208]",11.2,27322499072
57,1735835217.7036152,"[100, 100, 86, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.5,27309662208
58,1735835218.7049997,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.3,27297697792
59,1735835219.7067447,"[71, 100, 77, 79]","[24787550208, 24938545152, 24938545152, 24787550208]",10.2,27285020672
60,1735835220.708365,"[100, 72, 75, 76]","[24787550208, 24938545152, 24938545152, 24787550208]",11.3,27278884864
61,1735835221.7096572,"[100, 100, 99, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.9,27274645504
62,1735835222.7113,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.3,27271077888
63,1735835223.7128634,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.5,27263483904
64,1735835224.714505,"[72, 71, 71, 72]","[24787550208, 24938545152, 24938545152, 24787550208]",10.2,27259305984
65,1735835225.7161837,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",11.6,27324874752
66,1735835226.7181134,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",12.6,27313315840
67,1735835227.7198434,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",12.0,27304849408
68,1735835228.721608,"[70, 72, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.8,27290816512
69,1735835229.723275,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.2,27285344256
70,1735835230.7249384,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",11.6,27277090816
71,1735835231.7265146,"[100, 89, 100, 72]","[24787550208, 24938545152, 24938545152, 24787550208]",10.3,27273494528
72,1735835232.7281675,"[72, 86, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.2,27261583360
73,1735835233.72983,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.3,27262361600
74,1735835234.731473,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.2,27259584512
75,1735835235.7330942,"[94, 76, 100, 72]","[24787550208, 24938545152, 24938545152, 24787550208]",10.2,27258683392
76,1735835236.7347507,"[80, 98, 100, 72]","[24787550208, 24938545152, 24938545152, 24787550208]",10.5,27255664640
77,1735835237.7364478,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.3,27251531776
78,1735835238.7382915,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",9.9,27236065280
79,1735835239.7399342,"[87, 72, 70, 71]","[24787550208, 24938545152, 24938545152, 24787550208]",9.6,27362398208
80,1735835240.741326,"[86, 100, 69, 70]","[24787550208, 24938545152, 24938545152, 24787550208]",13.3,27293278208
81,1735835241.7421973,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.3,27280191488
82,1735835242.7438579,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",10.2,27168440320
83,1735835243.7455037,"[80, 72, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.8,27158523904
84,1735835244.7471783,"[93, 100, 69, 72]","[24787550208, 24938545152, 24938545152, 24787550208]",7.9,27150491648
85,1735835245.74885,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.2,27144708096
86,1735835246.7505238,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",7.9,27138486272
87,1735835247.7521827,"[72, 72, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",7.9,27136937984
88,1735835248.7538295,"[100, 71, 71, 71]","[24787550208, 24938545152, 24938545152, 24787550208]",7.9,27121860608
89,1735835249.7554681,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.1,27113795584
90,1735835250.7570322,"[100, 100, 100, 100]","[24787550208, 24938545152, 24938545152, 24787550208]",8.8,27103305728
