iteration,latency (ms)
0,174.736572265625
1,174.86502075195312
2,174.63404846191406
3,174.11756896972656
4,174.2632598876953
5,173.908447265625
6,174.80764770507812
7,174.30108642578125
8,175.10243225097656
9,174.84451293945312
10,174.4634246826172
11,174.14108276367188
12,174.85113525390625
13,175.02511596679688
14,174.58860778808594
15,174.86819458007812
16,174.45791625976562
17,174.77420043945312
18,174.5931854248047
19,174.42127990722656
20,175.09266662597656
21,174.361083984375
22,174.80650329589844
23,174.61590576171875
24,174.19180297851562
25,174.7657012939453
26,174.50991821289062
27,174.8555908203125
28,174.33938598632812
29,174.96937561035156
30,174.96453857421875
31,174.62908935546875
32,174.64247131347656
33,174.62789916992188
34,175.00064086914062
35,175.003173828125
36,175.0272674560547
37,175.08096313476562
38,174.72991943359375
39,174.31362915039062
40,174.9058837890625
41,174.99801635742188
42,174.73709106445312
43,174.8173065185547
44,174.64370727539062
45,174.68675231933594
46,174.6854705810547
47,174.57696533203125
48,174.555419921875
49,174.86181640625
50,174.6163787841797
51,174.8350372314453
52,174.79254150390625
53,174.8482208251953
54,174.59823608398438
55,174.61404418945312
56,174.1868438720703
57,174.41293334960938
58,174.55264282226562
59,174.78060913085938
60,174.92874145507812
61,174.2965087890625
62,174.88409423828125
63,174.65957641601562
64,174.73248291015625
65,174.40211486816406
66,175.03765869140625
67,174.60694885253906
68,174.8695068359375
69,174.52272033691406
70,174.0526123046875
71,174.38771057128906
72,174.5753631591797
73,174.76512145996094
74,174.66207885742188
75,174.51568603515625
76,174.38966369628906
77,174.82550048828125
78,174.77818298339844
79,174.887939453125
80,174.206298828125
81,174.58038330078125
82,174.74227905273438
83,174.67420959472656
84,174.6361541748047
85,174.25804138183594
86,174.61868286132812
87,174.67388916015625
88,174.54806518554688
89,174.7526092529297
90,174.70191955566406
91,174.59933471679688
92,174.66680908203125
93,174.38607788085938
94,174.2954864501953
95,174.970458984375
96,174.7758026123047
97,174.75193786621094
98,174.7238006591797
99,175.02841186523438
