iteration,latency (s)
0,0.3875577449798584
1,0.38794660568237305
2,0.3878815174102783
3,0.3879246711730957
4,0.4024162292480469
5,0.39425015449523926
6,0.3953542709350586
7,0.39115166664123535
8,0.39223694801330566
9,0.3822629451751709
10,0.3741569519042969
11,0.3736426830291748
12,0.3706326484680176
13,0.371021032333374
14,0.37978458404541016
15,0.3717689514160156
16,0.371875524520874
17,0.38178133964538574
18,0.37241291999816895
19,0.37241148948669434
20,0.37252259254455566
21,0.38105273246765137
22,0.3838820457458496
23,0.372175931930542
24,0.3902292251586914
25,0.3722989559173584
26,0.39066004753112793
27,0.7069690227508545
28,0.3734474182128906
29,0.3811056613922119
30,0.38406872749328613
31,0.37303709983825684
32,0.3877694606781006
33,0.3717520236968994
34,0.3710215091705322
35,0.37148284912109375
36,0.38281702995300293
37,0.3712906837463379
38,0.3723030090332031
39,0.3792436122894287
40,0.37204957008361816
41,0.3722989559173584
42,0.380892276763916
43,0.3874785900115967
44,0.3740818500518799
45,0.38106656074523926
46,0.37647271156311035
47,0.37615489959716797
48,0.3915395736694336
49,0.375978946685791
50,0.38721394538879395
51,0.3821430206298828
52,0.37939023971557617
53,0.37175822257995605
54,0.3986387252807617
55,0.3750796318054199
56,0.37348389625549316
57,0.383190393447876
58,0.3739652633666992
59,0.37357616424560547
60,0.38610267639160156
61,0.374220609664917
62,0.3752124309539795
63,0.3799927234649658
64,0.3746674060821533
65,0.375042200088501
66,0.3866856098175049
67,0.3753986358642578
68,0.38751220703125
69,0.3812706470489502
70,0.38405704498291016
71,0.377669095993042
72,0.3895096778869629
73,0.3748750686645508
74,0.3821864128112793
75,0.37694692611694336
76,0.3807041645050049
77,0.37433910369873047
78,0.38373303413391113
79,0.373429536819458
80,0.3723008632659912
81,0.37736034393310547
82,0.37255334854125977
83,0.37253284454345703
84,0.37736940383911133
85,0.3723597526550293
86,0.37252283096313477
87,0.378265380859375
88,0.3711740970611572
89,0.380856990814209
90,0.37998056411743164
91,0.3744475841522217
92,0.38162875175476074
93,0.3807370662689209
94,0.38782691955566406
95,0.3740057945251465
96,0.3856034278869629
97,0.37485837936401367
98,0.3839104175567627
99,0.3748784065246582
