iteration,latency (ms),total number of bytes sent,total number of bytes recv,tokens per expert
3,29.78972816467285,0,92160000,"[85, 20, 151, 238, 45, 112, 10, 1, 58, 238, 121, 338, 92, 20, 221, 1129, 416, 24, 0, 88, 14, 380, 302, 52, 6, 0, 41, 69, 6, 205, 1002, 58, 708, 351, 81, 1632, 44, 20, 195, 169, 11, 0, 50, 0, 109, 289, 0, 114, 952, 63, 110, 69, 6, 179, 27, 13, 81, 94, 135, 30, 62, 106, 343, 19, 198, 717, 14, 374, 27, 16, 1261, 278, 2394, 404, 307, 1663, 54, 355, 39, 71, 20, 267, 189, 79, 69, 764, 50, 115, 68, 54, 199, 2, 120, 15, 1266, 280, 92, 85, 4, 1253, 1193, 79, 1064, 91, 4, 99, 16, 181, 75, 70, 32, 150, 13, 0, 468, 73, 229, 29, 614, 228, 197, 24, 57, 31, 70, 43, 47, 56]"
4,30.062496185302734,0,92160000,"[82, 16, 156, 220, 31, 105, 10, 0, 77, 205, 148, 337, 107, 12, 222, 1105, 467, 39, 0, 85, 33, 415, 294, 79, 8, 1, 53, 71, 3, 299, 1035, 44, 650, 278, 74, 1503, 33, 9, 244, 209, 8, 0, 47, 0, 165, 416, 1, 108, 1050, 52, 122, 86, 12, 156, 20, 7, 65, 90, 149, 34, 51, 151, 336, 22, 223, 789, 9, 305, 35, 20, 1209, 270, 2280, 385, 299, 1601, 46, 318, 49, 75, 16, 305, 146, 75, 95, 744, 55, 113, 83, 26, 214, 4, 95, 16, 1204, 315, 96, 105, 1, 1278, 1245, 58, 1001, 145, 5, 105, 25, 161, 61, 74, 28, 147, 13, 0, 447, 80, 260, 27, 545, 262, 186, 18, 34, 31, 94, 43, 38, 61]"
5,29.898784637451172,0,92160000,"[89, 16, 184, 202, 55, 73, 9, 0, 123, 277, 132, 366, 96, 14, 218, 1089, 462, 50, 0, 92, 13, 424, 277, 133, 10, 0, 47, 67, 4, 293, 994, 62, 615, 266, 79, 1801, 35, 15, 248, 166, 19, 0, 20, 0, 157, 295, 0, 103, 991, 56, 124, 90, 5, 140, 26, 15, 65, 91, 108, 21, 76, 114, 332, 11, 227, 791, 8, 267, 41, 16, 1183, 262, 2712, 385, 304, 1637, 66, 264, 46, 90, 20, 273, 169, 73, 81, 667, 44, 111, 112, 43, 227, 5, 142, 23, 1222, 278, 67, 70, 10, 1228, 1228, 58, 952, 103, 2, 62, 10, 162, 89, 65, 34, 161, 5, 0, 409, 64, 193, 34, 554, 257, 118, 40, 51, 24, 56, 43, 48, 59]"
6,29.97318458557129,0,92160000,"[104, 19, 145, 235, 54, 71, 7, 0, 66, 216, 152, 336, 99, 15, 225, 1332, 460, 42, 0, 91, 14, 464, 296, 110, 5, 0, 59, 66, 9, 273, 1005, 57, 617, 336, 88, 1450, 29, 12, 334, 179, 16, 0, 42, 0, 82, 438, 1, 126, 1085, 66, 107, 66, 8, 174, 28, 11, 91, 80, 120, 17, 57, 133, 363, 22, 208, 904, 7, 236, 37, 36, 1210, 252, 2434, 367, 266, 1573, 55, 319, 68, 105, 9, 271, 161, 45, 54, 839, 45, 108, 98, 43, 207, 6, 125, 19, 1272, 312, 57, 93, 3, 1186, 1113, 69, 1097, 79, 9, 74, 24, 141, 34, 78, 19, 148, 12, 0, 436, 93, 199, 27, 510, 182, 154, 15, 43, 23, 50, 46, 40, 50]"
7,29.65519905090332,0,92160000,"[94, 13, 176, 210, 33, 67, 12, 0, 95, 198, 143, 305, 79, 12, 200, 1056, 429, 44, 0, 107, 18, 448, 248, 85, 6, 2, 61, 84, 1, 203, 959, 63, 660, 335, 84, 1762, 33, 18, 260, 202, 15, 0, 27, 0, 200, 322, 0, 130, 987, 57, 108, 80, 7, 165, 19, 6, 128, 104, 166, 26, 61, 147, 360, 17, 195, 757, 6, 268, 39, 27, 1123, 292, 2678, 351, 292, 1541, 64, 320, 44, 109, 25, 338, 139, 95, 92, 679, 57, 124, 98, 16, 224, 9, 89, 20, 1221, 277, 55, 68, 5, 1188, 1232, 46, 1003, 101, 4, 102, 26, 157, 63, 62, 25, 154, 5, 0, 502, 77, 220, 19, 536, 205, 239, 26, 58, 27, 85, 46, 61, 57]"
8,31.096576690673828,0,92160000,"[95, 18, 169, 199, 44, 79, 11, 0, 72, 184, 106, 360, 86, 14, 221, 1071, 500, 34, 0, 85, 30, 406, 280, 86, 1, 3, 52, 75, 3, 231, 947, 45, 655, 346, 89, 1853, 34, 23, 229, 190, 14, 0, 27, 0, 121, 339, 3, 104, 1040, 67, 132, 82, 11, 138, 28, 12, 76, 74, 183, 39, 70, 127, 405, 20, 222, 809, 4, 296, 36, 28, 1038, 266, 2515, 390, 288, 1605, 83, 319, 81, 91, 19, 261, 196, 91, 47, 704, 61, 109, 90, 34, 219, 3, 90, 17, 1240, 256, 82, 93, 3, 1228, 1197, 68, 1032, 104, 1, 96, 19, 153, 43, 59, 25, 156, 10, 0, 426, 75, 207, 41, 519, 234, 175, 27, 79, 37, 96, 45, 78, 46]"
9,30.107711791992188,0,92160000,"[91, 18, 154, 203, 49, 77, 17, 1, 89, 218, 153, 329, 99, 14, 189, 1167, 462, 40, 0, 71, 12, 416, 296, 81, 4, 1, 78, 88, 2, 231, 982, 43, 675, 294, 93, 1383, 33, 17, 232, 160, 12, 0, 27, 0, 158, 269, 0, 91, 1096, 70, 178, 82, 9, 164, 21, 15, 79, 118, 106, 18, 80, 129, 344, 27, 187, 820, 6, 253, 27, 23, 1173, 299, 2826, 400, 354, 1508, 46, 296, 71, 134, 10, 292, 107, 63, 72, 775, 63, 109, 103, 48, 215, 5, 117, 18, 1267, 292, 67, 68, 7, 1179, 1250, 75, 985, 112, 3, 109, 34, 151, 65, 61, 32, 163, 14, 0, 428, 70, 212, 23, 548, 192, 170, 34, 51, 17, 64, 54, 81, 47]"
10,30.018943786621094,0,92160000,"[65, 17, 179, 241, 38, 108, 12, 0, 92, 219, 172, 310, 91, 15, 219, 1166, 450, 42, 0, 83, 4, 517, 291, 109, 7, 5, 74, 59, 3, 250, 1023, 71, 633, 256, 95, 1543, 24, 21, 243, 149, 14, 0, 38, 0, 106, 335, 0, 88, 1027, 67, 108, 84, 6, 159, 17, 13, 64, 80, 153, 17, 70, 136, 367, 17, 180, 715, 4, 301, 22, 27, 1255, 249, 2596, 346, 315, 1656, 58, 321, 43, 108, 21, 252, 137, 71, 61, 759, 39, 94, 128, 42, 204, 4, 164, 20, 1335, 261, 57, 63, 3, 1201, 1137, 61, 1075, 95, 9, 52, 25, 161, 68, 94, 18, 172, 13, 0, 408, 82, 197, 25, 619, 235, 155, 27, 58, 19, 78, 28, 58, 57]"
11,31.170272827148438,0,92160000,"[105, 19, 163, 218, 46, 103, 19, 1, 100, 333, 123, 407, 90, 14, 179, 1111, 431, 41, 0, 91, 38, 460, 302, 121, 5, 5, 64, 51, 5, 227, 1010, 55, 556, 345, 100, 1431, 48, 22, 258, 204, 19, 0, 43, 0, 142, 321, 0, 117, 949, 73, 143, 59, 5, 169, 28, 18, 76, 60, 152, 28, 71, 130, 382, 26, 266, 926, 4, 313, 36, 27, 1161, 214, 2398, 369, 318, 1488, 67, 333, 59, 84, 13, 263, 116, 73, 77, 735, 56, 132, 92, 33, 240, 3, 188, 23, 1374, 244, 92, 82, 9, 1168, 1133, 70, 1162, 100, 9, 72, 14, 125, 73, 63, 19, 156, 11, 0, 405, 86, 200, 29, 493, 223, 153, 36, 72, 37, 82, 54, 70, 65]"
12,30.323232650756836,0,92160000,"[90, 20, 145, 238, 37, 93, 16, 1, 100, 263, 158, 292, 95, 9, 198, 1119, 494, 45, 0, 75, 21, 473, 316, 133, 3, 6, 73, 69, 4, 263, 1009, 51, 674, 311, 57, 1563, 27, 10, 273, 159, 15, 0, 34, 0, 147, 399, 0, 108, 954, 62, 111, 72, 4, 176, 12, 10, 103, 80, 117, 20, 66, 173, 344, 21, 174, 675, 9, 264, 31, 24, 1197, 232, 2646, 371, 289, 1602, 54, 335, 67, 89, 15, 284, 124, 65, 64, 720, 43, 124, 88, 28, 223, 9, 180, 24, 1189, 345, 56, 89, 4, 1220, 1132, 64, 933, 121, 5, 113, 32, 162, 85, 52, 37, 154, 17, 0, 404, 94, 213, 27, 565, 267, 177, 31, 55, 29, 104, 35, 84, 44]"
