,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1738578937.691889,[0],[928710656],0.0,29959102464
1,1738578938.6963727,[0],[928710656],9.3,30156603392
2,1738578939.698404,[0],[928710656],8.1,30224269312
3,1738578940.7003918,[0],[928710656],6.6,30338801664
4,1738578941.702357,[0],[928710656],7.8,30399569920
5,1738578942.7043827,[0],[928710656],8.2,30400909312
6,1738578943.7063255,[0],[928710656],8.1,30400393216
7,1738578944.7082546,[0],[928710656],7.9,30531338240
8,1738578945.7102075,[0],[928710656],3.4,30537203712
9,1738578946.7120924,[0],[928710656],3.6,30537138176
10,1738578947.7137294,[0],[928710656],3.9,30537617408
11,1738578948.7153158,[0],[928710656],19.8,30972678144
12,1738578949.717217,[0],[928710656],35.1,31861710848
13,1738578950.7191124,[0],[928710656],37.1,32766529536
14,1738578951.721083,[0],[928710656],37.2,33619206144
15,1738578952.7230062,[0],[928710656],39.3,34695860224
16,1738578953.724876,[0],[928710656],39.1,35775180800
17,1738578954.726681,[0],[928710656],39.0,36820246528
18,1738578955.728735,[0],[928710656],37.2,37921533952
19,1738578956.7306921,[0],[928710656],36.6,38917185536
20,1738578957.7327325,[0],[928710656],37.0,39947558912
21,1738578958.7345278,[0],[928710656],16.9,40312508416
22,1738578959.7366166,[0],[928710656],7.3,40363593728
23,1738578960.7386823,[0],[928710656],6.9,40358043648
24,1738578961.7405279,[0],[928710656],6.7,40358285312
25,1738578962.7424757,[0],[928710656],6.7,40343810048
26,1738578963.744326,[0],[928710656],26.2,40899866624
27,1738578964.746042,[0],[928710656],35.8,41776545792
28,1738578965.7472959,[0],[928710656],34.1,42697945088
29,1738578966.7492163,[0],[928710656],35.4,43729645568
30,1738578967.751095,[0],[928710656],35.1,44732633088
31,1738578968.752987,[0],[928710656],37.1,45746192384
32,1738578969.7547255,[0],[928710656],36.9,46628831232
33,1738578970.7566652,[0],[928710656],38.9,47574904832
34,1738578971.7586284,[0],[928710656],38.7,48607268864
35,1738578972.7606847,[0],[928710656],37.3,49640894464
36,1738578973.7624354,[0],[928710656],29.5,50320330752
37,1738578974.7642694,[0],[928710656],7.8,50365210624
38,1738578975.7663565,[0],[928710656],3.2,50372214784
39,1738578976.7672842,[0],[928710656],3.1,50355355648
