,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735915802.0722187,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,28480909312
1,1735915803.0782206,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",14.3,29255348224
2,1735915804.0802069,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",7.6,29529956352
3,1735915805.0824254,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 946864128]",5.7,29871026176
4,1735915806.097246,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",1.7,30276694016
5,1735915807.0992208,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.2,30491873280
6,1735915808.1012068,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.5,30489571328
7,1735915809.1031494,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.9,30683168768
8,1735915810.1072986,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",85.6,38500356096
9,1735915811.1092231,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.7,40278089728
10,1735915812.1111727,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.8,42158039040
11,1735915813.113156,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.8,44176371712
12,1735915814.1150863,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,46120161280
13,1735915815.1170812,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.5,48097505280
14,1735915816.1189563,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,50137866240
15,1735915817.1209044,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.5,52211281920
16,1735915818.122736,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.7,54195097600
