iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,28.60268783569336,4609536,3073536
1,28.211231231689453,4609536,3073536
2,30.651103973388672,4609536,3073536
3,27.893152236938477,4609536,3073536
4,29.443199157714844,4609536,3073536
5,28.099327087402344,4609536,3073536
6,27.914079666137695,4609536,3073536
7,27.990976333618164,4609536,3073536
8,28.062240600585938,4609536,3073536
9,28.034719467163086,4609536,3073536
10,27.73017692565918,4609536,3073536
11,28.026079177856445,4609536,3073536
12,27.282848358154297,4609536,3073536
13,27.923391342163086,4609536,3073536
14,27.928831100463867,4609536,3073536
15,27.89174461364746,4609536,3073536
16,28.06060791015625,4609536,3073536
17,28.52364730834961,4609536,3073536
18,30.150592803955078,4609536,3073536
19,28.281408309936523,4609536,3073536
20,28.020896911621094,4609536,3073536
21,28.066848754882812,4609536,3073536
22,27.99955177307129,4609536,3073536
23,27.948991775512695,4609536,3073536
24,27.995519638061523,4609536,3073536
25,27.849695205688477,4609536,3073536
26,28.000864028930664,4609536,3073536
27,28.423328399658203,4609536,3073536
28,28.141536712646484,4609536,3073536
29,28.266271591186523,4609536,3073536
30,28.229888916015625,4609536,3073536
31,28.00275230407715,4609536,3073536
32,28.272287368774414,4609536,3073536
33,27.76464080810547,4609536,3073536
34,30.651168823242188,4609536,3073536
35,28.045856475830078,4609536,3073536
36,27.906463623046875,4609536,3073536
37,28.060224533081055,4609536,3073536
38,28.059904098510742,4609536,3073536
39,29.9335994720459,4609536,3073536
40,28.115936279296875,4609536,3073536
41,28.253856658935547,4609536,3073536
42,27.940959930419922,4609536,3073536
43,28.238271713256836,4609536,3073536
44,27.945791244506836,4609536,3073536
45,27.888736724853516,4609536,3073536
46,28.028928756713867,4609536,3073536
47,28.075647354125977,4609536,3073536
48,28.249055862426758,4609536,3073536
49,28.033824920654297,4609536,3073536
50,27.931264877319336,4609536,3073536
51,28.07427215576172,4609536,3073536
52,27.84943962097168,4609536,3073536
53,28.276287078857422,4609536,3073536
54,28.022815704345703,4609536,3073536
55,28.1494083404541,4609536,3073536
56,28.090240478515625,4609536,3073536
57,28.06937599182129,4609536,3073536
58,28.828031539916992,4609536,3073536
59,28.256288528442383,4609536,3073536
60,28.128543853759766,4609536,3073536
61,28.150848388671875,4609536,3073536
62,27.98793601989746,4609536,3073536
63,28.242368698120117,4609536,3073536
64,28.2509765625,4609536,3073536
65,28.004671096801758,4609536,3073536
66,27.871904373168945,4609536,3073536
67,30.783039093017578,4609536,3073536
68,28.03763198852539,4609536,3073536
69,27.850879669189453,4609536,3073536
70,28.043359756469727,4609536,3073536
71,28.009408950805664,4609536,3073536
72,28.012224197387695,4609536,3073536
73,28.086496353149414,4609536,3073536
74,27.81158447265625,4609536,3073536
75,27.976032257080078,4609536,3073536
76,28.0250244140625,4609536,3073536
77,27.928287506103516,4609536,3073536
78,28.011903762817383,4609536,3073536
79,28.22697639465332,4609536,3073536
80,27.998912811279297,4609536,3073536
81,28.1329288482666,4609536,3073536
82,30.45097541809082,4609536,3073536
83,28.25961685180664,4609536,3073536
84,28.189311981201172,4609536,3073536
85,28.232576370239258,4609536,3073536
86,28.15875244140625,4609536,3073536
87,28.057119369506836,4609536,3073536
88,27.935264587402344,4609536,3073536
89,28.092256546020508,4609536,3073536
90,28.471200942993164,4609536,3073536
91,28.200000762939453,4609536,3073536
92,28.38902473449707,4609536,3073536
93,29.312448501586914,4609536,3073536
94,28.2840633392334,4609536,3073536
95,28.150976181030273,4609536,3073536
96,28.021631240844727,4609536,3073536
97,28.172447204589844,4609536,3073536
98,28.276512145996094,4609536,3073536
99,27.81056022644043,4609536,3073536
