,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736022926.540405,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,32332959744
1,1736022927.5473468,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",19.4,33117593600
2,1736022928.5494094,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",9.7,33344335872
3,1736022929.5515835,"[0, 0, 0, 0]","[928710656, 928710656, 946077696, 928710656]",8.6,33671421952
4,1736022930.5559688,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.8,34054828032
5,1736022931.5577984,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.5,34282725376
6,1736022932.5597043,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",11.0,34261528576
7,1736022933.561824,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.4,34267062272
8,1736022934.5633464,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",50.7,39058472960
9,1736022935.565356,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.9,40941277184
10,1736022936.5673244,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,42616569856
11,1736022937.5693831,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.6,44385284096
12,1736022938.571379,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,46096089088
13,1736022939.573502,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.9,47690682368
14,1736022940.5753217,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.7,49359667200
15,1736022941.5773687,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.6,51061219328
16,1736022942.5793302,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.4,52642918400
17,1736022943.5813787,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.3,54292242432
18,1736022944.5833826,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.3,55932059648
19,1736022945.5854917,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.0,57467875328
20,1736022946.5873318,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,59073019904
21,1736022947.5947337,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,60761718784
22,1736022948.5969276,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.9,62549450752
23,1736022949.598971,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.0,64068104192
24,1736022950.601056,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.3,65657643008
25,1736022951.6030896,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.3,67777384448
26,1736022952.6051977,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.0,69462355968
27,1736022953.6081429,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.7,71045951488
28,1736022954.6102383,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.2,72808865792
