iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,31.992992401123047,4609536,3073536
1,28.59721565246582,4609536,3073536
2,28.22127914428711,4609536,3073536
3,28.727935791015625,4609536,3073536
4,28.792831420898438,4609536,3073536
5,28.570751190185547,4609536,3073536
6,29.189823150634766,4609536,3073536
7,179.053466796875,4609536,3073536
8,28.563711166381836,4609536,3073536
9,28.743488311767578,4609536,3073536
10,28.784576416015625,4609536,3073536
11,28.93974494934082,4609536,3073536
12,28.657760620117188,4609536,3073536
13,29.82601547241211,4609536,3073536
14,30.07587242126465,4609536,3073536
15,28.890111923217773,4609536,3073536
16,85.6217269897461,4609536,3073536
17,28.59343910217285,4609536,3073536
18,28.629440307617188,4609536,3073536
19,28.80419158935547,4609536,3073536
20,56.522335052490234,4609536,3073536
21,28.879423141479492,4609536,3073536
22,28.677215576171875,4609536,3073536
23,28.65305519104004,4609536,3073536
24,28.472864151000977,4609536,3073536
25,28.546592712402344,4609536,3073536
26,28.685152053833008,4609536,3073536
27,30.05766487121582,4609536,3073536
28,28.441951751708984,4609536,3073536
29,28.793312072753906,4609536,3073536
30,28.676063537597656,4609536,3073536
31,28.63430404663086,4609536,3073536
32,37.77587127685547,4609536,3073536
33,28.80384063720703,4609536,3073536
34,28.52822494506836,4609536,3073536
35,28.239103317260742,4609536,3073536
36,28.34943962097168,4609536,3073536
37,28.61187171936035,4609536,3073536
38,28.33750343322754,4609536,3073536
39,28.584896087646484,4609536,3073536
40,28.58780860900879,4609536,3073536
41,28.97987174987793,4609536,3073536
42,28.839391708374023,4609536,3073536
43,28.636383056640625,4609536,3073536
44,28.377695083618164,4609536,3073536
45,28.485055923461914,4609536,3073536
46,28.557376861572266,4609536,3073536
47,28.658432006835938,4609536,3073536
48,31.39129638671875,4609536,3073536
49,28.511552810668945,4609536,3073536
50,28.527999877929688,4609536,3073536
51,28.606111526489258,4609536,3073536
52,28.907360076904297,4609536,3073536
53,28.78214454650879,4609536,3073536
54,28.65545654296875,4609536,3073536
55,29.605375289916992,4609536,3073536
56,28.533056259155273,4609536,3073536
57,28.371103286743164,4609536,3073536
58,28.363679885864258,4609536,3073536
59,29.684703826904297,4609536,3073536
60,28.232799530029297,4609536,3073536
61,29.219104766845703,4609536,3073536
62,28.42563247680664,4609536,3073536
63,28.37833595275879,4609536,3073536
64,28.38105583190918,4609536,3073536
65,28.27280044555664,4609536,3073536
66,28.345279693603516,4609536,3073536
67,29.90959930419922,4609536,3073536
68,28.638080596923828,4609536,3073536
69,28.371551513671875,4609536,3073536
70,28.684064865112305,4609536,3073536
71,29.386592864990234,4609536,3073536
72,28.681055068969727,4609536,3073536
73,28.67184066772461,4609536,3073536
74,28.406496047973633,4609536,3073536
75,28.528255462646484,4609536,3073536
76,30.381887435913086,4609536,3073536
77,28.712608337402344,4609536,3073536
78,30.660736083984375,4609536,3073536
79,28.94291114807129,4609536,3073536
80,30.473344802856445,4609536,3073536
81,29.160863876342773,4609536,3073536
82,31.247648239135742,4609536,3073536
83,28.380640029907227,4609536,3073536
84,29.037023544311523,4609536,3073536
85,28.713760375976562,4609536,3073536
86,28.66409683227539,4609536,3073536
87,28.346431732177734,4609536,3073536
88,29.460447311401367,4609536,3073536
89,28.344127655029297,4609536,3073536
90,28.534143447875977,4609536,3073536
91,28.526880264282227,4609536,3073536
92,28.672447204589844,4609536,3073536
93,28.58723258972168,4609536,3073536
94,28.49488067626953,4609536,3073536
95,28.53343963623047,4609536,3073536
96,29.144672393798828,4609536,3073536
97,29.02582359313965,4609536,3073536
98,31.492704391479492,4609536,3073536
99,32.4911994934082,4609536,3073536
