iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,40.381919860839844,552961536,368641536
1,40.576927185058594,552961536,368641536
2,40.34601593017578,552961536,368641536
3,41.37971115112305,552961536,368641536
4,40.890689849853516,552961536,368641536
5,40.33542251586914,552961536,368641536
6,40.34735870361328,552961536,368641536
7,40.39491271972656,552961536,368641536
8,42.80547332763672,552961536,368641536
9,40.19740676879883,552961536,368641536
10,40.34758377075195,552961536,368641536
11,40.298431396484375,552961536,368641536
12,40.26438522338867,552961536,368641536
13,39.854209899902344,552961536,368641536
14,40.298912048339844,552961536,368641536
15,40.39033508300781,552961536,368641536
16,40.34515380859375,552961536,368641536
17,40.1192626953125,552961536,368641536
18,40.891902923583984,552961536,368641536
19,40.37254333496094,552961536,368641536
20,40.36735916137695,552961536,368641536
21,40.263648986816406,552961536,368641536
22,41.125633239746094,552961536,368641536
23,40.4147834777832,552961536,368641536
24,40.21420669555664,552961536,368641536
25,40.342079162597656,552961536,368641536
26,40.11503982543945,552961536,368641536
27,40.897953033447266,552961536,368641536
28,40.28531265258789,552961536,368641536
29,43.69001770019531,552961536,368641536
30,40.39686584472656,552961536,368641536
31,40.57932662963867,552961536,368641536
32,40.380638122558594,552961536,368641536
33,40.53510284423828,552961536,368641536
34,40.08233642578125,552961536,368641536
35,40.416385650634766,552961536,368641536
36,40.29654312133789,552961536,368641536
37,40.25084686279297,552961536,368641536
38,40.49635314941406,552961536,368641536
39,40.43852615356445,552961536,368641536
40,40.2927360534668,552961536,368641536
41,40.30729675292969,552961536,368641536
42,40.4147834777832,552961536,368641536
43,40.2026252746582,552961536,368641536
44,40.50019073486328,552961536,368641536
45,40.366241455078125,552961536,368641536
46,40.11423873901367,552961536,368641536
47,40.27315139770508,552961536,368641536
48,40.26323318481445,552961536,368641536
49,40.24854278564453,552961536,368641536
50,40.0945930480957,552961536,368641536
51,40.60771179199219,552961536,368641536
52,40.20595169067383,552961536,368641536
53,40.266944885253906,552961536,368641536
54,40.772544860839844,552961536,368641536
55,39.96489715576172,552961536,368641536
56,40.146305084228516,552961536,368641536
57,40.10313415527344,552961536,368641536
58,40.19289779663086,552961536,368641536
59,39.86822509765625,552961536,368641536
60,40.005313873291016,552961536,368641536
61,40.10316848754883,552961536,368641536
62,39.974945068359375,552961536,368641536
63,39.948768615722656,552961536,368641536
64,40.15484619140625,552961536,368641536
65,39.92073440551758,552961536,368641536
66,40.1475830078125,552961536,368641536
67,39.95267105102539,552961536,368641536
68,40.488319396972656,552961536,368641536
69,40.40524673461914,552961536,368641536
70,40.286495208740234,552961536,368641536
71,40.04844665527344,552961536,368641536
72,40.313663482666016,552961536,368641536
73,40.121726989746094,552961536,368641536
74,40.237281799316406,552961536,368641536
75,40.15270233154297,552961536,368641536
76,40.031646728515625,552961536,368641536
77,48.26319885253906,552961536,368641536
78,40.242977142333984,552961536,368641536
79,40.530399322509766,552961536,368641536
80,41.067134857177734,552961536,368641536
81,41.34892654418945,552961536,368641536
82,40.24531173706055,552961536,368641536
83,40.510494232177734,552961536,368641536
84,40.346527099609375,552961536,368641536
85,40.62963104248047,552961536,368641536
86,40.208065032958984,552961536,368641536
87,40.262271881103516,552961536,368641536
88,40.01935958862305,552961536,368641536
89,40.776798248291016,552961536,368641536
90,40.15193557739258,552961536,368641536
91,40.05641555786133,552961536,368641536
92,40.1888313293457,552961536,368641536
93,40.09718322753906,552961536,368641536
94,40.21027374267578,552961536,368641536
95,40.22256088256836,552961536,368641536
96,40.3502082824707,552961536,368641536
97,41.181697845458984,552961536,368641536
98,42.12015914916992,552961536,368641536
99,182.8711395263672,552961536,368641536
