iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,39.02860641479492,552961536,368641536
1,39.001502990722656,552961536,368641536
2,45.61084747314453,552961536,368641536
3,39.008480072021484,552961536,368641536
4,46.59660720825195,552961536,368641536
5,39.12345504760742,552961536,368641536
6,38.96160125732422,552961536,368641536
7,39.19007873535156,552961536,368641536
8,39.06819152832031,552961536,368641536
9,39.2848014831543,552961536,368641536
10,38.91276931762695,552961536,368641536
11,38.972991943359375,552961536,368641536
12,39.204864501953125,552961536,368641536
13,39.02646255493164,552961536,368641536
14,39.031742095947266,552961536,368641536
15,38.943870544433594,552961536,368641536
16,39.05632019042969,552961536,368641536
17,39.241886138916016,552961536,368641536
18,40.475040435791016,552961536,368641536
19,39.01865768432617,552961536,368641536
20,39.72310256958008,552961536,368641536
21,39.19804763793945,552961536,368641536
22,38.9705924987793,552961536,368641536
23,39.15683364868164,552961536,368641536
24,39.962398529052734,552961536,368641536
25,39.144126892089844,552961536,368641536
26,39.74019241333008,552961536,368641536
27,39.20943832397461,552961536,368641536
28,39.003936767578125,552961536,368641536
29,39.96371078491211,552961536,368641536
30,39.113887786865234,552961536,368641536
31,39.30803298950195,552961536,368641536
32,38.86038589477539,552961536,368641536
33,39.062625885009766,552961536,368641536
34,46.65203094482422,552961536,368641536
35,38.72732925415039,552961536,368641536
36,38.73516845703125,552961536,368641536
37,38.69772720336914,552961536,368641536
38,38.74537658691406,552961536,368641536
39,38.710975646972656,552961536,368641536
40,38.8185920715332,552961536,368641536
41,38.8524169921875,552961536,368641536
42,39.048927307128906,552961536,368641536
43,38.91622543334961,552961536,368641536
44,38.68960189819336,552961536,368641536
45,44.56697463989258,552961536,368641536
46,38.878143310546875,552961536,368641536
47,39.325408935546875,552961536,368641536
48,38.83852767944336,552961536,368641536
49,38.54915237426758,552961536,368641536
50,38.66758346557617,552961536,368641536
51,39.89440155029297,552961536,368641536
52,40.20207977294922,552961536,368641536
53,38.72761535644531,552961536,368641536
54,46.42377471923828,552961536,368641536
55,38.644737243652344,552961536,368641536
56,38.79996871948242,552961536,368641536
57,42.19990539550781,552961536,368641536
58,38.90150451660156,552961536,368641536
59,38.93251037597656,552961536,368641536
60,40.02764892578125,552961536,368641536
61,38.77916717529297,552961536,368641536
62,38.80793762207031,552961536,368641536
63,39.21846389770508,552961536,368641536
64,38.81955337524414,552961536,368641536
65,39.403167724609375,552961536,368641536
66,38.650367736816406,552961536,368641536
67,41.714847564697266,552961536,368641536
68,40.16854476928711,552961536,368641536
69,38.845375061035156,552961536,368641536
70,40.05449676513672,552961536,368641536
71,38.70431900024414,552961536,368641536
72,38.99651336669922,552961536,368641536
73,39.29209518432617,552961536,368641536
74,40.665409088134766,552961536,368641536
75,39.1808967590332,552961536,368641536
76,39.80198287963867,552961536,368641536
77,38.920448303222656,552961536,368641536
78,39.04719924926758,552961536,368641536
79,38.82672119140625,552961536,368641536
80,38.69148635864258,552961536,368641536
81,38.907936096191406,552961536,368641536
82,38.60316848754883,552961536,368641536
83,39.02588653564453,552961536,368641536
84,39.62134552001953,552961536,368641536
85,39.27987289428711,552961536,368641536
86,41.222015380859375,552961536,368641536
87,40.505985260009766,552961536,368641536
88,41.850433349609375,552961536,368641536
89,38.841888427734375,552961536,368641536
90,38.91619110107422,552961536,368641536
91,39.229888916015625,552961536,368641536
92,38.833152770996094,552961536,368641536
93,38.801631927490234,552961536,368641536
94,39.09590530395508,552961536,368641536
95,40.095359802246094,552961536,368641536
96,39.11103820800781,552961536,368641536
97,38.86332702636719,552961536,368641536
98,39.15526580810547,552961536,368641536
99,39.25267028808594,552961536,368641536
