iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,30.051712036132812,22119936,14747136
1,29.923616409301758,22119936,14747136
2,40.51030349731445,22119936,14747136
3,30.59343910217285,22119936,14747136
4,45.761024475097656,22119936,14747136
5,30.314847946166992,22119936,14747136
6,30.33635139465332,22119936,14747136
7,30.69798469543457,22119936,14747136
8,30.950912475585938,22119936,14747136
9,46.712799072265625,22119936,14747136
10,30.81564712524414,22119936,14747136
11,33.479393005371094,22119936,14747136
12,30.269472122192383,22119936,14747136
13,30.449312210083008,22119936,14747136
14,30.262624740600586,22119936,14747136
15,30.176767349243164,22119936,14747136
16,83.84483337402344,22119936,14747136
17,30.06278419494629,22119936,14747136
18,33.01929473876953,22119936,14747136
19,30.24937629699707,22119936,14747136
20,31.52617645263672,22119936,14747136
21,83.29952239990234,22119936,14747136
22,29.344160079956055,22119936,14747136
23,31.364736557006836,22119936,14747136
24,29.59984016418457,22119936,14747136
25,29.799007415771484,22119936,14747136
26,32.800865173339844,22119936,14747136
27,29.75833511352539,22119936,14747136
28,29.924543380737305,22119936,14747136
29,29.981184005737305,22119936,14747136
30,30.168384552001953,22119936,14747136
31,30.003007888793945,22119936,14747136
32,30.432832717895508,22119936,14747136
33,30.381568908691406,22119936,14747136
34,34.7525749206543,22119936,14747136
35,29.856351852416992,22119936,14747136
36,30.120447158813477,22119936,14747136
37,30.451871871948242,22119936,14747136
38,30.583040237426758,22119936,14747136
39,29.83350372314453,22119936,14747136
40,32.87692642211914,22119936,14747136
41,37.72915267944336,22119936,14747136
42,29.934112548828125,22119936,14747136
43,30.513504028320312,22119936,14747136
44,30.079744338989258,22119936,14747136
45,30.232736587524414,22119936,14747136
46,29.535871505737305,22119936,14747136
47,32.774688720703125,22119936,14747136
48,30.897951126098633,22119936,14747136
49,33.215553283691406,22119936,14747136
50,30.18307113647461,22119936,14747136
51,31.48828887939453,22119936,14747136
52,30.65724754333496,22119936,14747136
53,30.83513641357422,22119936,14747136
54,31.854623794555664,22119936,14747136
55,30.43734359741211,22119936,14747136
56,30.14860725402832,22119936,14747136
57,30.064319610595703,22119936,14747136
58,30.297344207763672,22119936,14747136
59,30.44220733642578,22119936,14747136
60,30.418304443359375,22119936,14747136
61,30.345279693603516,22119936,14747136
62,30.371967315673828,22119936,14747136
63,30.278976440429688,22119936,14747136
64,30.390527725219727,22119936,14747136
65,30.526527404785156,22119936,14747136
66,30.721248626708984,22119936,14747136
67,30.33830451965332,22119936,14747136
68,30.073471069335938,22119936,14747136
69,30.166624069213867,22119936,14747136
70,29.773855209350586,22119936,14747136
71,31.84943962097168,22119936,14747136
72,30.5515193939209,22119936,14747136
73,30.493663787841797,22119936,14747136
74,34.49273681640625,22119936,14747136
75,30.188447952270508,22119936,14747136
76,30.36079978942871,22119936,14747136
77,38.393150329589844,22119936,14747136
78,30.257535934448242,22119936,14747136
79,30.784799575805664,22119936,14747136
80,31.783327102661133,22119936,14747136
81,30.39971160888672,22119936,14747136
82,29.967744827270508,22119936,14747136
83,30.16387176513672,22119936,14747136
84,30.92697525024414,22119936,14747136
85,29.984447479248047,22119936,14747136
86,30.343584060668945,22119936,14747136
87,33.45462417602539,22119936,14747136
88,30.533695220947266,22119936,14747136
89,30.729888916015625,22119936,14747136
90,30.181055068969727,22119936,14747136
91,33.13123321533203,22119936,14747136
92,33.85830307006836,22119936,14747136
93,32.495487213134766,22119936,14747136
94,32.43952178955078,22119936,14747136
95,30.38857650756836,22119936,14747136
96,30.219263076782227,22119936,14747136
97,30.66979217529297,22119936,14747136
98,30.985984802246094,22119936,14747136
99,30.35113525390625,22119936,14747136
