iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,28.26095962524414,8295936,5531136
1,28.796159744262695,8295936,5531136
2,28.603776931762695,8295936,5531136
3,28.802143096923828,8295936,5531136
4,29.5949764251709,8295936,5531136
5,27.9803524017334,8295936,5531136
6,28.062719345092773,8295936,5531136
7,28.09427261352539,8295936,5531136
8,28.490272521972656,8295936,5531136
9,28.422943115234375,8295936,5531136
10,31.030847549438477,8295936,5531136
11,28.3384952545166,8295936,5531136
12,28.57734489440918,8295936,5531136
13,28.269376754760742,8295936,5531136
14,28.318208694458008,8295936,5531136
15,28.316640853881836,8295936,5531136
16,29.8852481842041,8295936,5531136
17,28.417152404785156,8295936,5531136
18,28.168352127075195,8295936,5531136
19,28.482080459594727,8295936,5531136
20,29.61577606201172,8295936,5531136
21,28.922496795654297,8295936,5531136
22,28.961471557617188,8295936,5531136
23,29.7391357421875,8295936,5531136
24,28.23686408996582,8295936,5531136
25,28.434303283691406,8295936,5531136
26,28.2010555267334,8295936,5531136
27,28.36012840270996,8295936,5531136
28,28.37740707397461,8295936,5531136
29,28.237407684326172,8295936,5531136
30,28.250591278076172,8295936,5531136
31,28.45871925354004,8295936,5531136
32,28.41472053527832,8295936,5531136
33,28.542560577392578,8295936,5531136
34,28.996511459350586,8295936,5531136
35,28.339136123657227,8295936,5531136
36,31.854463577270508,8295936,5531136
37,28.77027130126953,8295936,5531136
38,28.64521598815918,8295936,5531136
39,28.902496337890625,8295936,5531136
40,34.676448822021484,8295936,5531136
41,28.93609619140625,8295936,5531136
42,28.83964729309082,8295936,5531136
43,28.32454490661621,8295936,5531136
44,28.097248077392578,8295936,5531136
45,27.68953514099121,8295936,5531136
46,27.92310333251953,8295936,5531136
47,27.98297691345215,8295936,5531136
48,28.638559341430664,8295936,5531136
49,29.580991744995117,8295936,5531136
50,33.98579025268555,8295936,5531136
51,28.308639526367188,8295936,5531136
52,31.497087478637695,8295936,5531136
53,28.745792388916016,8295936,5531136
54,28.655391693115234,8295936,5531136
55,28.461408615112305,8295936,5531136
56,27.428895950317383,8295936,5531136
57,28.283071517944336,8295936,5531136
58,28.56787109375,8295936,5531136
59,28.65331268310547,8295936,5531136
60,28.432832717895508,8295936,5531136
61,28.518335342407227,8295936,5531136
62,29.06719970703125,8295936,5531136
63,28.900575637817383,8295936,5531136
64,34.166175842285156,8295936,5531136
65,28.673120498657227,8295936,5531136
66,30.020000457763672,8295936,5531136
67,31.544544219970703,8295936,5531136
68,29.419008255004883,8295936,5531136
69,28.528799057006836,8295936,5531136
70,28.665407180786133,8295936,5531136
71,32.91836929321289,8295936,5531136
72,32.96278381347656,8295936,5531136
73,34.405311584472656,8295936,5531136
74,28.63164710998535,8295936,5531136
75,28.37651252746582,8295936,5531136
76,28.536096572875977,8295936,5531136
77,38.929569244384766,8295936,5531136
78,31.726463317871094,8295936,5531136
79,28.222848892211914,8295936,5531136
80,28.351295471191406,8295936,5531136
81,28.795391082763672,8295936,5531136
82,34.1262092590332,8295936,5531136
83,29.44256019592285,8295936,5531136
84,28.838176727294922,8295936,5531136
85,82.73564910888672,8295936,5531136
86,30.840576171875,8295936,5531136
87,28.86150360107422,8295936,5531136
88,28.674272537231445,8295936,5531136
89,31.189952850341797,8295936,5531136
90,29.10767936706543,8295936,5531136
91,38.160926818847656,8295936,5531136
92,28.81635284423828,8295936,5531136
93,28.76188850402832,8295936,5531136
94,28.50704002380371,8295936,5531136
95,29.97007942199707,8295936,5531136
96,28.463327407836914,8295936,5531136
97,28.569759368896484,8295936,5531136
98,32.94198226928711,8295936,5531136
99,28.611583709716797,8295936,5531136
