,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735864882.5313897,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",16.7,180940951552
1,1735864883.5383723,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",23.3,181431271424
2,1735864884.540788,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",17.9,181881495552
3,1735864885.543031,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",15.7,182777184256
4,1735864886.554358,"[0, 2, 2, 1]","[928710656, 1375731712, 1368653824, 1368653824]",15.0,182509010944
5,1735864887.55697,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.1,182908874752
6,1735864888.5593367,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.8,182517944320
7,1735864889.561595,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.6,182549143552
8,1735864890.5634892,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",39.7,187176251392
9,1735864891.565581,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",95.3,188322168832
10,1735864892.5675633,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",90.8,189696430080
11,1735864893.569627,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",95.7,191213092864
12,1735864894.5716407,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.3,193106051072
13,1735864895.5756898,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.0,194327719936
14,1735864896.5817375,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.2,192832274432
15,1735864897.5837662,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",94.8,182264422400
16,1735864898.5858326,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",90.6,171242110976
