iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,78.35481262207031,552961536,368641536
1,40.208927154541016,552961536,368641536
2,46.67900848388672,552961536,368641536
3,40.290462493896484,552961536,368641536
4,40.9447021484375,552961536,368641536
5,40.720191955566406,552961536,368641536
6,40.68870544433594,552961536,368641536
7,51.61705780029297,552961536,368641536
8,40.707969665527344,552961536,368641536
9,41.494529724121094,552961536,368641536
10,41.916255950927734,552961536,368641536
11,41.353118896484375,552961536,368641536
12,50.39980697631836,552961536,368641536
13,41.11231994628906,552961536,368641536
14,41.147071838378906,552961536,368641536
15,41.47590255737305,552961536,368641536
16,41.87318420410156,552961536,368641536
17,40.85443115234375,552961536,368641536
18,40.576385498046875,552961536,368641536
19,40.86592102050781,552961536,368641536
20,42.423519134521484,552961536,368641536
21,44.12080001831055,552961536,368641536
22,40.71945571899414,552961536,368641536
23,40.94623947143555,552961536,368641536
24,40.98838424682617,552961536,368641536
25,40.70329666137695,552961536,368641536
26,53.50377655029297,552961536,368641536
27,41.179359436035156,552961536,368641536
28,41.915008544921875,552961536,368641536
29,40.74736022949219,552961536,368641536
30,45.306495666503906,552961536,368641536
31,44.41689682006836,552961536,368641536
32,40.29363250732422,552961536,368641536
33,53.0830078125,552961536,368641536
34,41.37740707397461,552961536,368641536
35,40.868446350097656,552961536,368641536
36,40.708641052246094,552961536,368641536
37,40.687713623046875,552961536,368641536
38,40.598976135253906,552961536,368641536
39,40.551231384277344,552961536,368641536
40,41.6486701965332,552961536,368641536
41,40.631935119628906,552961536,368641536
42,40.55449676513672,552961536,368641536
43,41.00521469116211,552961536,368641536
44,59.11347198486328,552961536,368641536
45,42.129249572753906,552961536,368641536
46,41.09356689453125,552961536,368641536
47,40.90982437133789,552961536,368641536
48,85.42979431152344,552961536,368641536
49,40.72288131713867,552961536,368641536
50,40.81683349609375,552961536,368641536
51,40.760032653808594,552961536,368641536
52,40.91795349121094,552961536,368641536
53,41.31644821166992,552961536,368641536
54,41.188385009765625,552961536,368641536
55,40.73459243774414,552961536,368641536
56,40.752159118652344,552961536,368641536
57,40.811038970947266,552961536,368641536
58,40.89231872558594,552961536,368641536
59,41.289310455322266,552961536,368641536
60,40.92768096923828,552961536,368641536
61,43.07334518432617,552961536,368641536
62,45.708927154541016,552961536,368641536
63,40.7400016784668,552961536,368641536
64,41.1115837097168,552961536,368641536
65,41.37014389038086,552961536,368641536
66,40.81788635253906,552961536,368641536
67,40.957088470458984,552961536,368641536
68,40.8983039855957,552961536,368641536
69,41.02006530761719,552961536,368641536
70,40.78812789916992,552961536,368641536
71,48.21705627441406,552961536,368641536
72,41.02755355834961,552961536,368641536
73,50.913631439208984,552961536,368641536
74,40.76768112182617,552961536,368641536
75,41.060638427734375,552961536,368641536
76,40.9901123046875,552961536,368641536
77,40.63577651977539,552961536,368641536
78,40.71273422241211,552961536,368641536
79,40.66262435913086,552961536,368641536
80,49.42057418823242,552961536,368641536
81,40.621761322021484,552961536,368641536
82,40.68288040161133,552961536,368641536
83,40.61372756958008,552961536,368641536
84,40.983551025390625,552961536,368641536
85,40.99846267700195,552961536,368641536
86,40.73334503173828,552961536,368641536
87,40.72313690185547,552961536,368641536
88,41.07583999633789,552961536,368641536
89,41.11433410644531,552961536,368641536
90,40.98137664794922,552961536,368641536
91,53.486209869384766,552961536,368641536
92,41.06412887573242,552961536,368641536
93,41.299232482910156,552961536,368641536
94,41.014495849609375,552961536,368641536
95,40.94028854370117,552961536,368641536
96,40.90800094604492,552961536,368641536
97,40.658878326416016,552961536,368641536
98,42.105567932128906,552961536,368641536
99,41.013214111328125,552961536,368641536
