,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736079438.332079,"[0, 0, 0, 0]","[935067648, 935788544, 928710656, 928710656]",0.0,21567516672
1,1736079439.3366835,"[0, 0, 0, 0]","[935067648, 935788544, 928710656, 928710656]",19.9,22359752704
2,1736079440.3387218,"[0, 0, 0, 0]","[935067648, 935788544, 928710656, 928710656]",8.1,22644064256
3,1736079441.3400378,"[0, 0, 0, 0]","[935067648, 935788544, 928710656, 928710656]",6.9,22902722560
4,1736079442.3451798,"[0, 1, 2, 0]","[935067648, 1375731712, 1368653824, 1368653824]",6.7,23317438464
5,1736079443.3472867,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",6.7,23527448576
6,1736079444.349072,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",7.5,23581528064
7,1736079445.3510706,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",8.7,23580004352
8,1736079446.3520567,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",7.8,23872901120
9,1736079447.3540852,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",6.7,23966003200
10,1736079448.3560317,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",5.8,23963054080
11,1736079449.3577132,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",6.1,23953727488
12,1736079450.3594182,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",55.2,24361123840
13,1736079451.3615427,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",87.6,25828552704
14,1736079452.3635736,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",87.2,27324837888
15,1736079453.3656855,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",93.3,28938088448
16,1736079454.3677177,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",94.1,30547726336
17,1736079455.3690174,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.5,32095277056
18,1736079456.371065,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",93.3,33596071936
19,1736079457.3720505,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.5,35036119040
20,1736079458.3740256,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.9,36560433152
21,1736079459.375916,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.8,38130724864
22,1736079460.3779013,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.1,39648456704
23,1736079461.3799465,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.8,41220141056
24,1736079462.3820279,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.7,42628882432
25,1736079463.3840525,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.0,44158611456
26,1736079464.3860745,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.1,45546487808
27,1736079465.3875813,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",93.0,47090667520
28,1736079466.3895435,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.4,48636551168
29,1736079467.3914902,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.6,50166194176
30,1736079468.3936026,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.8,51688660992
31,1736079469.3957176,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.1,53043695616
32,1736079470.397835,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.6,54481072128
33,1736079471.3998997,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",89.7,55898968064
34,1736079472.4020913,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.2,57404784640
35,1736079473.4053845,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.1,58870075392
36,1736079474.4074192,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.3,60353626112
37,1736079475.4095402,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.1,61828063232
38,1736079476.411585,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",51.8,63098327040
39,1736079477.41371,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",5.3,63139962880
40,1736079478.4155896,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",6.2,63137054720
41,1736079479.4178689,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",6.2,63133192192
42,1736079480.4200423,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",30.4,63351115776
43,1736079481.421957,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.6,64817258496
44,1736079482.4239032,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.0,66274557952
45,1736079483.4260151,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",85.9,67676217344
46,1736079484.4280436,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.1,69206843392
47,1736079485.4299617,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.2,70699397120
48,1736079486.432051,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.4,72186421248
49,1736079487.4340677,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.1,73432236032
50,1736079488.436058,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.7,74897743872
51,1736079489.438058,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.0,76426473472
52,1736079490.4400544,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.7,77914206208
53,1736079491.4419153,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.9,79412097024
54,1736079492.4440486,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.2,80953671680
55,1736079493.4460504,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.5,82434633728
56,1736079494.448084,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.8,83364294656
57,1736079495.4501138,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.7,84832788480
58,1736079496.4520466,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.9,86310723584
59,1736079497.454076,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.3,87837134848
60,1736079498.456045,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.1,89372815360
61,1736079499.4580193,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.6,90819756032
62,1736079500.4600534,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.2,92292501504
63,1736079501.462184,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.5,93345337344
64,1736079502.464061,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",89.8,94793986048
65,1736079503.4661078,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",90.5,96277381120
66,1736079504.4680452,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",91.0,97778905088
