iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,27.37660789489746,4609536,3073536
1,27.47088050842285,4609536,3073536
2,27.468799591064453,4609536,3073536
3,27.954591751098633,4609536,3073536
4,27.491392135620117,4609536,3073536
5,29.324256896972656,4609536,3073536
6,27.422176361083984,4609536,3073536
7,27.32195281982422,4609536,3073536
8,28.416767120361328,4609536,3073536
9,27.47884750366211,4609536,3073536
10,27.501567840576172,4609536,3073536
11,27.58051109313965,4609536,3073536
12,27.629152297973633,4609536,3073536
13,27.596384048461914,4609536,3073536
14,27.494335174560547,4609536,3073536
15,27.448511123657227,4609536,3073536
16,27.44121551513672,4609536,3073536
17,27.516063690185547,4609536,3073536
18,27.53875160217285,4609536,3073536
19,27.549503326416016,4609536,3073536
20,27.44051170349121,4609536,3073536
21,27.525184631347656,4609536,3073536
22,27.568927764892578,4609536,3073536
23,27.444063186645508,4609536,3073536
24,27.54217529296875,4609536,3073536
25,27.674400329589844,4609536,3073536
26,27.406591415405273,4609536,3073536
27,27.458751678466797,4609536,3073536
28,27.46272087097168,4609536,3073536
29,27.471424102783203,4609536,3073536
30,27.561311721801758,4609536,3073536
31,27.40755271911621,4609536,3073536
32,27.65996742248535,4609536,3073536
33,27.4069766998291,4609536,3073536
34,29.547679901123047,4609536,3073536
35,27.6080322265625,4609536,3073536
36,27.59449577331543,4609536,3073536
37,29.366880416870117,4609536,3073536
38,28.7476806640625,4609536,3073536
39,27.336576461791992,4609536,3073536
40,27.42438316345215,4609536,3073536
41,27.38092803955078,4609536,3073536
42,27.58550453186035,4609536,3073536
43,27.39695930480957,4609536,3073536
44,27.490943908691406,4609536,3073536
45,29.267871856689453,4609536,3073536
46,27.528703689575195,4609536,3073536
47,27.439680099487305,4609536,3073536
48,27.61235237121582,4609536,3073536
49,28.789440155029297,4609536,3073536
50,27.390592575073242,4609536,3073536
51,27.754207611083984,4609536,3073536
52,27.44806480407715,4609536,3073536
53,27.463327407836914,4609536,3073536
54,27.44144058227539,4609536,3073536
55,27.47283172607422,4609536,3073536
56,27.554784774780273,4609536,3073536
57,27.516576766967773,4609536,3073536
58,27.5795841217041,4609536,3073536
59,27.475391387939453,4609536,3073536
60,27.77916717529297,4609536,3073536
61,27.528287887573242,4609536,3073536
62,27.453439712524414,4609536,3073536
63,27.515424728393555,4609536,3073536
64,27.3604793548584,4609536,3073536
65,27.470495223999023,4609536,3073536
66,27.60032081604004,4609536,3073536
67,27.73472023010254,4609536,3073536
68,27.456640243530273,4609536,3073536
69,27.41289520263672,4609536,3073536
70,27.60870361328125,4609536,3073536
71,27.7871036529541,4609536,3073536
72,27.485088348388672,4609536,3073536
73,27.499263763427734,4609536,3073536
74,27.433120727539062,4609536,3073536
75,27.473888397216797,4609536,3073536
76,27.610496520996094,4609536,3073536
77,27.41811180114746,4609536,3073536
78,27.5515193939209,4609536,3073536
79,27.717439651489258,4609536,3073536
80,27.469247817993164,4609536,3073536
81,28.676095962524414,4609536,3073536
82,27.577184677124023,4609536,3073536
83,27.409120559692383,4609536,3073536
84,27.553247451782227,4609536,3073536
85,27.492223739624023,4609536,3073536
86,27.51430320739746,4609536,3073536
87,27.507583618164062,4609536,3073536
88,27.397855758666992,4609536,3073536
89,27.93084716796875,4609536,3073536
90,27.337024688720703,4609536,3073536
91,27.479135513305664,4609536,3073536
92,27.50796890258789,4609536,3073536
93,27.429824829101562,4609536,3073536
94,27.506528854370117,4609536,3073536
95,27.589439392089844,4609536,3073536
96,27.445695877075195,4609536,3073536
97,27.431903839111328,4609536,3073536
98,27.6279354095459,4609536,3073536
99,27.473888397216797,4609536,3073536
