iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,73.48262023925781,552961536,368641536
1,40.83980941772461,552961536,368641536
2,40.8487663269043,552961536,368641536
3,41.006656646728516,552961536,368641536
4,41.09123229980469,552961536,368641536
5,42.1550407409668,552961536,368641536
6,40.79996871948242,552961536,368641536
7,41.23311996459961,552961536,368641536
8,41.22447967529297,552961536,368641536
9,41.63417434692383,552961536,368641536
10,41.487457275390625,552961536,368641536
11,41.31119918823242,552961536,368641536
12,41.14137649536133,552961536,368641536
13,41.13616180419922,552961536,368641536
14,41.28227233886719,552961536,368641536
15,41.16940689086914,552961536,368641536
16,41.1321907043457,552961536,368641536
17,41.08588790893555,552961536,368641536
18,41.172576904296875,552961536,368641536
19,41.08524703979492,552961536,368641536
20,42.45926284790039,552961536,368641536
21,41.25049591064453,552961536,368641536
22,41.30543899536133,552961536,368641536
23,41.05539321899414,552961536,368641536
24,41.19878387451172,552961536,368641536
25,41.11356735229492,552961536,368641536
26,41.99446487426758,552961536,368641536
27,41.08611297607422,552961536,368641536
28,41.19375991821289,552961536,368641536
29,41.06947326660156,552961536,368641536
30,41.259521484375,552961536,368641536
31,41.077598571777344,552961536,368641536
32,41.1163215637207,552961536,368641536
33,41.51203155517578,552961536,368641536
34,42.59423828125,552961536,368641536
35,41.08982467651367,552961536,368641536
36,41.23392105102539,552961536,368641536
37,41.19772720336914,552961536,368641536
38,41.21468734741211,552961536,368641536
39,41.166080474853516,552961536,368641536
40,42.93695831298828,552961536,368641536
41,41.21750259399414,552961536,368641536
42,41.164031982421875,552961536,368641536
43,41.13603210449219,552961536,368641536
44,41.10297775268555,552961536,368641536
45,41.22195053100586,552961536,368641536
46,40.9879035949707,552961536,368641536
47,89.14169311523438,552961536,368641536
48,41.091583251953125,552961536,368641536
49,41.05052947998047,552961536,368641536
50,91.50409698486328,552961536,368641536
51,41.15251159667969,552961536,368641536
52,41.215904235839844,552961536,368641536
53,41.21244812011719,552961536,368641536
54,41.17446517944336,552961536,368641536
55,40.98988723754883,552961536,368641536
56,41.23747253417969,552961536,368641536
57,41.125633239746094,552961536,368641536
58,41.24736022949219,552961536,368641536
59,41.93475341796875,552961536,368641536
60,41.318817138671875,552961536,368641536
61,41.754112243652344,552961536,368641536
62,40.97024154663086,552961536,368641536
63,41.16105651855469,552961536,368641536
64,41.087520599365234,552961536,368641536
65,41.10665512084961,552961536,368641536
66,41.176544189453125,552961536,368641536
67,41.25350570678711,552961536,368641536
68,41.1069450378418,552961536,368641536
69,41.26639938354492,552961536,368641536
70,41.2402229309082,552961536,368641536
71,41.150081634521484,552961536,368641536
72,41.14409637451172,552961536,368641536
73,40.986976623535156,552961536,368641536
74,42.84012985229492,552961536,368641536
75,41.18931198120117,552961536,368641536
76,41.11372756958008,552961536,368641536
77,41.17174530029297,552961536,368641536
78,41.39363098144531,552961536,368641536
79,41.20012664794922,552961536,368641536
80,41.05376052856445,552961536,368641536
81,41.06159973144531,552961536,368641536
82,41.28015899658203,552961536,368641536
83,41.170143127441406,552961536,368641536
84,41.21059036254883,552961536,368641536
85,41.26678466796875,552961536,368641536
86,41.17113494873047,552961536,368641536
87,41.225921630859375,552961536,368641536
88,41.17628860473633,552961536,368641536
89,41.306209564208984,552961536,368641536
90,41.18422317504883,552961536,368641536
91,41.15039825439453,552961536,368641536
92,41.227745056152344,552961536,368641536
93,41.108638763427734,552961536,368641536
94,41.317630767822266,552961536,368641536
95,41.08998489379883,552961536,368641536
96,41.16227340698242,552961536,368641536
97,41.11228942871094,552961536,368641536
98,41.15398406982422,552961536,368641536
99,41.22819137573242,552961536,368641536
