,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736092760.9504778,"[0, 0, 0, 0]","[928710656, 928710656, 1025179648, 928710656]",0.0,39661146112
1,1736092761.9583237,"[0, 0, 0, 0]","[928710656, 928710656, 1025179648, 928710656]",16.1,40445145088
2,1736092762.9602933,"[0, 0, 0, 0]","[928710656, 928710656, 1025179648, 928710656]",6.7,40720035840
3,1736092763.9623027,"[0, 0, 0, 0]","[928710656, 928710656, 1042808832, 928710656]",6.1,41062817792
4,1736092764.975116,"[0, 0, 0, 2]","[928710656, 1368653824, 1465122816, 1368653824]",4.7,41451184128
5,1736092765.9770381,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",6.1,41672171520
6,1736092766.978897,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",6.3,41667575808
7,1736092767.9807913,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",6.4,41665744896
8,1736092768.9824753,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",5.4,42062041088
9,1736092769.9847257,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",5.7,42043809792
10,1736092770.9866505,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",4.9,42027360256
11,1736092771.9876313,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",4.2,42013978624
12,1736092772.9894795,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",75.4,42811715584
13,1736092773.991507,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.5,44407975936
14,1736092774.9935665,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.3,45946191872
15,1736092775.9954498,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.9,47555031040
16,1736092776.9974346,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.3,49111207936
17,1736092777.9994683,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.2,50637979648
18,1736092779.0015209,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.1,51927842816
19,1736092780.0034869,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.3,53423304704
20,1736092781.0055761,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.6,54986432512
21,1736092782.0076597,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.6,56509243392
22,1736092783.0096586,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.6,58054115328
23,1736092784.0116434,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.1,59623211008
24,1736092785.0136545,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.3,61177171968
25,1736092786.015644,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.8,62456086528
26,1736092787.0176532,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.2,64012341248
27,1736092788.0196917,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.3,65512435712
28,1736092789.021725,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",89.9,66986037248
29,1736092790.0236497,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",85.6,68355280896
30,1736092791.0256522,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.2,69904216064
31,1736092792.0276449,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.9,71352422400
32,1736092793.0296314,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",90.7,72707510272
33,1736092794.0316517,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",91.3,74247876608
34,1736092795.033654,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.7,75780775936
35,1736092796.035657,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.0,77310631936
36,1736092797.0373032,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",89.7,78768549888
37,1736092798.0392897,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.2,80296132608
38,1736092799.0413425,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",32.0,81133752320
39,1736092800.0434806,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",5.3,81147985920
40,1736092801.0453384,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",4.7,81137205248
41,1736092802.047113,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",3.8,81133662208
42,1736092803.0491369,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",5.2,81130229760
43,1736092804.0508752,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",75.0,82102251520
44,1736092805.0529132,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",89.2,83558379520
45,1736092806.0548894,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",91.4,85086519296
46,1736092807.056949,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.0,86723338240
47,1736092808.0589309,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.8,88317521920
48,1736092809.060994,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.4,89888509952
