iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,53.994529724121094,552960192,368640192
1,14.405311584472656,552960192,368640192
2,14.296768188476562,552960192,368640192
3,14.041184425354004,552960192,368640192
4,13.734623908996582,552960192,368640192
5,13.823424339294434,552960192,368640192
6,14.788736343383789,552960192,368640192
7,13.824543952941895,552960192,368640192
8,13.796319961547852,552960192,368640192
9,13.912832260131836,552960192,368640192
10,13.912735939025879,552960192,368640192
11,14.18166446685791,552960192,368640192
12,13.797887802124023,552960192,368640192
13,14.086655616760254,552960192,368640192
14,13.827520370483398,552960192,368640192
15,13.81612777709961,552960192,368640192
16,13.819135665893555,552960192,368640192
17,13.919808387756348,552960192,368640192
18,14.025919914245605,552960192,368640192
19,14.108351707458496,552960192,368640192
20,15.080351829528809,552960192,368640192
21,13.80463981628418,552960192,368640192
22,13.861599922180176,552960192,368640192
23,14.654047966003418,552960192,368640192
24,15.629695892333984,552960192,368640192
25,16.187423706054688,552960192,368640192
26,13.733663558959961,552960192,368640192
27,13.864831924438477,552960192,368640192
28,14.974047660827637,552960192,368640192
29,13.811712265014648,552960192,368640192
30,13.977888107299805,552960192,368640192
31,13.716287612915039,552960192,368640192
32,14.12377643585205,552960192,368640192
33,13.694111824035645,552960192,368640192
34,13.840319633483887,552960192,368640192
35,13.852864265441895,552960192,368640192
36,13.751808166503906,552960192,368640192
37,13.747360229492188,552960192,368640192
38,13.683168411254883,552960192,368640192
39,13.771455764770508,552960192,368640192
40,13.737024307250977,552960192,368640192
41,14.1975679397583,552960192,368640192
42,13.668671607971191,552960192,368640192
43,13.75500774383545,552960192,368640192
44,15.731648445129395,552960192,368640192
45,13.773216247558594,552960192,368640192
46,14.307647705078125,552960192,368640192
47,15.642623901367188,552960192,368640192
48,13.789440155029297,552960192,368640192
49,13.836511611938477,552960192,368640192
50,13.778240203857422,552960192,368640192
51,13.717408180236816,552960192,368640192
52,13.795552253723145,552960192,368640192
53,13.792863845825195,552960192,368640192
54,13.88377571105957,552960192,368640192
55,13.7390718460083,552960192,368640192
56,13.741344451904297,552960192,368640192
57,13.778143882751465,552960192,368640192
58,13.65231990814209,552960192,368640192
59,15.51302433013916,552960192,368640192
60,14.225119590759277,552960192,368640192
61,13.771967887878418,552960192,368640192
62,14.731167793273926,552960192,368640192
63,15.04918384552002,552960192,368640192
64,13.787679672241211,552960192,368640192
65,13.690176010131836,552960192,368640192
66,16.57423973083496,552960192,368640192
67,14.14185619354248,552960192,368640192
68,13.813664436340332,552960192,368640192
69,14.256671905517578,552960192,368640192
70,13.756896018981934,552960192,368640192
71,13.762751579284668,552960192,368640192
72,14.076800346374512,552960192,368640192
73,19.37014389038086,552960192,368640192
74,13.730143547058105,552960192,368640192
75,27.539199829101562,552960192,368640192
76,25.068639755249023,552960192,368640192
77,26.085311889648438,552960192,368640192
78,14.423968315124512,552960192,368640192
79,13.910911560058594,552960192,368640192
80,13.785408020019531,552960192,368640192
81,13.902463912963867,552960192,368640192
82,13.786815643310547,552960192,368640192
83,13.624735832214355,552960192,368640192
84,26.050687789916992,552960192,368640192
85,13.932576179504395,552960192,368640192
86,13.709728240966797,552960192,368640192
87,13.768511772155762,552960192,368640192
88,13.736127853393555,552960192,368640192
89,13.753055572509766,552960192,368640192
90,13.724896430969238,552960192,368640192
91,13.89913558959961,552960192,368640192
92,13.762880325317383,552960192,368640192
93,14.082880020141602,552960192,368640192
94,16.211488723754883,552960192,368640192
95,13.757760047912598,552960192,368640192
96,14.535167694091797,552960192,368640192
97,16.103200912475586,552960192,368640192
98,13.796223640441895,552960192,368640192
99,13.793696403503418,552960192,368640192
