,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735861540.3297324,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",0.0,180671074304
1,1735861541.3360684,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",25.7,181048053760
2,1735861542.338111,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",16.8,180611051520
3,1735861543.3400292,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",16.3,180727181312
4,1735861544.341956,"[0, 0, 0, 0]","[928710656, 953745408, 1368653824, 1368653824]",12.6,181448630272
5,1735861545.34396,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.3,181595561984
6,1735861546.3459682,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.6,185136955392
7,1735861547.3479187,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.5,186082668544
8,1735861548.349915,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",99.0,187296735232
9,1735861549.3518343,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.8,189181984768
10,1735861550.353857,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.9,190718713856
11,1735861551.3558607,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.4,191854424064
12,1735861552.3578598,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.5,193692016640
13,1735861553.3598478,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.6,195046965248
14,1735861554.3618906,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.3,196466724864
15,1735861555.363863,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.5,197715099648
16,1735861556.365938,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.6,199247491072
17,1735861557.3679426,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.3,201105084416
18,1735861558.3700993,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.4,201721745408
19,1735861559.3720398,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.5,203512463360
20,1735861560.3739774,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.0,204516528128
21,1735861561.3758748,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.0,206302208000
22,1735861562.3778312,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.1,207191859200
23,1735861563.379796,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.5,208497741824
24,1735861564.3818178,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.4,210171277312
25,1735861565.3837557,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",95.9,211141840896
26,1735861566.3857596,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.7,213507596288
27,1735861567.3877952,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",63.4,214555000832
28,1735861568.3898284,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.8,214798667776
29,1735861569.3918507,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.6,215526936576
30,1735861570.3980403,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",92.8,215850672128
31,1735861571.4000497,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.3,215965667328
32,1735861572.402132,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",94.8,216455540736
33,1735861573.4040582,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",70.0,216653631488
34,1735861574.4062998,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",87.5,216459702272
35,1735861575.4080272,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",94.5,216395038720
36,1735861576.409969,"[4, 8, 5, 4]","[1827930112, 2208301056, 2201223168, 1911816192]",57.7,213818028032
37,1735861577.412043,"[0, 0, 1, 0]","[2150891520, 2308964352, 2251554816, 2150891520]",94.7,213063905280
38,1735861578.4141119,"[0, 0, 0, 0]","[2201223168, 2409627648, 2301886464, 2201223168]",87.1,213596028928
39,1735861579.4160426,"[0, 0, 1, 0]","[2301886464, 2510290944, 2402549760, 2251554816]",94.9,212920201216
40,1735861580.4174697,"[1, 1, 0, 0]","[2352218112, 2560622592, 2452881408, 2301886464]",94.3,213664817152
41,1735861581.4193285,"[0, 0, 0, 0]","[2402549760, 2610954240, 2553544704, 2402549760]",95.4,212857262080
42,1735861582.421352,"[0, 0, 0, 0]","[2503213056, 2711617536, 2603876352, 2402549760]",94.3,213640687616
43,1735861583.4238544,"[0, 0, 0, 1]","[2603876352, 2761949184, 2704539648, 2503213056]",95.2,212817031168
44,1735861584.4258504,"[1, 0, 0, 1]","[2654208000, 2812280832, 2754871296, 2603876352]",94.4,213177143296
45,1735861585.4279034,"[0, 0, 1, 1]","[2704539648, 2912944128, 2855534592, 2654208000]",95.1,213495652352
46,1735861586.429893,"[0, 4, 3, 0]","[2805202944, 3114270720, 3006529536, 2704539648]",84.7,212994060288
47,1735861587.4318998,"[0, 0, 0, 0]","[2905866240, 3164602368, 3157524480, 2754871296]",95.2,213062250496
48,1735861588.433966,"[2, 1, 0, 1]","[3157524480, 3315597312, 3308519424, 3006529536]",84.9,213196722176
49,1735861589.4360726,"[0, 0, 0, 0]","[3308519424, 3315597312, 3480485888, 3308519424]",29.8,213164449792
50,1735861590.4383204,"[5, 1, 2, 9]","[5407768576, 5387583488, 5390991360, 5328076800]",31.2,214015201280
51,1735861591.4403658,"[0, 0, 0, 0]","[5665718272, 5666504704, 5653135360, 5665718272]",13.4,214126665728
52,1735861592.4453375,"[0, 0, 0, 7]","[6796083200, 6954156032, 6947078144, 6796083200]",17.9,214276395008
53,1735861593.447177,"[7, 22, 0, 60]","[7054032896, 7212105728, 7205027840, 7054032896]",17.5,214755794944
