iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,17.197952270507812,4608768,3072768
1,15.906047821044922,4608768,3072768
2,15.6976957321167,4608768,3072768
3,17.48041534423828,4608768,3072768
4,15.587552070617676,4608768,3072768
5,15.849311828613281,4608768,3072768
6,15.893024444580078,4608768,3072768
7,15.923616409301758,4608768,3072768
8,15.778335571289062,4608768,3072768
9,15.709343910217285,4608768,3072768
10,25.8570556640625,4608768,3072768
11,15.931584358215332,4608768,3072768
12,17.325056076049805,4608768,3072768
13,16.060863494873047,4608768,3072768
14,15.542943954467773,4608768,3072768
15,17.54640007019043,4608768,3072768
16,15.961440086364746,4608768,3072768
17,16.676416397094727,4608768,3072768
18,16.255327224731445,4608768,3072768
19,15.897248268127441,4608768,3072768
20,18.3222713470459,4608768,3072768
21,18.052831649780273,4608768,3072768
22,15.942272186279297,4608768,3072768
23,17.492448806762695,4608768,3072768
24,24.653472900390625,4608768,3072768
25,18.70207977294922,4608768,3072768
26,15.993663787841797,4608768,3072768
27,16.308767318725586,4608768,3072768
28,15.736127853393555,4608768,3072768
29,16.409791946411133,4608768,3072768
30,15.66256046295166,4608768,3072768
31,16.066112518310547,4608768,3072768
32,17.016447067260742,4608768,3072768
33,15.441823959350586,4608768,3072768
34,16.566879272460938,4608768,3072768
35,19.744895935058594,4608768,3072768
36,24.26700782775879,4608768,3072768
37,15.676063537597656,4608768,3072768
38,16.106399536132812,4608768,3072768
39,15.308287620544434,4608768,3072768
40,18.79692840576172,4608768,3072768
41,17.559839248657227,4608768,3072768
42,16.611103057861328,4608768,3072768
43,15.515423774719238,4608768,3072768
44,20.339744567871094,4608768,3072768
45,15.826784133911133,4608768,3072768
46,15.598912239074707,4608768,3072768
47,16.20627212524414,4608768,3072768
48,16.03673553466797,4608768,3072768
49,15.7227201461792,4608768,3072768
50,16.70342445373535,4608768,3072768
51,15.828479766845703,4608768,3072768
52,16.081375122070312,4608768,3072768
53,15.66915225982666,4608768,3072768
54,16.260608673095703,4608768,3072768
55,15.920415878295898,4608768,3072768
56,15.538175582885742,4608768,3072768
57,19.962688446044922,4608768,3072768
58,15.881952285766602,4608768,3072768
59,17.36835289001465,4608768,3072768
60,15.827839851379395,4608768,3072768
61,25.072256088256836,4608768,3072768
62,17.912927627563477,4608768,3072768
63,15.629055976867676,4608768,3072768
64,15.999679565429688,4608768,3072768
65,24.671743392944336,4608768,3072768
66,15.999872207641602,4608768,3072768
67,15.6746244430542,4608768,3072768
68,16.013696670532227,4608768,3072768
69,15.726207733154297,4608768,3072768
70,15.705439567565918,4608768,3072768
71,15.81056022644043,4608768,3072768
72,15.702176094055176,4608768,3072768
73,16.289791107177734,4608768,3072768
74,15.815168380737305,4608768,3072768
75,15.8985595703125,4608768,3072768
76,15.918432235717773,4608768,3072768
77,15.750495910644531,4608768,3072768
78,15.780320167541504,4608768,3072768
79,19.622560501098633,4608768,3072768
80,15.814432144165039,4608768,3072768
81,15.769824028015137,4608768,3072768
82,16.234207153320312,4608768,3072768
83,15.797375679016113,4608768,3072768
84,15.775263786315918,4608768,3072768
85,16.119775772094727,4608768,3072768
86,16.083263397216797,4608768,3072768
87,15.89356803894043,4608768,3072768
88,15.869119644165039,4608768,3072768
89,15.960864067077637,4608768,3072768
90,15.624064445495605,4608768,3072768
91,18.734848022460938,4608768,3072768
92,15.945952415466309,4608768,3072768
93,16.51046371459961,4608768,3072768
94,15.678239822387695,4608768,3072768
95,16.067136764526367,4608768,3072768
96,15.809439659118652,4608768,3072768
97,15.736736297607422,4608768,3072768
98,15.802687644958496,4608768,3072768
99,15.727519989013672,4608768,3072768
