iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,41.80915069580078,552961536,368641536
1,41.085121154785156,552961536,368641536
2,40.60102462768555,552961536,368641536
3,41.43059158325195,552961536,368641536
4,41.405025482177734,552961536,368641536
5,41.18083190917969,552961536,368641536
6,40.65407943725586,552961536,368641536
7,40.69116973876953,552961536,368641536
8,50.2639045715332,552961536,368641536
9,40.75360107421875,552961536,368641536
10,40.78694534301758,552961536,368641536
11,40.748863220214844,552961536,368641536
12,40.72777557373047,552961536,368641536
13,40.4818229675293,552961536,368641536
14,40.637088775634766,552961536,368641536
15,41.84953689575195,552961536,368641536
16,40.598175048828125,552961536,368641536
17,40.81353759765625,552961536,368641536
18,40.28617477416992,552961536,368641536
19,40.7639045715332,552961536,368641536
20,40.79996871948242,552961536,368641536
21,40.69820785522461,552961536,368641536
22,41.18422317504883,552961536,368641536
23,40.9769287109375,552961536,368641536
24,42.82182312011719,552961536,368641536
25,43.6060791015625,552961536,368641536
26,41.03785705566406,552961536,368641536
27,40.861759185791016,552961536,368641536
28,40.20880126953125,552961536,368641536
29,40.84204864501953,552961536,368641536
30,40.43049621582031,552961536,368641536
31,40.915809631347656,552961536,368641536
32,42.28316879272461,552961536,368641536
33,40.89401626586914,552961536,368641536
34,40.400062561035156,552961536,368641536
35,41.824161529541016,552961536,368641536
36,40.29411315917969,552961536,368641536
37,42.817054748535156,552961536,368641536
38,40.67216110229492,552961536,368641536
39,40.77324676513672,552961536,368641536
40,40.642208099365234,552961536,368641536
41,40.72902297973633,552961536,368641536
42,40.367393493652344,552961536,368641536
43,40.78623962402344,552961536,368641536
44,40.80486297607422,552961536,368641536
45,40.434688568115234,552961536,368641536
46,40.591487884521484,552961536,368641536
47,40.92736053466797,552961536,368641536
48,40.76553726196289,552961536,368641536
49,40.72307205200195,552961536,368641536
50,44.78281784057617,552961536,368641536
51,40.598846435546875,552961536,368641536
52,40.61833572387695,552961536,368641536
53,41.37241744995117,552961536,368641536
54,40.75856018066406,552961536,368641536
55,40.90351867675781,552961536,368641536
56,40.78486251831055,552961536,368641536
57,63.31856155395508,552961536,368641536
58,41.04035186767578,552961536,368641536
59,40.706111907958984,552961536,368641536
60,41.3072624206543,552961536,368641536
61,40.762081146240234,552961536,368641536
62,41.1030387878418,552961536,368641536
63,40.7182731628418,552961536,368641536
64,41.645118713378906,552961536,368641536
65,40.79868698120117,552961536,368641536
66,41.70399856567383,552961536,368641536
67,41.70502471923828,552961536,368641536
68,41.19375991821289,552961536,368641536
69,40.48339080810547,552961536,368641536
70,40.70713424682617,552961536,368641536
71,41.17414474487305,552961536,368641536
72,41.80419158935547,552961536,368641536
73,40.743167877197266,552961536,368641536
74,41.50649642944336,552961536,368641536
75,40.81049728393555,552961536,368641536
76,42.31254577636719,552961536,368641536
77,42.105438232421875,552961536,368641536
78,40.77449417114258,552961536,368641536
79,40.73564910888672,552961536,368641536
80,40.60326385498047,552961536,368641536
81,40.640926361083984,552961536,368641536
82,40.69526290893555,552961536,368641536
83,42.23411178588867,552961536,368641536
84,40.33446502685547,552961536,368641536
85,40.37535858154297,552961536,368641536
86,40.3309440612793,552961536,368641536
87,43.4186897277832,552961536,368641536
88,41.363616943359375,552961536,368641536
89,41.29996871948242,552961536,368641536
90,40.88447952270508,552961536,368641536
91,40.44822311401367,552961536,368641536
92,41.38496017456055,552961536,368641536
93,40.46207809448242,552961536,368641536
94,41.23555374145508,552961536,368641536
95,40.82352066040039,552961536,368641536
96,41.760318756103516,552961536,368641536
97,40.83161544799805,552961536,368641536
98,40.93635177612305,552961536,368641536
99,40.86188888549805,552961536,368641536
