,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735915202.8435578,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,26331398144
1,1735915203.8505862,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",17.1,27123556352
2,1735915204.8527217,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",7.2,27425456128
3,1735915205.854616,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 946339840]",5.8,27720740864
4,1735915206.868593,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",1.4,28109479936
5,1735915207.8705213,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.2,28185124864
6,1735915208.8724303,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",23.5,31914602496
7,1735915209.8743732,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,34248105984
8,1735915210.8763595,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.5,36085940224
9,1735915211.8782802,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.1,38025928704
10,1735915212.8793042,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.8,40076832768
11,1735915213.881269,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.5,41829187584
12,1735915214.8832045,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.6,43666665472
13,1735915215.8852346,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.6,45564911616
14,1735915216.8872018,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.1,47425806336
15,1735915217.8892999,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,49629179904
16,1735915218.8912952,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,51380076544
17,1735915219.8931978,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.4,53014286336
18,1735915220.8950357,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.7,54716395520
19,1735915221.8969293,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.3,56395317248
20,1735915222.8987598,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.6,57995620352
21,1735915223.900652,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.8,59677069312
22,1735915224.9025047,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.3,61244416000
23,1735915225.9044755,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.0,62851162112
24,1735915226.9064531,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.6,64515338240
25,1735915227.908447,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.1,66075033600
26,1735915228.9104424,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.3,68002050048
27,1735915229.9124503,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.0,71263993856
28,1735915230.9143329,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.3,72534462464
29,1735915231.9152944,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.8,74206859264
30,1735915232.9171693,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.3,76114497536
31,1735915233.9191654,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.6,75986006016
32,1735915234.921083,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.0,77426917376
33,1735915235.9229522,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.4,78636965888
34,1735915236.9248438,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.1,79743062016
35,1735915237.926698,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",87.6,78909407232
36,1735915238.9288156,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.3,79956238336
37,1735915239.930713,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",87.1,80651415552
38,1735915240.9326625,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.8,81317904384
39,1735915241.934618,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.9,80192098304
40,1735915242.9366672,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.5,81083351040
41,1735915243.9385936,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.3,79837048832
42,1735915244.9406176,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",85.5,78891417600
43,1735915245.9427652,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",10.4,73204883456
44,1735915246.9446883,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",64.9,73689608192
45,1735915247.9465392,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.2,73809444864
46,1735915248.9484441,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.7,73855152128
47,1735915249.9502478,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.0,71518113792
48,1735915250.9520452,"[9, 0, 0, 0]","[1723072512, 1368653824, 1368653824, 1368653824]",46.4,62984404992
49,1735915251.9539158,"[5, 0, 0, 0]","[2125725696, 1368653824, 1368653824, 1368653824]",66.4,56873152512
50,1735915252.9553072,"[0, 0, 0, 0]","[2528378880, 1723072512, 1368653824, 1368653824]",70.6,54940794880
51,1735915253.9572244,"[0, 0, 0, 0]","[2528378880, 1723072512, 1368653824, 1368653824]",89.6,55074492416
52,1735915254.9589696,"[0, 5, 0, 0]","[2528378880, 1924399104, 1368653824, 1368653824]",92.3,55003983872
53,1735915255.9608812,"[0, 0, 0, 0]","[2729705472, 1924399104, 1368653824, 1368653824]",92.2,55036383232
54,1735915256.9627926,"[0, 0, 0, 0]","[2931032064, 2125725696, 1368653824, 1368653824]",92.6,52813156352
55,1735915257.9648168,"[0, 0, 0, 0]","[2931032064, 2327052288, 1368653824, 1368653824]",91.0,51663785984
56,1735915258.966779,"[0, 0, 0, 0]","[2931032064, 2327052288, 1368653824, 1368653824]",92.1,51176124416
57,1735915259.9687076,"[0, 0, 0, 0]","[3132358656, 2528378880, 1368653824, 1368653824]",89.6,51100213248
58,1735915260.970567,"[0, 0, 0, 0]","[3132358656, 2528378880, 1368653824, 1368653824]",91.1,51147202560
59,1735915261.9724922,"[0, 0, 0, 0]","[3132358656, 2729705472, 1368653824, 1368653824]",91.7,51190661120
60,1735915262.9734793,"[0, 0, 0, 0]","[3333685248, 2729705472, 1368653824, 1368653824]",91.7,51044560896
61,1735915263.97529,"[0, 0, 0, 0]","[3333685248, 2931032064, 1368653824, 1368653824]",91.5,51042373632
62,1735915264.9771435,"[0, 6, 0, 0]","[3535011840, 3132358656, 1368653824, 1368653824]",91.2,46640369664
63,1735915265.9791403,"[6, 0, 0, 0]","[3937665024, 3736338432, 1368653824, 1368653824]",79.2,44835708928
64,1735915266.9810965,"[0, 5, 0, 0]","[3937665024, 3937665024, 1368653824, 1368653824]",90.6,45070798848
65,1735915267.982936,"[0, 0, 0, 0]","[3937665024, 3937665024, 1368653824, 1368653824]",91.5,45079519232
66,1735915268.9848387,"[0, 5, 0, 0]","[4138991616, 4138991616, 1368653824, 1368653824]",84.4,44056051712
67,1735915269.9866633,"[8, 0, 1, 8]","[6156451840, 4138991616, 1723072512, 1723072512]",66.4,38943559680
