iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,39.60236740112305,552961536,368641536
1,39.23116683959961,552961536,368641536
2,39.22175979614258,552961536,368641536
3,39.09494400024414,552961536,368641536
4,39.42329788208008,552961536,368641536
5,39.2789421081543,552961536,368641536
6,39.40892791748047,552961536,368641536
7,39.59135818481445,552961536,368641536
8,39.60192108154297,552961536,368641536
9,39.38252639770508,552961536,368641536
10,38.9903678894043,552961536,368641536
11,39.28361511230469,552961536,368641536
12,39.94630432128906,552961536,368641536
13,39.27872085571289,552961536,368641536
14,39.638912200927734,552961536,368641536
15,39.563873291015625,552961536,368641536
16,39.2710075378418,552961536,368641536
17,39.4354248046875,552961536,368641536
18,39.36479949951172,552961536,368641536
19,42.717857360839844,552961536,368641536
20,39.25494384765625,552961536,368641536
21,39.18608093261719,552961536,368641536
22,39.24979019165039,552961536,368641536
23,39.36726379394531,552961536,368641536
24,39.35443115234375,552961536,368641536
25,39.18083190917969,552961536,368641536
26,38.91017532348633,552961536,368641536
27,39.2632942199707,552961536,368641536
28,39.76486587524414,552961536,368641536
29,40.1393928527832,552961536,368641536
30,40.523902893066406,552961536,368641536
31,39.70220947265625,552961536,368641536
32,39.79497528076172,552961536,368641536
33,40.03385543823242,552961536,368641536
34,39.50249481201172,552961536,368641536
35,39.84726333618164,552961536,368641536
36,39.458431243896484,552961536,368641536
37,39.330238342285156,552961536,368641536
38,39.338497161865234,552961536,368641536
39,39.34492874145508,552961536,368641536
40,39.20918273925781,552961536,368641536
41,40.03696060180664,552961536,368641536
42,43.10889434814453,552961536,368641536
43,39.4332160949707,552961536,368641536
44,40.03104019165039,552961536,368641536
45,39.80044937133789,552961536,368641536
46,40.00688171386719,552961536,368641536
47,39.47439956665039,552961536,368641536
48,39.087135314941406,552961536,368641536
49,39.43203353881836,552961536,368641536
50,40.50569534301758,552961536,368641536
51,39.015872955322266,552961536,368641536
52,39.18150329589844,552961536,368641536
53,39.43231964111328,552961536,368641536
54,39.754783630371094,552961536,368641536
55,40.69807815551758,552961536,368641536
56,39.5365104675293,552961536,368641536
57,39.42531204223633,552961536,368641536
58,39.449951171875,552961536,368641536
59,39.970176696777344,552961536,368641536
60,43.11276626586914,552961536,368641536
61,89.75878143310547,552961536,368641536
62,40.15184020996094,552961536,368641536
63,39.66204833984375,552961536,368641536
64,39.34624099731445,552961536,368641536
65,39.80985641479492,552961536,368641536
66,39.396480560302734,552961536,368641536
67,91.88054656982422,552961536,368641536
68,39.299072265625,552961536,368641536
69,39.08972930908203,552961536,368641536
70,39.303585052490234,552961536,368641536
71,40.055999755859375,552961536,368641536
72,39.48112106323242,552961536,368641536
73,39.24233627319336,552961536,368641536
74,38.65107345581055,552961536,368641536
75,41.35977554321289,552961536,368641536
76,39.35935974121094,552961536,368641536
77,39.2545280456543,552961536,368641536
78,39.32307052612305,552961536,368641536
79,39.50956726074219,552961536,368641536
80,39.311710357666016,552961536,368641536
81,39.86172866821289,552961536,368641536
82,39.68115234375,552961536,368641536
83,39.66310501098633,552961536,368641536
84,39.499488830566406,552961536,368641536
85,39.808319091796875,552961536,368641536
86,39.1495361328125,552961536,368641536
87,39.70195388793945,552961536,368641536
88,40.49747085571289,552961536,368641536
89,39.73392105102539,552961536,368641536
90,39.57392120361328,552961536,368641536
91,39.80771255493164,552961536,368641536
92,40.7295036315918,552961536,368641536
93,39.831390380859375,552961536,368641536
94,41.270111083984375,552961536,368641536
95,40.27372741699219,552961536,368641536
96,39.28134536743164,552961536,368641536
97,39.5846061706543,552961536,368641536
98,39.37260818481445,552961536,368641536
99,40.392704010009766,552961536,368641536
