,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736021972.3460143,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,32429588480
1,1736021973.3527353,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",19.6,33184100352
2,1736021974.3546677,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",9.5,33421250560
3,1736021975.356545,"[0, 0, 0, 0]","[928710656, 946601984, 928710656, 928710656]",9.3,33729224704
4,1736021976.3670783,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.8,34157486080
5,1736021977.3693902,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.4,34237358080
6,1736021978.3714092,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",28.7,36508909568
7,1736021979.3736858,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.0,38112784384
8,1736021980.375332,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,39793664000
9,1736021981.3773723,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.9,41542811648
10,1736021982.3793077,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.8,43249127424
11,1736021983.3812106,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.8,44934287360
12,1736021984.3831246,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.9,46562684928
13,1736021985.3850527,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.9,48221810688
14,1736021986.386998,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,49916534784
15,1736021987.388921,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.9,51801718784
16,1736021988.3908134,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.8,53519958016
17,1736021989.3927588,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.5,55209132032
18,1736021990.39466,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.2,56891748352
19,1736021991.3966055,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,58745311232
20,1736021992.3984766,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.6,60360712192
21,1736021993.4005094,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.0,61965103104
22,1736021994.4024322,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,63730098176
23,1736021995.404642,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.1,65486147584
24,1736021996.4067307,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.3,70643609600
25,1736021997.408884,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.4,73061224448
26,1736021998.4108207,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.0,74801459200
27,1736021999.4128075,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.7,76637978624
28,1736022000.4147317,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.2,78833651712
29,1736022001.4170482,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.0,80482861056
30,1736022002.4191313,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.1,82147524608
31,1736022003.4212544,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.9,83726434304
32,1736022004.4231389,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.4,85310701568
33,1736022005.425082,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.2,86243848192
34,1736022006.4269938,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.9,85130223616
35,1736022007.4313092,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.4,86651207680
36,1736022008.4333591,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.6,87719940096
37,1736022009.4353197,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.0,86375636992
38,1736022010.4373581,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.0,88868085760
39,1736022011.439305,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",70.7,88042086400
40,1736022012.4412491,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",25.8,84800991232
41,1736022013.443504,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",24.3,76763230208
42,1736022014.447312,"[0, 0, 0, 0]","[928710656, 1368653824, 1924399104, 1368653824]",41.1,68375273472
43,1736022015.4492712,"[0, 0, 0, 0]","[928710656, 1368653824, 1924399104, 1368653824]",97.6,66765901824
44,1736022016.4511418,"[0, 0, 0, 0]","[928710656, 1368653824, 2125725696, 1368653824]",89.9,66712866816
45,1736022017.4530358,"[0, 0, 0, 0]","[928710656, 1368653824, 2125725696, 1368653824]",94.0,66786971648
46,1736022018.4549286,"[0, 0, 0, 0]","[928710656, 1368653824, 2125725696, 1368653824]",92.4,66875621376
47,1736022019.4570715,"[0, 0, 0, 0]","[928710656, 1368653824, 2327052288, 1368653824]",91.7,65792446464
48,1736022020.4590902,"[0, 0, 0, 0]","[928710656, 1368653824, 2327052288, 1368653824]",94.1,62711013376
49,1736022021.4611943,"[0, 0, 0, 0]","[928710656, 1368653824, 2931032064, 1368653824]",82.6,56727638016
50,1736022022.463386,"[0, 0, 0, 0]","[1597243392, 1368653824, 4138991616, 1368653824]",27.4,49026301952
51,1736022023.4656997,"[6, 2, 0, 0]","[2125725696, 1723072512, 4138991616, 1639186432]",65.2,44480700416
52,1736022024.4673355,"[0, 0, 0, 0]","[2125725696, 1924399104, 6160646144, 1723072512]",91.2,44520763392
53,1736022025.4693956,"[0, 0, 0, 0]","[2125725696, 2125725696, 6160646144, 1723072512]",93.8,44599869440
54,1736022026.471332,"[0, 0, 0, 0]","[2327052288, 2125725696, 6160646144, 1924399104]",90.8,44407402496
55,1736022027.4733832,"[0, 0, 0, 0]","[2327052288, 2327052288, 6160646144, 1924399104]",93.2,44599287808
56,1736022028.4753268,"[0, 0, 0, 0]","[2528378880, 2528378880, 6160646144, 2125725696]",85.1,44453240832
57,1736022029.477368,"[0, 0, 0, 0]","[2528378880, 2528378880, 6160646144, 2125725696]",92.7,44612976640
58,1736022030.4793637,"[0, 0, 0, 6]","[2729705472, 2729705472, 6160646144, 2327052288]",94.5,44394868736
59,1736022031.4814425,"[0, 0, 0, 0]","[2729705472, 2729705472, 6160646144, 2327052288]",92.9,44590682112
60,1736022032.4833302,"[0, 0, 0, 0]","[2931032064, 2931032064, 6160646144, 2528378880]",90.4,44468158464
61,1736022033.4853575,"[0, 0, 0, 0]","[3132358656, 3132358656, 6160646144, 2528378880]",94.7,44437094400
62,1736022034.4866166,"[0, 0, 0, 0]","[3132358656, 3333685248, 6160646144, 2729705472]",96.4,44572164096
63,1736022035.4887195,"[0, 0, 0, 0]","[3333685248, 3535011840, 6160646144, 2729705472]",92.7,44545052672
64,1736022036.4904091,"[0, 0, 0, 0]","[3333685248, 3535011840, 6160646144, 2729705472]",95.2,44696154112
65,1736022037.4925277,"[0, 0, 0, 0]","[3736338432, 3736338432, 6160646144, 2931032064]",85.8,44669669376
66,1736022038.4945052,"[0, 0, 0, 0]","[3937665024, 3937665024, 6160646144, 2931032064]",94.8,44790272000
67,1736022039.495293,"[0, 0, 0, 0]","[3937665024, 3937665024, 6160646144, 3132358656]",95.4,44758822912
68,1736022040.4970803,"[0, 0, 0, 10]","[4138991616, 4138991616, 6160646144, 4138991616]",53.5,42807062528
69,1736022041.4991064,"[0, 0, 0, 0]","[4138991616, 4231266304, 6160646144, 4138991616]",14.9,42808573952
70,1736022042.50107,"[0, 6, 0, 5]","[6213074944, 6213074944, 6213074944, 6213074944]",13.1,43740028928
71,1736022043.504459,"[0, 0, 0, 0]","[6867386368, 7018381312, 7018381312, 6867386368]",9.5,43729960960
72,1736022044.5082705,"[0, 0, 0, 0]","[8001945600, 8152940544, 8152940544, 8001945600]",9.8,43792666624
73,1736022045.5103183,"[96, 90, 98, 91]","[8001945600, 8152940544, 8152940544, 8001945600]",9.5,43778838528
74,1736022046.5122664,"[40, 38, 41, 53]","[8001945600, 8152940544, 8152940544, 8001945600]",9.8,43759443968
75,1736022047.5141947,"[42, 60, 45, 47]","[8001945600, 8152940544, 8152940544, 8001945600]",11.7,43742244864
76,1736022048.5153303,"[60, 55, 63, 63]","[8001945600, 8152940544, 8152940544, 8001945600]",9.4,43720065024
77,1736022049.5175798,"[55, 44, 53, 45]","[8001945600, 8152940544, 8152940544, 8001945600]",9.8,43664707584
78,1736022050.519782,"[42, 45, 45, 46]","[8001945600, 8152940544, 8152940544, 8001945600]",9.4,43668815872
79,1736022051.5221274,"[47, 60, 47, 45]","[8001945600, 8152940544, 8152940544, 8001945600]",10.0,43640635392
80,1736022052.524176,"[42, 51, 42, 62]","[8001945600, 8152940544, 8152940544, 8001945600]",10.8,43657420800
