,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735863830.2470033,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",0.0,180942495744
1,1735863831.2554293,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",28.7,181928226816
2,1735863832.2577147,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",23.0,182231609344
3,1735863833.259856,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",22.0,182501953536
4,1735863834.2641904,"[0, 0, 0, 0]","[928710656, 953286656, 1368653824, 957612032]",16.0,182619127808
5,1735863835.2684708,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.3,183461388288
6,1735863836.2704468,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",24.9,184834531328
7,1735863837.2720542,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.0,192128303104
8,1735863838.2742093,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.8,193003794432
9,1735863839.2811778,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.7,194994909184
10,1735863840.2833426,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.2,196243329024
11,1735863841.2868867,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.9,197814108160
12,1735863842.288049,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.3,199377584128
13,1735863843.2901504,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.6,201098342400
14,1735863844.292052,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.1,202261372928
15,1735863845.296574,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.7,204589682688
16,1735863846.298564,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.2,205280157696
17,1735863847.3000312,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.0,207486566400
18,1735863848.3019152,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.5,208690917376
19,1735863849.3038647,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",95.3,209862582272
20,1735863850.3059673,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",92.7,212070645760
21,1735863851.3080802,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.6,212861460480
22,1735863852.31015,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.0,214170533888
23,1735863853.312064,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.2,215623397376
24,1735863854.3141341,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",88.2,216802648064
25,1735863855.3160522,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",88.6,218668425216
26,1735863856.3181179,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.7,220244631552
27,1735863857.3200543,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.8,221699747840
28,1735863858.3220747,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.0,223065956352
29,1735863859.3240564,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.2,223728689152
30,1735863860.3260732,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.5,224598945792
31,1735863861.3279078,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",85.6,225875648512
32,1735863862.329781,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",87.5,226703237120
33,1735863863.3316796,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.9,230381072384
34,1735863864.334037,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.4,231694651392
35,1735863865.336055,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",74.8,235805954048
36,1735863866.3380973,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",44.3,233067347968
37,1735863867.3400335,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",27.4,226927095808
38,1735863868.3419912,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",25.5,217573687296
39,1735863869.3439624,"[0, 0, 0, 0]","[928710656, 1375731712, 1924399104, 1368653824]",62.1,211787304960
40,1735863870.3486187,"[0, 0, 0, 0]","[928710656, 1375731712, 2125725696, 1368653824]",95.9,211720777728
41,1735863871.3506846,"[0, 0, 0, 0]","[928710656, 1375731712, 2125725696, 1368653824]",92.7,211714772992
42,1735863872.3520525,"[0, 0, 0, 0]","[928710656, 1375731712, 2125725696, 1368653824]",83.0,211726065664
43,1735863873.3540301,"[0, 0, 4, 0]","[928710656, 1375731712, 2327052288, 1368653824]",85.0,209164402688
44,1735863874.3560805,"[0, 7, 0, 0]","[928710656, 1730150400, 2528378880, 1368653824]",75.7,202920816640
45,1735863875.3580835,"[0, 0, 0, 0]","[928710656, 1730150400, 2729705472, 1368653824]",94.5,203316674560
46,1735863876.3599522,"[0, 0, 0, 0]","[928710656, 1730150400, 2729705472, 1368653824]",94.6,203398221824
47,1735863877.3619936,"[0, 0, 0, 7]","[928710656, 1931476992, 2729705472, 1723072512]",89.1,200589139968
48,1735863878.3638568,"[0, 0, 0, 0]","[928710656, 1931476992, 2931032064, 1723072512]",88.2,201642876928
49,1735863879.3663027,"[0, 0, 0, 0]","[928710656, 1931476992, 2931032064, 1723072512]",88.0,200613199872
50,1735863880.3680394,"[0, 0, 0, 0]","[928710656, 1931476992, 2931032064, 1723072512]",85.3,201473998848
51,1735863881.3698657,"[0, 0, 0, 0]","[928710656, 2132803584, 3132358656, 1924399104]",82.9,200103174144
52,1735863882.3718464,"[0, 0, 0, 0]","[928710656, 2132803584, 3132358656, 1924399104]",95.1,198858133504
53,1735863883.3739564,"[0, 0, 0, 0]","[928710656, 2132803584, 3333685248, 1924399104]",85.0,198883069952
54,1735863884.375912,"[0, 0, 0, 0]","[928710656, 2334130176, 3333685248, 2125725696]",86.8,198783631360
55,1735863885.3779879,"[0, 0, 0, 0]","[928710656, 2334130176, 3333685248, 2125725696]",85.0,198626201600
56,1735863886.380071,"[0, 0, 4, 0]","[928710656, 2334130176, 3535011840, 2125725696]",82.7,199013085184
57,1735863887.3821423,"[0, 0, 0, 0]","[928710656, 2334130176, 3535011840, 2327052288]",85.2,198546862080
58,1735863888.3840759,"[0, 0, 0, 0]","[928710656, 2535456768, 3535011840, 2327052288]",89.9,198699188224
59,1735863889.3861115,"[0, 0, 0, 0]","[928710656, 2535456768, 3736338432, 2327052288]",88.2,196158660608
60,1735863890.388051,"[0, 0, 0, 5]","[928710656, 2535456768, 3736338432, 2528378880]",94.1,194179309568
61,1735863891.3899338,"[0, 5, 0, 0]","[928710656, 2736783360, 3736338432, 2528378880]",90.5,194554302464
62,1735863892.3919795,"[0, 0, 0, 0]","[928710656, 2736783360, 3937665024, 2528378880]",85.8,194715893760
63,1735863893.3940768,"[0, 0, 0, 1]","[928710656, 2736783360, 4138991616, 2729705472]",88.2,193261166592
64,1735863894.3960612,"[0, 0, 0, 0]","[928710656, 2736783360, 4138991616, 2729705472]",93.3,194063826944
65,1735863895.3980715,"[0, 0, 0, 5]","[928710656, 2938109952, 5023989760, 2931032064]",88.7,191351218176
66,1735863896.4000666,"[0, 0, 0, 0]","[1723072512, 3139436544, 5023989760, 2931032064]",93.1,191002939392
67,1735863897.4021506,"[0, 0, 0, 5]","[1723072512, 3139436544, 5023989760, 3132358656]",87.7,190513655808
68,1735863898.4040644,"[0, 0, 0, 0]","[1924399104, 3139436544, 5023989760, 3132358656]",90.4,191080116224
69,1735863899.4061174,"[0, 0, 0, 5]","[1924399104, 3340763136, 5023989760, 3333685248]",91.5,190697844736
70,1735863900.4080489,"[0, 0, 0, 0]","[2125725696, 3340763136, 5023989760, 3535011840]",94.2,190985965568
71,1735863901.410034,"[0, 5, 0, 4]","[2125725696, 3542089728, 5023989760, 3736338432]",92.6,191096819712
72,1735863902.4120533,"[0, 0, 0, 0]","[2327052288, 3542089728, 5023989760, 3736338432]",94.7,190753341440
73,1735863903.4140847,"[0, 0, 0, 5]","[2327052288, 3743416320, 5023989760, 4138991616]",94.0,190371508224
74,1735863904.4161186,"[5, 0, 0, 0]","[2931032064, 4146069504, 5023989760, 4138991616]",47.7,190374387712
75,1735863905.418096,"[5, 6, 0, 6]","[3937665024, 5031067648, 5023989760, 5023989760]",49.0,190327250944
76,1735863906.4204755,"[0, 0, 0, 0]","[4138991616, 5031067648, 5023989760, 5023989760]",11.7,190199341056
77,1735863907.4225297,"[6, 3, 0, 0]","[5076418560, 5083496448, 5076418560, 5076418560]",18.3,191270965248
78,1735863908.4255843,"[0, 0, 0, 0]","[5579735040, 5586812928, 5579735040, 5579735040]",16.1,191353618432
79,1735863909.4320438,"[0, 0, 0, 0]","[6284378112, 6442450944, 6435373056, 6284378112]",17.5,191199404032
80,1735863910.4340553,"[95, 97, 94, 94]","[6542327808, 6958350336, 6693322752, 6800277504]",18.2,191532875776
81,1735863911.4365795,"[61, 43, 41, 69]","[6802374656, 6960447488, 6953369600, 6802374656]",16.2,191308648448
82,1735863912.4386566,"[46, 46, 51, 46]","[6802374656, 6960447488, 6953369600, 6802374656]",18.1,191631822848
83,1735863913.4409108,"[44, 44, 43, 44]","[6802374656, 6960447488, 6953369600, 6802374656]",16.5,191419834368
84,1735863914.4429142,"[43, 53, 44, 52]","[6802374656, 6960447488, 6953369600, 6802374656]",14.6,191738990592
85,1735863915.4451723,"[50, 33, 28, 51]","[6802374656, 6960447488, 6953369600, 6802374656]",14.3,191294111744
86,1735863916.4475315,"[44, 45, 44, 45]","[6802374656, 6960447488, 6953369600, 6802374656]",19.5,191352201216
87,1735863917.4497528,"[46, 49, 41, 44]","[6802374656, 6960447488, 6953369600, 6802374656]",18.4,191417610240
88,1735863918.4520674,"[48, 45, 43, 50]","[6802374656, 6960447488, 6953369600, 6802374656]",20.5,190501265408
89,1735863919.4541023,"[46, 45, 43, 45]","[6802374656, 6960447488, 6953369600, 6802374656]",14.3,190336385024
90,1735863920.4560497,"[45, 47, 40, 45]","[6802374656, 6960447488, 6953369600, 6802374656]",14.2,190763831296
