iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,47.3502082824707,995329536,663553536
1,57.71094512939453,995329536,663553536
2,47.414302825927734,995329536,663553536
3,51.963134765625,995329536,663553536
4,47.85011291503906,995329536,663553536
5,48.40528106689453,995329536,663553536
6,51.38595199584961,995329536,663553536
7,47.865150451660156,995329536,663553536
8,48.65359878540039,995329536,663553536
9,47.204734802246094,995329536,663553536
10,57.178497314453125,995329536,663553536
11,47.47727966308594,995329536,663553536
12,57.57449722290039,995329536,663553536
13,48.18201446533203,995329536,663553536
14,50.971710205078125,995329536,663553536
15,47.45606231689453,995329536,663553536
16,48.656959533691406,995329536,663553536
17,50.48499298095703,995329536,663553536
18,49.684383392333984,995329536,663553536
19,47.34956741333008,995329536,663553536
20,50.16764831542969,995329536,663553536
21,51.13216018676758,995329536,663553536
22,51.38972854614258,995329536,663553536
23,47.94374465942383,995329536,663553536
24,49.36467361450195,995329536,663553536
25,49.182369232177734,995329536,663553536
26,49.136863708496094,995329536,663553536
27,47.26108932495117,995329536,663553536
28,49.58873748779297,995329536,663553536
29,48.61439895629883,995329536,663553536
30,49.299102783203125,995329536,663553536
31,47.699745178222656,995329536,663553536
32,49.68022537231445,995329536,663553536
33,48.658878326416016,995329536,663553536
34,51.032222747802734,995329536,663553536
35,48.592864990234375,995329536,663553536
36,47.76438522338867,995329536,663553536
37,50.53657531738281,995329536,663553536
38,47.67184066772461,995329536,663553536
39,47.39846420288086,995329536,663553536
40,48.80614471435547,995329536,663553536
41,53.055423736572266,995329536,663553536
42,47.34444808959961,995329536,663553536
43,50.675743103027344,995329536,663553536
44,48.814239501953125,995329536,663553536
45,59.45619201660156,995329536,663553536
46,47.491294860839844,995329536,663553536
47,47.56246566772461,995329536,663553536
48,47.720577239990234,995329536,663553536
49,47.55507278442383,995329536,663553536
50,47.399391174316406,995329536,663553536
51,48.37779235839844,995329536,663553536
52,52.49516677856445,995329536,663553536
53,51.081729888916016,995329536,663553536
54,98.30723571777344,995329536,663553536
55,47.55936050415039,995329536,663553536
56,47.32489776611328,995329536,663553536
57,50.19532775878906,995329536,663553536
58,103.44755554199219,995329536,663553536
59,48.57827377319336,995329536,663553536
60,48.68864059448242,995329536,663553536
61,47.490047454833984,995329536,663553536
62,50.9095344543457,995329536,663553536
63,47.336673736572266,995329536,663553536
64,48.29673767089844,995329536,663553536
65,49.258846282958984,995329536,663553536
66,47.4444465637207,995329536,663553536
67,55.06745529174805,995329536,663553536
68,47.526817321777344,995329536,663553536
69,57.7017936706543,995329536,663553536
70,47.13779067993164,995329536,663553536
71,47.776737213134766,995329536,663553536
72,47.032161712646484,995329536,663553536
73,48.63350296020508,995329536,663553536
74,49.22355270385742,995329536,663553536
75,47.066078186035156,995329536,663553536
76,50.567806243896484,995329536,663553536
77,52.99942398071289,995329536,663553536
78,47.641441345214844,995329536,663553536
79,47.27110290527344,995329536,663553536
80,47.487457275390625,995329536,663553536
81,47.71440124511719,995329536,663553536
82,47.04956817626953,995329536,663553536
83,47.1418571472168,995329536,663553536
84,47.04707336425781,995329536,663553536
85,47.51276779174805,995329536,663553536
86,47.239742279052734,995329536,663553536
87,47.5010871887207,995329536,663553536
88,51.31305694580078,995329536,663553536
89,47.98160171508789,995329536,663553536
90,47.04742431640625,995329536,663553536
91,47.731231689453125,995329536,663553536
92,47.6927375793457,995329536,663553536
93,49.60249710083008,995329536,663553536
94,47.11276626586914,995329536,663553536
95,47.19203186035156,995329536,663553536
96,51.162593841552734,995329536,663553536
97,50.46732711791992,995329536,663553536
98,47.11286544799805,995329536,663553536
99,47.164833068847656,995329536,663553536
