iteration,latency (ms),total number of bytes sent,total number of bytes recv,tokens per expert
3,7.882880210876465,0,92160000,"[1821, 1286, 1729, 1818, 1693, 1477, 1533, 3531, 2847, 1670, 1266, 1285, 1213, 3435, 1630, 1766]"
4,7.893887996673584,0,92160000,"[1737, 1232, 1777, 1722, 1510, 1510, 1338, 3797, 3250, 1642, 1175, 1213, 1206, 3639, 1640, 1612]"
5,7.836095809936523,0,92160000,"[1689, 1254, 1848, 1781, 1588, 1397, 1436, 3683, 2893, 1638, 1182, 1213, 1330, 3606, 1671, 1791]"
6,7.871295928955078,0,92160000,"[1566, 1168, 1749, 1651, 1490, 1314, 1422, 3919, 3321, 1542, 1215, 1229, 1194, 3868, 1678, 1674]"
7,7.858272075653076,0,92160000,"[1691, 1340, 1820, 1849, 1640, 1399, 1408, 3646, 2747, 1651, 1206, 1227, 1345, 3513, 1756, 1762]"
8,7.8403520584106445,0,92160000,"[1739, 1184, 1874, 1829, 1555, 1573, 1455, 3462, 2782, 1713, 1135, 1167, 1350, 3474, 1986, 1722]"
9,7.8449602127075195,0,92160000,"[1738, 1209, 1829, 1857, 1520, 1439, 1406, 3838, 3169, 1645, 1128, 1121, 1184, 3566, 1683, 1668]"
10,7.854656219482422,0,92160000,"[1777, 1014, 1742, 1770, 1611, 1342, 1399, 4040, 3052, 1593, 1187, 1125, 1240, 3790, 1653, 1665]"
11,7.841311931610107,0,92160000,"[1703, 1385, 1702, 1819, 1569, 1583, 1504, 3602, 2934, 1548, 1132, 1283, 1277, 3497, 1780, 1682]"
12,7.878911972045898,0,92160000,"[1576, 1270, 1788, 1697, 1563, 1356, 1470, 3770, 2971, 1648, 1205, 1200, 1184, 3568, 1717, 2017]"
13,7.850527763366699,0,92160000,"[1828, 1321, 1625, 1820, 1549, 1444, 1515, 3546, 3065, 1548, 1175, 1251, 1229, 3476, 1861, 1747]"
14,7.899072170257568,0,92160000,"[1670, 1197, 2067, 1755, 1519, 1443, 1416, 3837, 3114, 1634, 1092, 1108, 1329, 3566, 1614, 1639]"
15,7.846240043640137,0,92160000,"[1784, 1352, 1877, 1717, 1618, 1458, 1355, 3498, 2766, 1614, 1302, 1319, 1287, 3506, 1719, 1828]"
16,7.869728088378906,0,92160000,"[1771, 1094, 1899, 1688, 1561, 1294, 1451, 3988, 3114, 1496, 1194, 1195, 1283, 3647, 1702, 1623]"
17,7.8288960456848145,0,92160000,"[1669, 1264, 1860, 1667, 1487, 1520, 1469, 3546, 3079, 1648, 1220, 1244, 1286, 3271, 1786, 1984]"
18,7.867231845855713,0,92160000,"[1684, 1152, 1870, 1801, 1569, 1278, 1414, 3686, 3175, 1764, 1128, 1116, 1234, 3677, 1547, 1905]"
19,7.87775993347168,0,92160000,"[1668, 1221, 1746, 1729, 1494, 1391, 1621, 3702, 3015, 1608, 1219, 1221, 1354, 3606, 1728, 1677]"
20,7.868415832519531,0,92160000,"[1916, 1361, 1763, 1992, 1566, 1495, 1379, 3535, 2912, 1804, 1217, 1140, 1274, 3421, 1717, 1508]"
21,7.8763837814331055,0,92160000,"[1890, 1032, 1834, 1813, 1628, 1395, 1403, 3577, 2941, 1686, 1219, 1235, 1284, 3558, 1646, 1859]"
22,7.846144199371338,0,92160000,"[1723, 1158, 1823, 1838, 1621, 1414, 1317, 3848, 2972, 1681, 1181, 1117, 1315, 3582, 1735, 1675]"
23,7.851712226867676,0,92160000,"[1762, 1355, 1823, 1800, 1524, 1484, 1404, 3699, 2864, 1791, 1145, 1136, 1233, 3574, 1651, 1755]"
24,9.503135681152344,0,92160000,"[1705, 1290, 1786, 1678, 1613, 1413, 1369, 3939, 3192, 1624, 1030, 1155, 1211, 3571, 1639, 1785]"
25,7.884160041809082,0,92160000,"[1836, 1257, 1804, 1824, 1576, 1458, 1373, 3544, 3022, 1612, 1183, 1154, 1232, 3589, 1820, 1716]"
26,7.860799789428711,0,92160000,"[1610, 1224, 1780, 1700, 1624, 1484, 1466, 3822, 3089, 1607, 1090, 1254, 1188, 3619, 1673, 1770]"
27,7.8651838302612305,0,92160000,"[1708, 1201, 1656, 1657, 1653, 1452, 1519, 3888, 3100, 1584, 1098, 1121, 1226, 3719, 1618, 1800]"
28,7.862783908843994,0,92160000,"[1905, 1308, 1793, 1833, 1630, 1510, 1478, 3630, 2843, 1692, 1144, 1197, 1253, 3338, 1703, 1743]"
29,7.9964799880981445,0,92160000,"[1805, 1363, 1829, 1840, 1519, 1490, 1338, 3756, 3090, 1506, 1296, 1165, 1165, 3588, 1607, 1643]"
30,7.853343963623047,0,92160000,"[1645, 1325, 1927, 1830, 1484, 1412, 1448, 3818, 3010, 1636, 1249, 1143, 1294, 3552, 1610, 1617]"
31,7.886847972869873,0,92160000,"[1747, 1323, 1791, 1760, 1574, 1491, 1496, 3619, 2966, 1557, 1301, 1175, 1197, 3640, 1647, 1716]"
32,7.818719863891602,0,92160000,"[1820, 1316, 1886, 1728, 1623, 1468, 1569, 3521, 2699, 1664, 1224, 1235, 1262, 3363, 1825, 1797]"
33,7.836575984954834,0,92160000,"[1854, 1280, 1761, 1737, 1602, 1575, 1339, 3659, 3057, 1699, 1204, 1263, 1261, 3462, 1688, 1559]"
34,7.859263896942139,0,92160000,"[1935, 1318, 1840, 1807, 1534, 1479, 1405, 3626, 3001, 1654, 1224, 1092, 1267, 3363, 1784, 1671]"
35,7.8724799156188965,0,92160000,"[1616, 1200, 1744, 1783, 1540, 1402, 1455, 4070, 3109, 1623, 975, 1258, 1183, 3639, 1735, 1668]"
36,7.841536045074463,0,92160000,"[1777, 1287, 1778, 1734, 1595, 1511, 1370, 3676, 3116, 1626, 1137, 1157, 1259, 3503, 1764, 1710]"
37,7.8627519607543945,0,92160000,"[1770, 1247, 1858, 1763, 1656, 1473, 1440, 3391, 2703, 1755, 1192, 1207, 1386, 3408, 1887, 1864]"
38,7.85971212387085,0,92160000,"[1796, 1220, 1976, 1796, 1616, 1455, 1398, 3681, 2873, 1568, 1251, 1232, 1261, 3442, 1602, 1833]"
39,7.9000959396362305,0,92160000,"[1700, 1207, 1722, 1670, 1732, 1354, 1329, 3906, 3239, 1609, 1188, 1060, 1239, 3736, 1581, 1728]"
40,7.925151824951172,0,92160000,"[1665, 1296, 1806, 1714, 1512, 1435, 1427, 3889, 3025, 1662, 1118, 1220, 1136, 3763, 1601, 1731]"
41,8.397600173950195,0,92160000,"[1838, 1333, 1646, 1792, 1531, 1439, 1382, 3872, 3049, 1632, 1166, 1202, 1201, 3616, 1667, 1634]"
42,8.291487693786621,0,92160000,"[1689, 1228, 1805, 1808, 1679, 1389, 1441, 3846, 3016, 1621, 1197, 1179, 1283, 3519, 1584, 1716]"
43,7.860223770141602,0,92160000,"[1860, 1162, 1985, 2040, 1671, 1427, 1400, 3654, 2732, 1811, 1174, 1015, 1242, 3426, 1761, 1640]"
44,7.884960174560547,0,92160000,"[1771, 1269, 1938, 1683, 1636, 1476, 1511, 3552, 2859, 1681, 1115, 1345, 1240, 3347, 1683, 1894]"
