iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,70.80499267578125,552963072,368643072
1,72.70201873779297,552963072,368643072
2,70.86294555664062,552963072,368643072
3,70.62860870361328,552963072,368643072
4,71.25411224365234,552963072,368643072
5,74.19821166992188,552963072,368643072
6,261.7926940917969,552963072,368643072
7,73.15430450439453,552963072,368643072
8,74.15833282470703,552963072,368643072
9,71.1566390991211,552963072,368643072
10,71.15737915039062,552963072,368643072
11,78.20899200439453,552963072,368643072
12,73.25225830078125,552963072,368643072
13,72.93628692626953,552963072,368643072
14,72.63705444335938,552963072,368643072
15,73.34553527832031,552963072,368643072
16,80.59776306152344,552963072,368643072
17,70.55516815185547,552963072,368643072
18,69.00188446044922,552963072,368643072
19,70.77180480957031,552963072,368643072
20,71.79449462890625,552963072,368643072
21,70.67561340332031,552963072,368643072
22,82.37596893310547,552963072,368643072
23,71.22879791259766,552963072,368643072
24,70.93408203125,552963072,368643072
25,70.73235321044922,552963072,368643072
26,71.47955322265625,552963072,368643072
27,70.6561279296875,552963072,368643072
28,70.59414672851562,552963072,368643072
29,70.600830078125,552963072,368643072
30,71.0185317993164,552963072,368643072
31,71.21753692626953,552963072,368643072
32,82.43225860595703,552963072,368643072
33,75.80038452148438,552963072,368643072
34,72.80889892578125,552963072,368643072
35,166.7650604248047,552963072,368643072
36,70.9796142578125,552963072,368643072
37,74.80774688720703,552963072,368643072
38,76.09808349609375,552963072,368643072
39,72.55619049072266,552963072,368643072
40,70.82268524169922,552963072,368643072
41,70.77171325683594,552963072,368643072
42,70.83500671386719,552963072,368643072
43,70.84674835205078,552963072,368643072
44,70.58595275878906,552963072,368643072
45,70.10009765625,552963072,368643072
46,73.20486450195312,552963072,368643072
47,71.23795318603516,552963072,368643072
48,73.83238220214844,552963072,368643072
49,73.53743743896484,552963072,368643072
50,72.77750396728516,552963072,368643072
51,75.79043579101562,552963072,368643072
52,72.92208099365234,552963072,368643072
53,72.80540466308594,552963072,368643072
54,86.73270416259766,552963072,368643072
55,71.58771514892578,552963072,368643072
56,70.98473358154297,552963072,368643072
57,72.02127838134766,552963072,368643072
58,72.13215637207031,552963072,368643072
59,72.12313842773438,552963072,368643072
60,73.4543685913086,552963072,368643072
61,71.81494140625,552963072,368643072
62,75.17385864257812,552963072,368643072
63,74.31919860839844,552963072,368643072
64,72.57151794433594,552963072,368643072
65,71.73129272460938,552963072,368643072
66,71.67388916015625,552963072,368643072
67,73.67449951171875,552963072,368643072
68,78.63062286376953,552963072,368643072
69,73.50559997558594,552963072,368643072
70,92.49842834472656,552963072,368643072
71,72.36774444580078,552963072,368643072
72,71.99065399169922,552963072,368643072
73,73.87529754638672,552963072,368643072
74,74.88377380371094,552963072,368643072
75,85.88684844970703,552963072,368643072
76,72.38409423828125,552963072,368643072
77,70.55817413330078,552963072,368643072
78,73.00704193115234,552963072,368643072
79,72.048095703125,552963072,368643072
80,72.3463363647461,552963072,368643072
81,75.24729919433594,552963072,368643072
82,71.5823974609375,552963072,368643072
83,70.52118682861328,552963072,368643072
84,72.85116577148438,552963072,368643072
85,72.12060546875,552963072,368643072
86,70.76383972167969,552963072,368643072
87,73.56781005859375,552963072,368643072
88,73.20543670654297,552963072,368643072
89,81.44662475585938,552963072,368643072
90,74.51360321044922,552963072,368643072
91,71.19206237792969,552963072,368643072
92,74.02178955078125,552963072,368643072
93,74.13753509521484,552963072,368643072
94,76.28643035888672,552963072,368643072
95,75.92393493652344,552963072,368643072
96,76.43449401855469,552963072,368643072
97,85.0232925415039,552963072,368643072
98,72.37232208251953,552963072,368643072
99,71.36390686035156,552963072,368643072
