iteration,latency (ms),total number of bytes sent,total number of bytes recv,tokens per expert
3,3.2997119426727295,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
4,3.330080032348633,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
5,3.4935359954833984,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
6,3.370271921157837,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
7,3.3372159004211426,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
8,3.3475520610809326,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
9,3.365216016769409,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
10,3.343264102935791,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
11,3.3401598930358887,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
12,3.3170559406280518,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
13,3.3853759765625,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
14,3.314016103744507,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
15,3.3368959426879883,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
16,3.31712007522583,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
17,3.3161280155181885,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
18,3.4174399375915527,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
19,3.4199678897857666,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
20,3.329888105392456,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
21,3.4099841117858887,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
22,3.32041597366333,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
23,3.328831911087036,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
24,3.312256097793579,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
25,3.335520029067993,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
26,3.3369600772857666,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
27,3.3180480003356934,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
28,3.3071999549865723,0,768000,"[0, 250, 0, 0, 0, 0, 0, 0]"
