,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1738952733.541832,[0],[928710656],0.0,39638605824
1,1738952734.546214,[0],[928710656],8.7,39842095104
2,1738952735.548088,[0],[928710656],4.0,39918047232
3,1738952736.5499732,[0],[928710656],3.7,40028770304
4,1738952737.5518453,[0],[928710656],3.7,40025088000
5,1738952738.5534616,[0],[928710656],6.1,40181690368
6,1738952739.555111,[0],[928710656],36.4,42106654720
7,1738952740.5569904,[0],[928710656],18.9,42510450688
8,1738952741.558879,[0],[928710656],7.7,42210779136
9,1738952742.560804,[20],[2352218112],9.3,41751269376
10,1738952743.5628583,[4],[3207856128],14.5,41772806144
11,1738952744.5647233,[0],[3308519424],4.9,41716244480
12,1738952745.5667584,[0],[3308519424],4.3,41749147648
13,1738952746.5689845,[0],[3308519424],7.2,41735806976
14,1738952747.5708015,[0],[3308519424],3.3,41734397952
15,1738952748.5726645,[0],[3308519424],3.7,41731731456
16,1738952749.5745602,[0],[3308519424],3.3,41729314816
17,1738952750.5753908,[0],[3308519424],5.2,41728385024
18,1738952751.5770302,[0],[3308519424],3.4,41728172032
19,1738952752.5786724,[0],[3308519424],3.6,41725624320
20,1738952753.5805821,[0],[3308519424],3.2,41725394944
21,1738952754.5821621,[0],[3308519424],3.2,41723678720
22,1738952755.5840402,[0],[3308519424],3.3,41721528320
23,1738952756.5858965,[0],[3308519424],3.2,41722204160
24,1738952757.5876184,[0],[3308519424],4.8,41734184960
25,1738952758.5893762,[0],[3308519424],4.2,41734574080
26,1738952759.5912178,[0],[3308519424],4.7,41736048640
27,1738952760.5931113,[0],[3308519424],6.6,41729613824
28,1738952761.5949664,[0],[3308519424],3.5,41726455808
29,1738952762.5968416,[0],[3308519424],3.4,41732374528
30,1738952763.5986767,[0],[3308519424],3.3,41731837952
31,1738952764.5997324,[0],[3308519424],3.3,41752895488
32,1738952765.6011922,[0],[3308519424],3.3,41752641536
33,1738952766.6029892,[0],[3308519424],3.3,41747103744
34,1738952767.6047883,[0],[3308519424],3.8,41747222528
35,1738952768.6065865,[0],[3308519424],3.3,41742372864
36,1738952769.6084118,[0],[3308519424],3.2,41738133504
37,1738952770.6101987,[0],[3308519424],4.2,41741303808
38,1738952771.6120756,[0],[3308519424],3.6,41737256960
39,1738952772.6140056,[0],[3308519424],4.0,41734332416
40,1738952773.61589,[0],[3308519424],3.3,41733029888
41,1738952774.617742,[0],[3308519424],3.3,41907032064
