,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735860255.0365686,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",0.0,52816277504
1,1735860256.0436666,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",19.4,53621362688
2,1735860257.0460317,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",11.3,53886296064
3,1735860258.0479417,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",11.6,54133592064
4,1735860259.0530028,"[0, 2, 3, 2]","[928710656, 1375731712, 1368653824, 1368653824]",9.8,54435282944
5,1735860260.0550137,"[0, 0, 0, 0]","[1469317120, 1375731712, 1368653824, 1368653824]",28.5,57054937088
6,1735860261.056987,"[0, 0, 0, 0]","[1798569984, 1375731712, 1368653824, 1368653824]",91.3,57793146880
7,1735860262.0589437,"[0, 1, 0, 1]","[1874067456, 1830813696, 1748238336, 1798569984]",78.2,56705105920
8,1735860263.0609498,"[0, 0, 0, 1]","[1874067456, 1881145344, 1874067456, 1874067456]",29.9,56777715712
9,1735860264.063118,"[5, 7, 0, 0]","[3946053632, 2812280832, 2046033920, 1874067456]",30.9,57310052352
10,1735860265.0650604,"[0, 0, 0, 0]","[3946053632, 3953131520, 3946053632, 3946053632]",11.0,58206121984
11,1735860266.0697453,"[0, 0, 0, 0]","[4870897664, 5028970496, 5021892608, 4870897664]",11.5,58179768320
12,1735860267.071808,"[0, 10, 0, 0]","[5699272704, 5857345536, 5850267648, 5699272704]",11.9,58382577664
13,1735860268.0738087,"[96, 96, 98, 96]","[5699272704, 5857345536, 5850267648, 5699272704]",13.6,58351734784
14,1735860269.0760324,"[60, 57, 63, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",15.2,58369593344
15,1735860270.0779717,"[63, 65, 63, 63]","[5705564160, 5863636992, 5856559104, 5705564160]",12.2,58356838400
16,1735860271.0798361,"[63, 66, 63, 65]","[5705564160, 5863636992, 5856559104, 5705564160]",11.6,58358415360
17,1735860272.0817497,"[64, 66, 63, 65]","[5705564160, 5863636992, 5856559104, 5705564160]",12.2,58323021824
18,1735860273.0835123,"[64, 66, 66, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",12.0,58297475072
19,1735860274.0853872,"[66, 66, 63, 65]","[5705564160, 5863636992, 5856559104, 5705564160]",12.3,58272133120
20,1735860275.0872371,"[66, 67, 63, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",12.2,58274250752
21,1735860276.0890853,"[63, 63, 61, 63]","[5705564160, 5863636992, 5856559104, 5705564160]",14.2,58268897280
22,1735860277.0909207,"[64, 65, 62, 65]","[5705564160, 5863636992, 5856559104, 5705564160]",15.0,58230657024
23,1735860278.092745,"[66, 65, 65, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",14.5,58226102272
24,1735860279.0945954,"[65, 66, 64, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",13.9,58245304320
25,1735860280.0960307,"[66, 65, 64, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",14.6,58245050368
26,1735860281.097924,"[66, 66, 64, 64]","[5705564160, 5863636992, 5856559104, 5705564160]",14.1,58232860672
27,1735860282.0998762,"[65, 64, 65, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",11.8,58231128064
28,1735860283.1018305,"[66, 64, 65, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",13.5,58175348736
29,1735860284.103732,"[64, 65, 64, 66]","[5705564160, 5863636992, 5856559104, 5705564160]",10.0,58157445120
30,1735860285.105692,"[64, 63, 66, 64]","[5705564160, 5863636992, 5856559104, 5705564160]",10.4,58148483072
31,1735860286.1075277,"[64, 64, 66, 63]","[5705564160, 5863636992, 5856559104, 5705564160]",14.9,58152009728
32,1735860287.1094205,"[63, 65, 63, 65]","[5705564160, 5863636992, 5856559104, 5705564160]",13.6,58125107200
33,1735860288.1112728,"[64, 65, 64, 63]","[5705564160, 5863636992, 5856559104, 5705564160]",10.8,58085621760
34,1735860289.1131475,"[0, 47, 0, 0]","[5705564160, 5863636992, 5856559104, 5705564160]",9.5,58061746176
35,1735860290.1152375,"[0, 0, 0, 0]","[4780720128, 4787798016, 4780720128, 4780720128]",10.5,55405842432
