iteration,latency (ms),total number of bytes sent,total number of bytes recv,Before Metadata and 1st Data,Metadata and 1st Data,Before 2nd Data,2nd Data,After 2nd Data
0,41.282081604003906,552961536,368641536,10.09654426574707,2.582495927810669,16.75712013244629,2.5157759189605713,8.977760314941406
1,41.02975845336914,552961536,368641536,10.036191940307617,2.7438719272613525,16.774911880493164,2.195904016494751,8.932448387145996
2,43.87491226196289,552961536,368641536,10.016096115112305,3.0337600708007812,16.803743362426758,2.3229119777679443,11.184032440185547
3,41.10054397583008,552961536,368641536,10.036831855773926,2.6826560497283936,16.78937530517578,2.2519359588623047,8.981247901916504
4,41.19948959350586,552961536,368641536,10.04963207244873,2.743680000305176,16.772031784057617,2.2895679473876953,8.994175910949707
5,41.224063873291016,552961536,368641536,10.000384330749512,2.870431900024414,16.74287986755371,2.2941761016845703,8.971808433532715
6,41.56886291503906,552961536,368641536,10.04758358001709,3.1393918991088867,16.696319580078125,2.3977599143981934,8.939135551452637
7,43.86707305908203,552961536,368641536,10.019007682800293,4.6523518562316895,16.746047973632812,3.1207358837127686,8.977120399475098
8,41.337886810302734,552961536,368641536,10.05622386932373,2.8512320518493652,16.79315185546875,2.3305280208587646,8.959039688110352
9,42.58940887451172,552961536,368641536,10.000127792358398,3.573215961456299,16.94972801208496,2.7788479328155518,8.940352439880371
10,41.24038314819336,552961536,368641536,10.046431541442871,2.794464111328125,16.80291175842285,2.28873610496521,8.962559700012207
11,41.350624084472656,552961536,368641536,10.070655822753906,2.9342401027679443,16.72934341430664,2.3689279556274414,8.908896446228027
12,41.11385726928711,552961536,368641536,10.046112060546875,2.6407361030578613,16.801536560058594,2.345599889755249,8.938752174377441
13,41.23001480102539,552961536,368641536,9.9999361038208,2.8495359420776367,16.814176559448242,2.3183679580688477,8.913663864135742
14,41.082271575927734,552961536,368641536,9.996928215026855,2.709280014038086,16.80886459350586,2.2911040782928467,8.927935600280762
15,41.30214309692383,552961536,368641536,9.999711990356445,3.036191940307617,16.746368408203125,2.2793281078338623,8.900223731994629
16,41.1644172668457,552961536,368641536,10.05299186706543,2.74566388130188,16.697311401367188,2.3447999954223633,8.984479904174805
17,42.2573127746582,552961536,368641536,10.053376197814941,2.804255962371826,17.748512268066406,2.2882239818573,9.021408081054688
18,41.142303466796875,552961536,368641536,10.00601577758789,2.8608319759368896,16.74844741821289,2.258591890335083,8.928064346313477
19,41.1407356262207,552961536,368641536,10.036319732666016,2.751840114593506,16.776960372924805,2.249919891357422,8.985119819641113
20,41.2191047668457,552961536,368641536,10.116607666015625,2.764512062072754,16.79782485961914,2.2591679096221924,8.944543838500977
21,41.64633560180664,552961536,368641536,10.053919792175293,2.870271921157837,16.75503921508789,2.2369918823242188,9.393280029296875
22,40.976097106933594,552961536,368641536,10.042367935180664,2.4919679164886475,16.76688003540039,2.3339200019836426,9.001343727111816
23,41.41513442993164,552961536,368641536,10.022815704345703,2.8987200260162354,16.758848190307617,2.430783987045288,8.963232040405273
24,41.100128173828125,552961536,368641536,10.017024040222168,2.773087978363037,16.768896102905273,2.261183977127075,8.942367553710938
25,41.114593505859375,552961536,368641536,10.052767753601074,2.753472089767456,16.803264617919922,2.2443199157714844,8.919872283935547
26,41.217952728271484,552961536,368641536,9.970335960388184,2.9256319999694824,16.738752365112305,2.3117120265960693,8.933247566223145
27,41.17356872558594,552961536,368641536,10.010751724243164,2.8646080493927,16.7291202545166,2.336639881134033,8.887455940246582
28,44.89148712158203,552961536,368641536,10.145119667053223,4.377888202667236,18.853408813476562,2.205120086669922,8.938079833984375
29,42.39884948730469,552961536,368641536,10.005632400512695,2.9375998973846436,16.83024024963379,3.4242238998413086,8.862015724182129
30,42.03190231323242,552961536,368641536,10.050080299377441,3.0151679515838623,16.763200759887695,2.9318718910217285,8.931967735290527
31,41.221824645996094,552961536,368641536,10.046367645263672,2.8314878940582275,16.748512268066406,2.3063039779663086,8.950847625732422
32,41.217342376708984,552961536,368641536,9.97439956665039,2.912832021713257,16.77084732055664,2.3123199939727783,8.909119606018066
33,41.12108612060547,552961536,368641536,10.087967872619629,2.714751958847046,16.79145622253418,2.2383999824523926,8.93990421295166
34,41.39766311645508,552961536,368641536,9.998687744140625,2.9031999111175537,16.762527465820312,2.4168319702148438,8.978719711303711
35,41.131038665771484,552961536,368641536,10.016032218933105,2.7500159740448,16.7523193359375,2.309920072555542,8.963168144226074
36,41.87740707397461,552961536,368641536,10.135359764099121,3.362368106842041,16.755775451660156,2.3268799781799316,8.960448265075684
37,42.73168182373047,552961536,368641536,10.026623725891113,2.711519956588745,16.830272674560547,3.8556160926818848,8.968832015991211
38,41.29148864746094,552961536,368641536,9.981760025024414,2.858367919921875,16.801759719848633,2.3592638969421387,8.94934368133545
39,41.232513427734375,552961536,368641536,10.04259204864502,2.84934401512146,16.739103317260742,2.273344039916992,8.98908805847168
40,41.72224044799805,552961536,368641536,10.067328453063965,2.963167905807495,16.738239288330078,2.700576066970825,8.914143562316895
41,41.28889465332031,552961536,368641536,10.012191772460938,2.940000057220459,16.73574447631836,2.316704034805298,8.946304321289062
42,41.35087966918945,552961536,368641536,10.048768043518066,2.8745601177215576,16.75779151916504,2.322495937347412,9.000288009643555
43,41.40435028076172,552961536,368641536,10.038399696350098,2.911520004272461,16.664575576782227,2.5780160427093506,8.877823829650879
44,41.249183654785156,552961536,368641536,9.957216262817383,2.9223999977111816,16.742048263549805,2.3519999980926514,8.938847541809082
45,41.22371292114258,552961536,368641536,10.058303833007812,2.817984104156494,16.72444725036621,2.3128321170806885,8.975296020507812
46,41.15119934082031,552961536,368641536,10.077792167663574,2.7343039512634277,16.748863220214844,2.281503915786743,8.965567588806152
47,41.266273498535156,552961536,368641536,10.126879692077637,2.7488319873809814,16.801023483276367,2.356096029281616,8.896767616271973
48,41.17452621459961,552961536,368641536,10.06383991241455,2.786303997039795,16.776832580566406,2.2792320251464844,8.93507194519043
49,41.126686096191406,552961536,368641536,10.07040023803711,2.7585599422454834,16.776832580566406,2.25545597076416,8.92915153503418
50,41.15900802612305,552961536,368641536,10.069791793823242,2.7391040325164795,16.75276756286621,2.348191976547241,8.912320137023926
51,41.38924789428711,552961536,368641536,10.062047958374023,2.9947519302368164,16.746047973632812,2.286623954772949,8.951199531555176
52,41.01545715332031,552961536,368641536,10.043968200683594,2.615488052368164,16.730783462524414,2.337280035018921,8.947104454040527
53,41.40857696533203,552961536,368641536,10.075807571411133,2.7006399631500244,16.797311782836914,2.5885119438171387,8.905952453613281
54,41.27827072143555,552961536,368641536,10.01039981842041,2.7623679637908936,16.743392944335938,2.478368043899536,8.918208122253418
55,41.27088165283203,552961536,368641536,10.016351699829102,2.8630080223083496,16.731487274169922,2.3568320274353027,8.960512161254883
56,41.23712158203125,552961536,368641536,10.116479873657227,2.7360000610351562,16.771455764770508,2.243936061859131,9.006879806518555
57,41.2295036315918,552961536,368641536,10.055520057678223,2.7910079956054688,16.769760131835938,2.2597761154174805,9.006175994873047
58,41.41680145263672,552961536,368641536,10.100319862365723,3.0388479232788086,16.79654312133789,2.202336072921753,8.943903923034668
59,41.229793548583984,552961536,368641536,10.09068775177002,2.7533440589904785,16.80735969543457,2.229952096939087,9.009568214416504
60,41.4015998840332,552961536,368641536,9.969440460205078,2.9022719860076904,16.763071060180664,2.4570560455322266,8.96940803527832
61,41.05254364013672,552961536,368641536,10.077983856201172,2.5602879524230957,16.74687957763672,2.357248067855835,8.97152042388916
62,41.800926208496094,552961536,368641536,10.406847953796387,2.8848960399627686,16.799583435058594,2.4383039474487305,8.928352355957031
63,42.067073822021484,552961536,368641536,10.5065279006958,2.753472089767456,17.124736785888672,2.3824961185455322,8.955039978027344
64,41.55267333984375,552961536,368641536,10.206591606140137,2.659615993499756,16.7906551361084,2.4037439823150635,9.138943672180176
65,41.29337692260742,552961536,368641536,10.081055641174316,2.806688070297241,16.78041648864746,2.3058879375457764,8.984416007995605
66,41.12556838989258,552961536,368641536,10.053024291992188,2.749376058578491,16.789535522460938,2.2236480712890625,8.972479820251465
67,41.26416015625,552961536,368641536,10.041343688964844,2.7340478897094727,16.808448791503906,2.403104066848755,8.941184043884277
68,41.782752990722656,552961536,368641536,10.057600021362305,2.7709760665893555,16.820863723754883,2.846463918685913,8.949567794799805
69,41.485408782958984,552961536,368641536,10.217727661132812,2.590656042098999,16.789535522460938,2.4229118824005127,9.12559986114502
70,42.0681266784668,552961536,368641536,10.0348482131958,3.221951961517334,17.0416316986084,2.460767984390259,8.95417594909668
71,42.02870559692383,552961536,368641536,10.02780818939209,3.6981759071350098,16.743040084838867,2.2822721004486084,8.937439918518066
72,41.17871856689453,552961536,368641536,10.03763198852539,2.795680046081543,16.7508487701416,2.319904088973999,8.940704345703125
73,41.30223846435547,552961536,368641536,10.056608200073242,2.7398719787597656,16.777727127075195,2.4518721103668213,8.940159797668457
74,41.42790222167969,552961536,368641536,10.019935607910156,2.9105279445648193,16.80076789855957,2.384160041809082,8.973759651184082
75,41.049598693847656,552961536,368641536,10.093376159667969,2.6198079586029053,16.793184280395508,2.259648084640503,8.946271896362305
76,41.18019104003906,552961536,368641536,10.010432243347168,2.811743974685669,16.750080108642578,2.3162879943847656,8.950719833374023
77,43.474273681640625,552961536,368641536,10.023967742919922,2.838304042816162,16.823711395263672,2.282047986984253,11.126367568969727
78,41.18134307861328,552961536,368641536,10.125568389892578,2.5560638904571533,16.796287536621094,2.3632960319519043,9.00051212310791
79,41.886592864990234,552961536,368641536,10.21116828918457,3.0583040714263916,16.78691291809082,2.3659520149230957,9.11257553100586
80,41.15574264526367,552961536,368641536,10.026944160461426,2.7786240577697754,16.847936630249023,2.213792085647583,8.948351860046387
81,42.44761657714844,552961536,368641536,10.115615844726562,2.771712064743042,17.93961524963379,2.0505599975585938,9.042783737182617
