,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736094355.7115676,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,37001949184
1,1736094356.717314,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",16.1,37933793280
2,1736094357.7193017,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",7.2,38351110144
3,1736094358.7214909,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 946733056]",4.8,38822490112
4,1736094359.7238662,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.9,39280107520
5,1736094360.7256534,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.2,39779545088
6,1736094361.7273054,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.8,39895134208
7,1736094362.7292385,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.9,40168308736
8,1736094363.7311866,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.8,40567414784
9,1736094364.7328548,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.6,40735940608
10,1736094365.7348769,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.4,40875462656
11,1736094366.7365398,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",52.7,41344778240
12,1736094367.7385256,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.2,43067985920
13,1736094368.745347,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.3,44922490880
14,1736094369.7474031,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,46693527552
15,1736094370.7493727,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.4,48361271296
16,1736094371.751355,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.5,50045169664
17,1736094372.7533107,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.3,51577638912
18,1736094373.7552445,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.5,53192265728
19,1736094374.7581851,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.7,54889922560
20,1736094375.7601242,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.8,56573607936
21,1736094376.7614257,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.4,58086793216
22,1736094377.7633734,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.8,58952974336
23,1736094378.7653453,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.7,60568588288
24,1736094379.7673361,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.0,61936533504
25,1736094380.7693212,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.6,63542444032
26,1736094381.771343,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.3,65089953792
27,1736094382.7733183,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.3,66665627648
28,1736094383.775319,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.7,68352831488
29,1736094384.7772696,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.9,69900349440
30,1736094385.7792816,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.8,71215054848
31,1736094386.7812352,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.2,72734912512
32,1736094387.7832158,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.0,74182127616
33,1736094388.785177,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.9,75652104192
34,1736094389.7870724,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.3,77100908544
35,1736094390.7890606,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.6,78542098432
36,1736094391.7910833,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.1,79979347968
37,1736094392.793045,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",59.8,80838602752
38,1736094393.7950356,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.4,80861614080
39,1736094394.796706,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.9,80846999552
40,1736094395.7983627,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.2,80897318912
41,1736094396.80007,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.5,80899964928
42,1736094397.8014233,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",46.4,81341710336
43,1736094398.8033617,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.1,83044036608
44,1736094399.805321,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",87.5,84423647232
45,1736094400.807466,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.3,85888499712
46,1736094401.8094583,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.6,87353339904
47,1736094402.8114536,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.7,88863612928
48,1736094403.8134289,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.1,90306486272
49,1736094404.8153946,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.2,91514445824
50,1736094405.817348,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.8,92975656960
51,1736094406.8193476,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.0,94453547008
52,1736094407.8213017,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.0,95940038656
53,1736094408.8233333,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.7,97407918080
54,1736094409.825285,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.1,98851389440
55,1736094410.8273072,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.2,100320022528
56,1736094411.829274,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.7,101228011520
57,1736094412.8313813,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.3,102680207360
58,1736094413.8333738,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.7,104132911104
59,1736094414.8354454,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.9,105595461632
60,1736094415.8374476,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.4,107037433856
61,1736094416.8392868,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.7,108483297280
62,1736094417.8412793,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.3,109940219904
63,1736094418.8433003,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.9,111127085056
64,1736094419.845241,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.7,112396713984
65,1736094420.8516812,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.0,113802432512
66,1736094421.8534317,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.1,116364734464
67,1736094422.8554091,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.9,117265690624
68,1736094423.8573704,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.1,118686724096
69,1736094424.8594172,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",51.4,121315454976
70,1736094425.8612573,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.2,121322508288
71,1736094426.8628976,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.6,120325390336
72,1736094427.8651102,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.2,120435945472
73,1736094428.8670774,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",23.8,120612646912
74,1736094429.868892,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.6,122003783680
75,1736094430.8738673,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.6,123531759616
76,1736094431.8759396,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.3,125026656256
77,1736094432.8774393,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.6,126560370688
78,1736094433.8794641,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.7,128120209408
79,1736094434.8814502,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.0,129610260480
80,1736094435.8835092,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.8,131212238848
81,1736094436.8854523,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.7,132731875328
82,1736094437.8877072,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",87.5,133988032512
83,1736094438.8894353,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.9,135614939136
84,1736094439.8933043,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",87.0,137064452096
85,1736094440.8954048,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.3,138579685376
86,1736094441.8974557,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.1,140191064064
87,1736094442.8994865,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",87.2,141739606016
88,1736094443.901437,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.6,143332401152
89,1736094444.9035091,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.6,144828096512
90,1736094445.9054627,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.9,146305929216
91,1736094446.907475,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.4,147791241216
92,1736094447.9094434,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.6,149149306880
93,1736094448.9107246,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.5,150546575360
94,1736094449.9127662,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.2,152115052544
95,1736094450.914158,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.6,153817530368
96,1736094451.9161825,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",85.0,155366547456
97,1736094452.9174457,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",86.1,159835451392
98,1736094453.919468,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.2,160851116032
99,1736094454.921441,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.3,161788821504
100,1736094455.9234407,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.4,162653327360
101,1736094456.925355,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.0,163625775104
102,1736094457.9274309,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",52.0,160101605376
103,1736094458.9294484,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",38.4,153445953536
104,1736094459.9314394,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",35.7,148808605696
105,1736094460.933375,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.2,149100683264
106,1736094461.9354565,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.7,149217075200
107,1736094462.9374354,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.5,147123081216
108,1736094463.9394195,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.3,143241334784
109,1736094464.941453,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",35.3,136636424192
110,1736094465.943552,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",42.8,128124919808
111,1736094466.9456775,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",24.0,119208054784
112,1736094467.9480605,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",20.9,109828919296
113,1736094468.94943,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",39.6,105579700224
114,1736094469.9513838,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.4,103525113856
115,1736094470.9532564,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.1,103857520640
116,1736094471.9544349,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.6,101458227200
117,1736094472.9564397,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",68.8,93851459584
118,1736094473.9584901,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",26.6,89713115136
119,1736094474.9605222,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.4,89764921344
120,1736094475.9626834,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,89789763584
121,1736094476.9646857,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.1,89778520064
122,1736094477.9668322,"[0, 0, 0, 0]","[946601984, 1368653824, 1368653824, 1368653824]",93.0,85155483648
123,1736094478.9686491,"[0, 0, 0, 0]","[2100559872, 2100559872, 1368653824, 1368653824]",75.5,80939954176
124,1736094479.9706063,"[0, 0, 0, 0]","[2100559872, 2301886464, 1368653824, 1368653824]",94.5,80958345216
125,1736094480.9725192,"[0, 0, 0, 0]","[2301886464, 2301886464, 1368653824, 1368653824]",95.7,80915501056
126,1736094481.9734418,"[0, 0, 0, 0]","[2301886464, 2301886464, 1368653824, 1368653824]",95.1,81052659712
127,1736094482.9754555,"[0, 0, 0, 0]","[2503213056, 2503213056, 1368653824, 1368653824]",95.1,80844374016
128,1736094483.9774413,"[0, 0, 0, 0]","[2503213056, 2503213056, 1368653824, 1368653824]",95.9,80997330944
129,1736094484.979466,"[0, 5, 0, 0]","[2704539648, 2704539648, 1368653824, 1368653824]",92.6,76685139968
130,1736094485.981444,"[0, 0, 0, 0]","[2905866240, 2905866240, 1368653824, 1368653824]",84.0,76922142720
131,1736094486.983401,"[0, 0, 0, 0]","[2905866240, 3107192832, 1368653824, 1368653824]",93.5,76983779328
132,1736094487.9854448,"[5, 0, 0, 0]","[3107192832, 3107192832, 1368653824, 1368653824]",96.3,76844953600
133,1736094488.9875033,"[0, 5, 0, 0]","[3107192832, 3308519424, 1368653824, 1368653824]",95.2,76953509888
134,1736094489.989427,"[5, 0, 0, 0]","[3308519424, 3308519424, 1368653824, 1368653824]",95.8,76814118912
135,1736094490.991333,"[0, 0, 0, 0]","[3308519424, 3308519424, 1368653824, 1368653824]",95.4,74874466304
136,1736094491.9934719,"[0, 0, 0, 0]","[3308519424, 3509846016, 1368653824, 1368653824]",94.3,73031163904
137,1736094492.9955518,"[0, 0, 0, 0]","[3509846016, 3509846016, 1368653824, 1368653824]",94.4,73914306560
138,1736094493.997438,"[0, 0, 0, 0]","[3711172608, 3711172608, 1368653824, 1368653824]",95.6,73382645760
139,1736094494.9995291,"[0, 0, 0, 0]","[3711172608, 3711172608, 1368653824, 1368653824]",95.4,73426526208
140,1736094496.0014462,"[0, 0, 0, 0]","[3711172608, 3912499200, 1368653824, 1368653824]",96.0,73459908608
141,1736094497.0052102,"[0, 0, 0, 0]","[3912499200, 3912499200, 1368653824, 1368653824]",94.8,73290043392
142,1736094498.0076025,"[0, 0, 0, 4]","[3912499200, 3912499200, 1368653824, 2100559872]",96.3,70662103040
143,1736094499.0094244,"[0, 0, 6, 0]","[3912499200, 4113825792, 2100559872, 2100559872]",94.7,68137476096
144,1736094500.0115683,"[0, 0, 0, 0]","[4113825792, 4113825792, 2100559872, 2100559872]",95.7,68159049728
145,1736094501.013426,"[0, 0, 0, 0]","[4113825792, 4315152384, 2100559872, 2301886464]",95.9,68107186176
146,1736094502.0155811,"[0, 0, 0, 0]","[4113825792, 4315152384, 2301886464, 2301886464]",93.9,68122042368
147,1736094503.0174294,"[0, 0, 0, 0]","[4315152384, 4315152384, 2301886464, 2503213056]",94.2,67951013888
148,1736094504.0195794,"[0, 0, 0, 0]","[4315152384, 4516478976, 2301886464, 2503213056]",94.5,68205408256
149,1736094505.0214293,"[0, 0, 0, 0]","[4315152384, 4516478976, 2503213056, 2503213056]",92.4,68195844096
150,1736094506.0271368,"[0, 0, 0, 0]","[4516478976, 4717805568, 2503213056, 2503213056]",93.0,68181049344
