iteration,latency (s)
0,0.5059599876403809
1,0.5127556324005127
2,0.5103793144226074
3,0.5167789459228516
4,0.517963171005249
5,0.5028352737426758
6,0.5089049339294434
7,0.711127519607544
8,0.5053203105926514
9,0.5026412010192871
10,0.5031471252441406
11,0.508171558380127
12,0.5271039009094238
13,0.5250091552734375
14,0.5061593055725098
15,0.5050621032714844
16,0.5060796737670898
17,0.5125994682312012
18,0.5049154758453369
19,0.515303373336792
20,0.8055334091186523
21,0.5163166522979736
22,0.5248117446899414
23,0.5083322525024414
24,0.7904057502746582
25,0.5115008354187012
26,0.5142931938171387
27,0.5074167251586914
28,0.5074880123138428
29,0.504723310470581
30,0.5012447834014893
31,0.5028262138366699
32,0.5055427551269531
33,0.508772611618042
34,0.5075242519378662
35,0.506516695022583
36,0.5029175281524658
37,0.5054876804351807
38,0.5026729106903076
39,0.5036361217498779
40,0.5115966796875
41,0.5033972263336182
42,0.5110573768615723
43,0.5029885768890381
44,0.5054981708526611
45,0.7569639682769775
46,0.5043125152587891
47,0.5024383068084717
48,0.505000114440918
49,0.5034482479095459
50,0.5048332214355469
51,0.5030117034912109
52,0.5018861293792725
53,0.5031161308288574
54,0.5094153881072998
55,0.5021052360534668
56,0.5078921318054199
57,0.5069825649261475
58,0.5023140907287598
59,0.5014219284057617
60,0.5028727054595947
61,0.5006272792816162
62,0.5027108192443848
63,0.5127887725830078
64,0.5093276500701904
65,0.5048027038574219
66,0.5061120986938477
67,0.5022304058074951
68,0.5051102638244629
69,0.5063140392303467
70,0.5023696422576904
71,0.5017271041870117
72,0.5009002685546875
73,0.5060153007507324
74,0.5021083354949951
75,0.504453182220459
76,0.5028707981109619
77,0.5018415451049805
78,0.5033113956451416
79,0.5004079341888428
80,0.5018355846405029
81,0.5037565231323242
82,0.5205683708190918
83,0.5063033103942871
84,0.502467155456543
85,0.5045545101165771
86,0.5015578269958496
87,0.506993293762207
88,0.5032587051391602
89,0.5039656162261963
90,0.5011615753173828
91,0.5035009384155273
92,0.512596607208252
93,0.5161147117614746
94,0.5033748149871826
95,0.5024707317352295
96,0.5022180080413818
97,0.5069475173950195
98,0.5124020576477051
99,0.764420747756958
