iteration,latency (ms),total number of bytes sent,total number of bytes recv,Before Metadata and 1st Data,Metadata and 1st Data,Before 2nd Data,2nd Data,After 2nd Data
0,45.40284729003906,552961536,368641536,10.14352035522461,6.243743896484375,16.910432815551758,2.6592960357666016,9.069567680358887
1,41.285377502441406,552961536,368641536,10.359007835388184,2.5475199222564697,16.830400466918945,2.208064079284668,8.979007720947266
2,42.94972610473633,552961536,368641536,10.245023727416992,3.5804800987243652,16.801952362060547,2.974623918533325,8.968864440917969
3,41.16566467285156,552961536,368641536,10.154623985290527,2.4911680221557617,16.859872817993164,2.205888032913208,9.092191696166992
4,41.658817291259766,552961536,368641536,10.129088401794434,3.0499839782714844,16.812063217163086,2.3613760471343994,8.9486722946167
5,42.61238479614258,552961536,368641536,10.21168041229248,2.5319039821624756,17.38924789428711,2.147520065307617,8.993760108947754
6,41.12918472290039,552961536,368641536,10.166272163391113,2.727519989013672,16.879039764404297,2.118623971939087,8.884767532348633
7,41.24611282348633,552961536,368641536,10.11308765411377,2.7471039295196533,16.889568328857422,2.2168641090393066,8.91260814666748
8,41.35481643676758,552961536,368641536,10.078880310058594,2.8825600147247314,16.82111930847168,2.2892799377441406,8.924063682556152
9,40.96860885620117,552961536,368641536,10.092896461486816,2.636255979537964,16.916160583496094,2.164896011352539,8.801024436950684
10,41.210079193115234,552961536,368641536,10.199999809265137,2.7226879596710205,16.885055541992188,2.192608118057251,8.856767654418945
11,41.16694259643555,552961536,368641536,10.113568305969238,2.7053439617156982,16.840160369873047,2.2714240550994873,8.892864227294922
12,41.0332145690918,552961536,368641536,10.105024337768555,2.7012479305267334,16.872127532958984,2.1935999393463135,8.806976318359375
13,41.21692657470703,552961536,368641536,10.344096183776855,2.6354880332946777,16.848512649536133,2.176640033721924,8.841728210449219
14,41.11318588256836,552961536,368641536,10.285375595092773,2.6346559524536133,16.820032119750977,2.2188799381256104,8.81436824798584
15,41.14313507080078,552961536,368641536,10.093024253845215,2.786303997039795,16.986783981323242,2.125056028366089,8.807135581970215
16,41.39654541015625,552961536,368641536,10.208479881286621,2.62825608253479,17.008512496948242,2.139359951019287,9.059871673583984
17,43.41708755493164,552961536,368641536,10.070560455322266,3.380768060684204,17.942880630493164,2.8105599880218506,8.865056037902832
18,41.244224548339844,552961536,368641536,10.040096282958984,2.7671360969543457,16.950815200805664,2.1929919719696045,8.941727638244629
19,41.011871337890625,552961536,368641536,10.170144081115723,2.443135976791382,16.87708854675293,2.194943904876709,8.982336044311523
20,41.4315185546875,552961536,368641536,10.191328048706055,2.784480094909668,17.146879196166992,1.9978560209274292,8.947199821472168
21,40.83603286743164,552961536,368641536,10.086463928222656,2.5239040851593018,16.80624008178711,2.271807909011841,8.805536270141602
22,41.400447845458984,552961536,368641536,10.104928016662598,2.9766080379486084,16.84886360168457,2.335360050201416,8.792415618896484
23,79.63273620605469,552961536,368641536,10.152735710144043,36.23081588745117,16.92723274230957,7.004032135009766,8.958399772644043
24,41.10838317871094,552961536,368641536,10.175871849060059,2.6813440322875977,16.861024856567383,2.2312960624694824,8.81334400177002
25,45.965023040771484,552961536,368641536,10.101887702941895,2.541856050491333,17.64396858215332,3.6809918880462646,11.54758358001709
26,41.319583892822266,552961536,368641536,10.425663948059082,2.473952054977417,16.956287384033203,2.1412160396575928,8.97753620147705
27,98.66393280029297,552961536,368641536,32.27334213256836,3.7468159198760986,19.385631561279297,8.494336128234863,31.301664352416992
28,48.470401763916016,552961536,368641536,10.19273567199707,8.804448127746582,16.891328811645508,3.268320083618164,8.9453763961792
29,40.90547180175781,552961536,368641536,10.349311828613281,2.318336009979248,16.81011199951172,2.2763519287109375,8.80777645111084
30,41.007232666015625,552961536,368641536,10.097472190856934,2.730207920074463,16.898048400878906,2.1263999938964844,8.803359985351562
31,41.15420913696289,552961536,368641536,10.367584228515625,2.438015937805176,16.777599334716797,2.290303945541382,8.932543754577637
32,41.50444793701172,552961536,368641536,10.275936126708984,2.6360321044921875,16.86092758178711,2.240511894226074,9.145471572875977
33,41.04441452026367,552961536,368641536,10.058527946472168,2.7673280239105225,16.970943450927734,2.1433920860290527,8.761759757995605
34,41.00022506713867,552961536,368641536,10.101344108581543,2.750688076019287,16.887392044067383,2.1296000480651855,8.785152435302734
35,41.06796646118164,552961536,368641536,10.109663963317871,2.679231882095337,16.815200805664062,2.2769598960876465,8.84438419342041
36,41.13216018676758,552961536,368641536,10.12012767791748,2.7845120429992676,16.803936004638672,2.2410879135131836,8.83625602722168
37,44.829345703125,552961536,368641536,10.170271873474121,5.631199836730957,16.915679931640625,2.9860799312591553,8.782015800476074
